Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:31:23.106 PM 7/13/2023 	 0.805410 	 1.682553 	 296.465081 	 295.700902 	 296.439161 	 296.385115 	 296.115266 	 296.009918
2:31:33.107 PM 7/13/2023 	 1.685878 	 1.983164 	 296.462628 	 295.701515 	 296.431505 	 296.295203 	 296.119832 	 296.135350
2:31:43.606 PM 7/13/2023 	 1.652684 	 1.650440 	 296.462322 	 295.701821 	 296.418261 	 296.349173 	 296.126330 	 296.221780
2:31:53.606 PM 7/13/2023 	 0.957497 	 1.847925 	 296.462628 	 295.699982 	 296.435990 	 296.395574 	 296.159117 	 296.193912
2:32:03.606 PM 7/13/2023 	 1.457900 	 1.397753 	 296.460636 	 295.700595 	 296.433332 	 296.318183 	 296.124012 	 296.055351
2:32:13.607 PM 7/13/2023 	 1.217328 	 2.057918 	 296.456651 	 295.701055 	 296.455229 	 296.401186 	 296.142161 	 296.145923
2:32:23.607 PM 7/13/2023 	 1.514920 	 2.183042 	 296.455578 	 295.699062 	 296.444369 	 296.355544 	 296.115305 	 296.228623
2:32:34.107 PM 7/13/2023 	 1.499711 	 1.779920 	 296.453585 	 295.698909 	 296.443180 	 296.331794 	 296.148443 	 296.058152
2:32:44.607 PM 7/13/2023 	 1.548010 	 1.863039 	 296.451439 	 295.699369 	 296.438556 	 296.402840 	 296.164036 	 296.160744
2:32:55.107 PM 7/13/2023 	 0.737866 	 1.202606 	 296.452359 	 295.697529 	 296.456985 	 296.459334 	 296.153323 	 296.222910
2:33:05.107 PM 7/13/2023 	 1.186854 	 2.630179 	 296.454965 	 295.697070 	 296.457403 	 296.467271 	 296.150450 	 296.210164
2:33:15.607 PM 7/13/2023 	 -0.004250 	 1.877786 	 296.457264 	 295.695843 	 296.450414 	 296.496464 	 296.172609 	 296.233261
2:33:25.607 PM 7/13/2023 	 1.405414 	 2.615728 	 296.458183 	 295.694923 	 296.452748 	 296.433950 	 296.123690 	 296.181997
2:33:35.607 PM 7/13/2023 	 1.218111 	 3.143831 	 296.459256 	 295.694004 	 296.455286 	 296.494758 	 296.134695 	 296.232493
2:33:46.106 PM 7/13/2023 	 0.361510 	 0.916255 	 296.461862 	 295.692931 	 296.472794 	 296.456817 	 296.159738 	 296.197353
2:33:56.107 PM 7/13/2023 	 0.944108 	 2.415874 	 296.462935 	 295.692318 	 296.476274 	 296.397325 	 296.148643 	 296.222932
2:34:06.607 PM 7/13/2023 	 1.261757 	 2.570910 	 296.464314 	 295.691245 	 296.459300 	 296.484205 	 296.149057 	 296.196076
2:34:17.107 PM 7/13/2023 	 0.878989 	 1.207118 	 296.464314 	 295.692164 	 296.478869 	 296.411670 	 296.164876 	 296.160644
2:34:27.107 PM 7/13/2023 	 1.466567 	 2.532121 	 296.464927 	 295.690631 	 296.438760 	 296.363564 	 296.141669 	 296.052317
2:34:37.607 PM 7/13/2023 	 0.883687 	 2.159917 	 296.461249 	 295.690631 	 296.450700 	 296.370337 	 296.141391 	 296.135748
2:34:47.607 PM 7/13/2023 	 0.860283 	 1.708532 	 296.461555 	 295.690325 	 296.482290 	 296.372324 	 296.147140 	 296.143849
2:34:58.107 PM 7/13/2023 	 1.517691 	 1.190620 	 296.460176 	 295.689405 	 296.465234 	 296.422941 	 296.148882 	 296.150292
2:35:08.607 PM 7/13/2023 	 0.741751 	 1.782306 	 296.458030 	 295.689099 	 296.462199 	 296.459380 	 296.140672 	 296.160421
2:35:18.607 PM 7/13/2023 	 0.886585 	 2.096066 	 296.455731 	 295.688179 	 296.484137 	 296.392030 	 296.134411 	 296.066222
2:35:28.607 PM 7/13/2023 	 1.644953 	 1.188303 	 296.453892 	 295.686493 	 296.474096 	 296.368827 	 296.147404 	 295.999261
2:35:39.107 PM 7/13/2023 	 0.694340 	 1.935852 	 296.450826 	 295.683887 	 296.472607 	 296.327386 	 296.152497 	 295.997770
2:35:49.606 PM 7/13/2023 	 1.311735 	 1.579395 	 296.450366 	 295.684040 	 296.453776 	 296.386103 	 296.163277 	 296.193370
2:36:00.106 PM 7/13/2023 	 1.156484 	 1.921444 	 296.449447 	 295.683427 	 296.473929 	 296.412838 	 296.157582 	 296.225758
2:36:10.106 PM 7/13/2023 	 2.031210 	 1.581291 	 296.450060 	 295.683427 	 296.470459 	 296.481736 	 296.139062 	 296.186083
2:36:20.107 PM 7/13/2023 	 1.416166 	 2.118696 	 296.451746 	 295.682354 	 296.465775 	 296.541424 	 296.148482 	 296.242517
2:36:30.606 PM 7/13/2023 	 0.781725 	 1.083290 	 296.454351 	 295.680821 	 296.462740 	 296.349009 	 296.147326 	 296.211272
2:36:40.607 PM 7/13/2023 	 0.591035 	 1.902962 	 296.453892 	 295.680208 	 296.435331 	 296.429222 	 296.163630 	 296.218171
2:36:51.107 PM 7/13/2023 	 1.734132 	 2.141816 	 296.453892 	 295.678062 	 296.464354 	 296.415481 	 296.169160 	 296.203954
2:37:01.606 PM 7/13/2023 	 1.050977 	 1.708759 	 296.459410 	 295.675149 	 296.472068 	 296.452801 	 296.137381 	 296.209321
