Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:31:23.106 PM 7/13/2023 	 4.006269 	 297.647000 	 44.546000 	 -68.232608 	 4.018158 	 297.647000 	 44.546000 	 -68.232608 	 109.121829 	 108.816579 	 300.002865
2:31:33.107 PM 7/13/2023 	 4.016499 	 297.647000 	 44.546000 	 -68.029214 	 4.021659 	 297.647000 	 44.546000 	 -68.029214 	 109.120876 	 108.816817 	 300.003196
2:31:43.606 PM 7/13/2023 	 4.016137 	 297.647000 	 44.546000 	 -67.739746 	 4.017825 	 297.647000 	 44.546000 	 -67.739746 	 109.120757 	 108.816936 	 300.003578
2:31:53.606 PM 7/13/2023 	 4.008190 	 297.647000 	 44.546000 	 -66.279227 	 4.020231 	 297.647000 	 44.546000 	 -66.279227 	 109.120876 	 108.816221 	 300.002049
2:32:03.606 PM 7/13/2023 	 4.013869 	 297.647000 	 44.546000 	 -67.843044 	 4.014888 	 297.647000 	 44.546000 	 -67.843044 	 109.120102 	 108.816459 	 300.000341
2:32:13.607 PM 7/13/2023 	 4.011143 	 297.647000 	 44.546000 	 -67.034541 	 4.022605 	 297.647000 	 44.546000 	 -67.034541 	 109.118554 	 108.816638 	 299.997818
2:32:23.607 PM 7/13/2023 	 4.014500 	 297.647000 	 44.546000 	 -68.230882 	 4.023960 	 297.647000 	 44.546000 	 -68.230882 	 109.118137 	 108.815864 	 299.994963
2:32:34.107 PM 7/13/2023 	 4.014442 	 297.647000 	 44.546000 	 -66.754732 	 4.019405 	 297.647000 	 44.546000 	 -66.754732 	 109.117362 	 108.815804 	 299.991446
2:32:44.607 PM 7/13/2023 	 4.015057 	 297.647000 	 44.546000 	 -66.060133 	 4.020424 	 297.647000 	 44.546000 	 -66.060133 	 109.116529 	 108.815983 	 299.987318
2:32:55.107 PM 7/13/2023 	 4.005621 	 297.647000 	 44.546000 	 -66.537354 	 4.012730 	 297.647000 	 44.546000 	 -66.537354 	 109.116886 	 108.815268 	 299.983216
2:33:05.107 PM 7/13/2023 	 4.010819 	 297.647000 	 44.546000 	 -66.665332 	 4.029268 	 297.647000 	 44.546000 	 -66.665332 	 109.117898 	 108.815089 	 299.978961
2:33:15.607 PM 7/13/2023 	 3.997081 	 297.647000 	 44.546000 	 -65.678202 	 4.020625 	 297.647000 	 44.546000 	 -65.678202 	 109.118792 	 108.814613 	 299.974350
2:33:25.607 PM 7/13/2023 	 4.013259 	 297.647000 	 44.546000 	 -67.857371 	 4.029005 	 297.647000 	 44.546000 	 -67.857371 	 109.119149 	 108.814256 	 299.969663
2:33:35.607 PM 7/13/2023 	 4.011126 	 297.647000 	 44.546000 	 -67.367153 	 4.035166 	 297.647000 	 44.546000 	 -67.367153 	 109.119566 	 108.813898 	 299.965180
2:33:46.106 PM 7/13/2023 	 4.001278 	 297.647000 	 44.546000 	 -66.251572 	 4.009434 	 297.647000 	 44.546000 	 -66.251572 	 109.120579 	 108.813481 	 299.960163
2:33:56.107 PM 7/13/2023 	 4.007997 	 297.647000 	 44.546000 	 -66.745807 	 4.026777 	 297.647000 	 44.546000 	 -66.745807 	 109.120996 	 108.813243 	 299.955681
2:34:06.607 PM 7/13/2023 	 4.011683 	 297.647000 	 44.546000 	 -66.727388 	 4.028576 	 297.647000 	 44.546000 	 -66.727388 	 109.121532 	 108.812826 	 299.950486
2:34:17.107 PM 7/13/2023 	 4.007299 	 297.647000 	 44.546000 	 -66.022682 	 4.012824 	 297.647000 	 44.546000 	 -66.022682 	 109.121532 	 108.813183 	 299.945649
2:34:27.107 PM 7/13/2023 	 4.014033 	 297.647000 	 44.546000 	 -67.056486 	 4.028100 	 297.647000 	 44.546000 	 -67.056486 	 109.121770 	 108.812588 	 299.940812
2:34:37.607 PM 7/13/2023 	 4.007270 	 297.647000 	 44.546000 	 -67.068865 	 4.023784 	 297.647000 	 44.546000 	 -67.068865 	 109.120340 	 108.812588 	 299.936332
2:34:47.607 PM 7/13/2023 	 4.007019 	 297.647000 	 44.546000 	 -66.812742 	 4.018573 	 297.647000 	 44.546000 	 -66.812742 	 109.120460 	 108.812469 	 299.932234
2:34:58.107 PM 7/13/2023 	 4.014652 	 297.647000 	 44.546000 	 -66.735182 	 4.012575 	 297.647000 	 44.546000 	 -66.735182 	 109.119923 	 108.812111 	 299.927424
2:35:08.607 PM 7/13/2023 	 4.005621 	 297.647000 	 44.546000 	 -67.100899 	 4.019405 	 297.647000 	 44.546000 	 -67.100899 	 109.119090 	 108.811992 	 299.922539
2:35:18.607 PM 7/13/2023 	 4.007279 	 297.647000 	 44.546000 	 -67.379796 	 4.023019 	 297.647000 	 44.546000 	 -67.379796 	 109.118196 	 108.811635 	 299.918188
2:35:28.607 PM 7/13/2023 	 4.016123 	 297.647000 	 44.546000 	 -66.800992 	 4.012543 	 297.647000 	 44.546000 	 -66.800992 	 109.117482 	 108.810979 	 299.913812
2:35:39.107 PM 7/13/2023 	 4.005113 	 297.647000 	 44.546000 	 -66.574119 	 4.021227 	 297.647000 	 44.546000 	 -66.574119 	 109.116290 	 108.809967 	 299.909996
2:35:49.606 PM 7/13/2023 	 4.012314 	 297.647000 	 44.546000 	 -66.093908 	 4.017133 	 297.647000 	 44.546000 	 -66.093908 	 109.116112 	 108.810026 	 299.905290
2:36:00.106 PM 7/13/2023 	 4.010493 	 297.647000 	 44.546000 	 -66.347622 	 4.021078 	 297.647000 	 44.546000 	 -66.347622 	 109.115754 	 108.809788 	 299.901500
2:36:10.106 PM 7/13/2023 	 4.020574 	 297.647000 	 44.546000 	 -67.172584 	 4.017069 	 297.647000 	 44.546000 	 -67.172584 	 109.115993 	 108.809788 	 299.897583
2:36:20.107 PM 7/13/2023 	 4.013473 	 297.647000 	 44.546000 	 -66.752983 	 4.023332 	 297.647000 	 44.546000 	 -66.752983 	 109.116648 	 108.809371 	 299.894328
2:36:30.606 PM 7/13/2023 	 4.006109 	 297.647000 	 44.546000 	 -66.804458 	 4.011326 	 297.647000 	 44.546000 	 -66.804458 	 109.117660 	 108.808775 	 299.890844
2:36:40.607 PM 7/13/2023 	 4.003955 	 297.647000 	 44.546000 	 -66.078206 	 4.020885 	 297.647000 	 44.546000 	 -66.078206 	 109.117482 	 108.808537 	 299.886954
2:36:51.107 PM 7/13/2023 	 4.017235 	 297.647000 	 44.546000 	 -65.831852 	 4.023674 	 297.647000 	 44.546000 	 -65.831852 	 109.117482 	 108.807703 	 299.883572
2:37:01.606 PM 7/13/2023 	 4.009197 	 297.647000 	 44.546000 	 -67.247504 	 4.018541 	 297.647000 	 44.546000 	 -67.247504 	 109.119626 	 108.806572 	 299.880496
2:37:11.607 PM 7/13/2023 	 4.009205 	 297.647000 	 44.546000 	 -66.544849 	 4.018059 	 297.647000 	 44.546000 	 -66.544849 	 109.119923 	 108.805619 	 299.877014
2:37:21.607 PM 7/13/2023 	 4.014217 	 297.647000 	 44.546000 	 -66.857167 	 4.031312 	 297.647000 	 44.546000 	 -66.857167 	 109.120340 	 108.805023 	 299.873785
2:37:31.607 PM 7/13/2023 	 4.004439 	 297.647000 	 44.546000 	 -66.522847 	 4.010336 	 297.647000 	 44.546000 	 -66.522847 	 109.121055 	 108.803534 	 299.870964
2:37:42.107 PM 7/13/2023 	 4.005866 	 297.647000 	 44.546000 	 -66.120693 	 4.017233 	 297.647000 	 44.546000 	 -66.120693 	 109.122127 	 108.803117 	 299.867787
2:37:52.607 PM 7/13/2023 	 4.014935 	 297.647000 	 44.546000 	 -65.890657 	 4.028041 	 297.647000 	 44.546000 	 -65.890657 	 109.122782 	 108.801925 	 299.864509
2:38:02.607 PM 7/13/2023 	 4.008012 	 297.647000 	 44.546000 	 -66.485212 	 4.027787 	 297.647000 	 44.546000 	 -66.485212 	 109.123854 	 108.801211 	 299.861993
2:38:13.107 PM 7/13/2023 	 4.016706 	 297.647000 	 44.546000 	 -66.237363 	 4.020184 	 297.647000 	 44.546000 	 -66.237363 	 109.124688 	 108.800019 	 299.859579
2:38:23.107 PM 7/13/2023 	 4.019219 	 297.647000 	 44.546000 	 -65.938066 	 4.014374 	 297.647000 	 44.546000 	 -65.938066 	 109.126713 	 108.799602 	 299.856911
2:38:33.607 PM 7/13/2023 	 4.014465 	 297.647000 	 44.546000 	 -66.020784 	 4.025352 	 297.647000 	 44.546000 	 -66.020784 	 109.127547 	 108.798888 	 299.854598
2:38:43.607 PM 7/13/2023 	 4.004775 	 297.647000 	 44.546000 	 -66.573865 	 4.016228 	 297.647000 	 44.546000 	 -66.573865 	 109.129036 	 108.798173 	 299.852540
2:38:54.107 PM 7/13/2023 	 4.001643 	 297.647000 	 44.546000 	 -66.699797 	 4.024815 	 297.647000 	 44.546000 	 -66.699797 	 109.129930 	 108.797994 	 299.851600
2:39:04.607 PM 7/13/2023 	 4.000814 	 297.647000 	 44.546000 	 -66.234485 	 4.019866 	 297.647000 	 44.546000 	 -66.234485 	 109.131776 	 108.797696 	 299.849365
2:39:14.607 PM 7/13/2023 	 3.995692 	 297.647000 	 44.546000 	 -66.535509 	 4.017051 	 297.647000 	 44.546000 	 -66.535509 	 109.132848 	 108.797756 	 299.847790
2:39:24.607 PM 7/13/2023 	 4.012784 	 297.647000 	 44.546000 	 -66.019635 	 4.020873 	 297.647000 	 44.546000 	 -66.019635 	 109.133980 	 108.797875 	 299.846215
2:39:35.107 PM 7/13/2023 	 4.007282 	 297.647000 	 44.546000 	 -66.153083 	 4.019723 	 297.647000 	 44.546000 	 -66.153083 	 109.131478 	 108.797935 	 299.844640
2:39:45.107 PM 7/13/2023 	 4.013306 	 297.647000 	 44.546000 	 -65.862366 	 4.016573 	 297.647000 	 44.546000 	 -65.862366 	 109.126416 	 108.798054 	 299.843649
2:39:55.107 PM 7/13/2023 	 4.015136 	 297.647000 	 44.546000 	 -67.178809 	 4.031916 	 297.647000 	 44.546000 	 -67.178809 	 109.121234 	 108.798471 	 299.842785
2:40:05.607 PM 7/13/2023 	 4.006281 	 297.647000 	 44.546000 	 -65.596257 	 4.026199 	 297.647000 	 44.546000 	 -65.596257 	 109.116231 	 108.798113 	 299.841642
2:40:15.607 PM 7/13/2023 	 4.002732 	 297.647000 	 44.546000 	 -66.088497 	 4.020894 	 297.647000 	 44.546000 	 -66.088497 	 109.112478 	 108.797756 	 299.840474
2:40:26.108 PM 7/13/2023 	 4.012933 	 297.647000 	 44.546000 	 -66.565943 	 4.021063 	 297.647000 	 44.546000 	 -66.565943 	 109.107118 	 108.798471 	 299.839636
2:40:36.607 PM 7/13/2023 	 4.003295 	 297.647000 	 44.546000 	 -65.787769 	 4.021460 	 297.647000 	 44.546000 	 -65.787769 	 109.101817 	 108.798709 	 299.838772
2:40:46.607 PM 7/13/2023 	 4.004249 	 297.647000 	 44.546000 	 -65.551916 	 4.019107 	 297.647000 	 44.546000 	 -65.551916 	 109.097052 	 108.799245 	 299.837959
2:40:57.107 PM 7/13/2023 	 4.014299 	 297.647000 	 44.546000 	 -66.003397 	 4.016190 	 297.647000 	 44.546000 	 -66.003397 	 109.092288 	 108.798888 	 299.836766
2:41:07.108 PM 7/13/2023 	 4.004585 	 297.647000 	 44.546000 	 -66.159816 	 4.023492 	 297.647000 	 44.546000 	 -66.159816 	 109.087761 	 108.799543 	 299.836080
2:41:17.108 PM 7/13/2023 	 4.008333 	 297.647000 	 44.546000 	 -65.807391 	 4.019805 	 297.647000 	 44.546000 	 -65.807391 	 109.083890 	 108.799781 	 299.835064
2:41:27.607 PM 7/13/2023 	 4.004588 	 297.647000 	 44.546000 	 -65.948554 	 4.005854 	 297.647000 	 44.546000 	 -65.948554 	 109.079244 	 108.800138 	 299.834251
2:41:37.607 PM 7/13/2023 	 4.011091 	 297.647000 	 44.546000 	 -65.737056 	 4.020313 	 297.647000 	 44.546000 	 -65.737056 	 109.075909 	 108.800317 	 299.833362
2:41:48.107 PM 7/13/2023 	 4.006555 	 297.647000 	 44.546000 	 -65.931946 	 4.034301 	 297.647000 	 44.546000 	 -65.931946 	 109.072931 	 108.800079 	 299.832753
2:41:58.107 PM 7/13/2023 	 4.006042 	 297.647000 	 44.546000 	 -66.205614 	 4.023939 	 297.647000 	 44.546000 	 -66.205614 	 109.070131 	 108.800555 	 299.831788
2:42:08.108 PM 7/13/2023 	 4.004556 	 297.647000 	 44.546000 	 -66.436253 	 4.017717 	 297.647000 	 44.546000 	 -66.436253 	 109.068523 	 108.800675 	 299.830848
2:42:18.108 PM 7/13/2023 	 4.008388 	 297.647000 	 44.546000 	 -64.880833 	 4.021221 	 297.647000 	 44.546000 	 -64.880833 	 109.066319 	 108.800734 	 299.830036
2:42:28.608 PM 7/13/2023 	 4.013522 	 297.647000 	 44.546000 	 -65.441338 	 4.014117 	 297.647000 	 44.546000 	 -65.441338 	 109.063163 	 108.801151 	 299.829680
2:42:39.107 PM 7/13/2023 	 4.008557 	 297.647000 	 44.546000 	 -65.502128 	 4.024202 	 297.647000 	 44.546000 	 -65.502128 	 109.060721 	 108.801270 	 299.828791
2:42:49.607 PM 7/13/2023 	 4.015717 	 297.647000 	 44.546000 	 -65.494159 	 4.012873 	 297.647000 	 44.546000 	 -65.494159 	 109.057981 	 108.801628 	 299.828969
2:42:59.607 PM 7/13/2023 	 4.010566 	 297.647000 	 44.546000 	 -65.401501 	 4.019685 	 297.647000 	 44.546000 	 -65.401501 	 109.056373 	 108.802164 	 299.828233
2:43:09.608 PM 7/13/2023 	 4.012077 	 297.647000 	 44.546000 	 -65.008785 	 4.026383 	 297.647000 	 44.546000 	 -65.008785 	 109.054646 	 108.802164 	 299.827649
2:43:20.107 PM 7/13/2023 	 4.017316 	 297.647000 	 44.546000 	 -65.222332 	 4.022252 	 297.647000 	 44.546000 	 -65.222332 	 109.051787 	 108.803117 	 299.827090
2:43:30.108 PM 7/13/2023 	 4.011155 	 297.647000 	 44.546000 	 -65.241000 	 4.015492 	 297.647000 	 44.546000 	 -65.241000 	 109.049881 	 108.803355 	 299.827141
2:43:40.607 PM 7/13/2023 	 4.008458 	 297.647000 	 44.546000 	 -65.139919 	 4.011034 	 297.647000 	 44.546000 	 -65.139919 	 109.047975 	 108.803355 	 299.826125
2:43:50.607 PM 7/13/2023 	 4.008026 	 297.647000 	 44.546000 	 -65.406057 	 4.014284 	 297.647000 	 44.546000 	 -65.406057 	 109.046129 	 108.803712 	 299.825795
