Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:10:25.455 PM 7/14/2023 	 1.351158 	 1.928839 	 296.486693 	 295.733092 	 296.382746 	 296.072451 	 295.886647 	 296.077625
2:10:35.954 PM 7/14/2023 	 1.114204 	 1.676254 	 296.485467 	 295.734012 	 296.380316 	 296.100119 	 295.888920 	 296.139150
2:10:45.955 PM 7/14/2023 	 1.474629 	 0.929534 	 296.482094 	 295.735392 	 296.390271 	 296.090798 	 295.881948 	 296.067284
2:10:56.455 PM 7/14/2023 	 0.451164 	 2.250737 	 296.475350 	 295.738151 	 296.372409 	 296.067751 	 295.867831 	 295.980738
2:11:06.955 PM 7/14/2023 	 1.328453 	 1.776894 	 296.466614 	 295.737691 	 296.394762 	 296.069896 	 295.895853 	 295.890678
2:11:16.955 PM 7/14/2023 	 0.896504 	 2.067375 	 296.457110 	 295.739377 	 296.378955 	 296.067247 	 295.896496 	 295.925665
2:11:27.455 PM 7/14/2023 	 0.183700 	 1.171398 	 296.446688 	 295.741676 	 296.379601 	 296.054255 	 295.892439 	 295.963946
2:11:37.955 PM 7/14/2023 	 0.924398 	 1.252223 	 296.439484 	 295.741063 	 296.375682 	 296.071026 	 295.868755 	 296.077140
2:11:47.955 PM 7/14/2023 	 1.055917 	 2.148877 	 296.430440 	 295.743976 	 296.373494 	 296.060842 	 295.882090 	 296.010516
2:11:58.455 PM 7/14/2023 	 0.395693 	 2.585638 	 296.423696 	 295.745969 	 296.362565 	 296.072010 	 295.892793 	 296.153365
2:12:08.455 PM 7/14/2023 	 0.886664 	 2.629303 	 296.420171 	 295.745202 	 296.403218 	 296.093878 	 295.879383 	 296.318146
2:12:18.955 PM 7/14/2023 	 1.057170 	 2.279858 	 296.416186 	 295.747808 	 296.367227 	 296.092195 	 295.892755 	 296.286379
2:12:28.955 PM 7/14/2023 	 0.968495 	 2.015522 	 296.414960 	 295.747961 	 296.381030 	 296.091897 	 295.907042 	 296.289843
2:12:39.455 PM 7/14/2023 	 1.233707 	 1.226377 	 296.408676 	 295.750721 	 296.399338 	 296.113509 	 295.897141 	 296.380069
2:12:49.455 PM 7/14/2023 	 1.542940 	 2.445272 	 296.410821 	 295.750721 	 296.386260 	 296.100422 	 295.896281 	 296.524885
2:12:59.956 PM 7/14/2023 	 0.834264 	 2.681382 	 296.411741 	 295.753480 	 296.378913 	 296.105768 	 295.895984 	 296.571100
2:13:09.956 PM 7/14/2023 	 1.604047 	 1.383028 	 296.415266 	 295.753326 	 296.387581 	 296.114912 	 295.888195 	 296.349981
2:13:19.957 PM 7/14/2023 	 0.165762 	 1.590966 	 296.413274 	 295.754093 	 296.370717 	 296.113557 	 295.884487 	 296.303032
2:13:30.455 PM 7/14/2023 	 0.614001 	 1.290855 	 296.411128 	 295.756546 	 296.383590 	 296.126907 	 295.902078 	 296.421188
2:13:40.456 PM 7/14/2023 	 0.927706 	 1.014991 	 296.406683 	 295.758538 	 296.379431 	 296.084184 	 295.893210 	 296.085595
2:13:50.956 PM 7/14/2023 	 0.493997 	 2.268696 	 296.397640 	 295.760071 	 296.402199 	 296.081101 	 295.909415 	 295.898594
2:14:01.456 PM 7/14/2023 	 0.315972 	 1.788704 	 296.391356 	 295.760838 	 296.392856 	 296.101849 	 295.896768 	 295.996498
