Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:27:19.213 PM 7/14/2023 	 1.795183 	 2.027554 	 296.434885 	 295.822921 	 296.404832 	 296.149571 	 295.970383 	 296.109131
2:27:29.713 PM 7/14/2023 	 1.443447 	 2.158029 	 296.435345 	 295.823841 	 296.396709 	 296.160723 	 295.945788 	 296.067142
2:27:40.212 PM 7/14/2023 	 1.596334 	 1.576336 	 296.432740 	 295.826447 	 296.396704 	 296.136737 	 295.957544 	 296.072310
2:27:50.713 PM 7/14/2023 	 1.080686 	 1.852550 	 296.430440 	 295.827366 	 296.382541 	 296.120215 	 295.973474 	 296.045439
2:28:01.213 PM 7/14/2023 	 0.677245 	 1.395004 	 296.426455 	 295.829359 	 296.412496 	 296.164763 	 295.983699 	 296.364088
2:28:11.213 PM 7/14/2023 	 1.827799 	 1.890693 	 296.426762 	 295.831352 	 296.408434 	 296.148944 	 295.992805 	 296.210539
2:28:21.713 PM 7/14/2023 	 1.707035 	 1.769019 	 296.427375 	 295.832425 	 296.382823 	 296.164228 	 295.940357 	 296.153883
2:28:32.213 PM 7/14/2023 	 1.106036 	 1.421756 	 296.430134 	 295.833038 	 296.392904 	 296.178075 	 295.962208 	 296.119298
2:28:42.213 PM 7/14/2023 	 2.403698 	 1.239278 	 296.432893 	 295.836564 	 296.399174 	 296.178236 	 295.954372 	 296.307991
2:28:52.712 PM 7/14/2023 	 1.784156 	 2.747745 	 296.439484 	 295.835644 	 296.410435 	 296.173515 	 295.972699 	 296.402446
2:29:02.713 PM 7/14/2023 	 0.760681 	 2.358120 	 296.444542 	 295.837331 	 296.390345 	 296.168462 	 295.964350 	 296.319372
2:29:12.713 PM 7/14/2023 	 0.564512 	 1.579872 	 296.445461 	 295.839170 	 296.405434 	 296.165221 	 295.971456 	 296.327413
2:29:22.714 PM 7/14/2023 	 0.746167 	 1.264758 	 296.444542 	 295.841163 	 296.398743 	 296.171691 	 295.972285 	 296.423651
2:29:33.213 PM 7/14/2023 	 1.771713 	 1.947133 	 296.445155 	 295.841010 	 296.400331 	 296.142717 	 295.977168 	 296.415840
2:29:43.213 PM 7/14/2023 	 1.501809 	 2.583717 	 296.446688 	 295.841469 	 296.417642 	 296.148282 	 295.972857 	 296.483901
2:29:53.214 PM 7/14/2023 	 1.082022 	 0.889916 	 296.449600 	 295.841623 	 296.405286 	 296.156138 	 295.979775 	 296.429254
2:30:03.713 PM 7/14/2023 	 1.108067 	 2.101379 	 296.447454 	 295.843309 	 296.395262 	 296.176673 	 295.996554 	 296.291856
2:30:13.713 PM 7/14/2023 	 0.800228 	 1.579095 	 296.443622 	 295.844842 	 296.403696 	 296.163951 	 296.015813 	 296.313453
2:30:23.714 PM 7/14/2023 	 1.381030 	 3.140134 	 296.443009 	 295.846068 	 296.388682 	 296.183725 	 295.990909 	 296.419229
2:30:34.213 PM 7/14/2023 	 0.599448 	 1.783106 	 296.444848 	 295.844229 	 296.390305 	 296.156196 	 295.966662 	 296.331084
2:30:44.213 PM 7/14/2023 	 0.627063 	 1.839728 	 296.445308 	 295.845455 	 296.409420 	 296.181903 	 295.991439 	 296.320118
2:30:54.213 PM 7/14/2023 	 1.299542 	 2.759814 	 296.449600 	 295.845915 	 296.392945 	 296.192221 	 295.986709 	 296.433831
2:31:04.714 PM 7/14/2023 	 0.914625 	 2.507714 	 296.452665 	 295.845915 	 296.403711 	 296.159265 	 295.995603 	 296.456814
