Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:27:19.213 PM 7/14/2023 	 4.017235 	 297.647000 	 44.546000 	 -74.686572 	 4.021641 	 297.647000 	 44.546000 	 -74.686572 	 109.110096 	 108.863993 	 299.922971
2:27:29.713 PM 7/14/2023 	 4.013067 	 297.647000 	 44.546000 	 -75.782175 	 4.023066 	 297.647000 	 44.546000 	 -75.782175 	 109.110275 	 108.864350 	 299.927043
2:27:40.212 PM 7/14/2023 	 4.014882 	 297.647000 	 44.546000 	 -75.258515 	 4.016365 	 297.647000 	 44.546000 	 -75.258515 	 109.109262 	 108.865363 	 299.931242
2:27:50.713 PM 7/14/2023 	 4.008957 	 297.647000 	 44.546000 	 -74.548880 	 4.019624 	 297.647000 	 44.546000 	 -74.548880 	 109.108369 	 108.865720 	 299.934449
2:28:01.213 PM 7/14/2023 	 4.004314 	 297.647000 	 44.546000 	 -74.093387 	 4.014357 	 297.647000 	 44.546000 	 -74.093387 	 109.106820 	 108.866494 	 299.938063
2:28:11.213 PM 7/14/2023 	 4.017693 	 297.647000 	 44.546000 	 -73.687790 	 4.020135 	 297.647000 	 44.546000 	 -73.687790 	 109.106939 	 108.867269 	 299.941499
2:28:21.713 PM 7/14/2023 	 4.016105 	 297.647000 	 44.546000 	 -76.024131 	 4.018538 	 297.647000 	 44.546000 	 -76.024131 	 109.107178 	 108.867686 	 299.944071
2:28:32.213 PM 7/14/2023 	 4.009211 	 297.647000 	 44.546000 	 -75.050753 	 4.014590 	 297.647000 	 44.546000 	 -75.050753 	 109.108250 	 108.867924 	 299.946616
2:28:42.213 PM 7/14/2023 	 4.024237 	 297.647000 	 44.546000 	 -75.399829 	 4.012447 	 297.647000 	 44.546000 	 -75.399829 	 109.109322 	 108.869294 	 299.949111
2:28:52.712 PM 7/14/2023 	 4.017115 	 297.647000 	 44.546000 	 -74.583426 	 4.029998 	 297.647000 	 44.546000 	 -74.583426 	 109.111883 	 108.868937 	 299.951428
2:29:02.713 PM 7/14/2023 	 4.005213 	 297.647000 	 44.546000 	 -74.955327 	 4.025452 	 297.647000 	 44.546000 	 -74.955327 	 109.113848 	 108.869592 	 299.953414
2:29:12.713 PM 7/14/2023 	 4.002962 	 297.647000 	 44.546000 	 -74.638761 	 4.016456 	 297.647000 	 44.546000 	 -74.638761 	 109.114206 	 108.870307 	 299.954866
2:29:22.714 PM 7/14/2023 	 4.005073 	 297.647000 	 44.546000 	 -74.601847 	 4.012806 	 297.647000 	 44.546000 	 -74.601847 	 109.113848 	 108.871081 	 299.956623
2:29:33.213 PM 7/14/2023 	 4.016987 	 297.647000 	 44.546000 	 -74.384339 	 4.020733 	 297.647000 	 44.546000 	 -74.384339 	 109.114087 	 108.871021 	 299.958202
2:29:43.213 PM 7/14/2023 	 4.013840 	 297.647000 	 44.546000 	 -74.576382 	 4.028097 	 297.647000 	 44.546000 	 -74.576382 	 109.114682 	 108.871200 	 299.959526
2:29:53.214 PM 7/14/2023 	 4.008995 	 297.647000 	 44.546000 	 -74.268199 	 4.008488 	 297.647000 	 44.546000 	 -74.268199 	 109.115814 	 108.871260 	 299.961258
2:30:03.713 PM 7/14/2023 	 4.009357 	 297.647000 	 44.546000 	 -73.520748 	 4.022590 	 297.647000 	 44.546000 	 -73.520748 	 109.114980 	 108.871915 	 299.962506
2:30:13.713 PM 7/14/2023 	 4.005855 	 297.647000 	 44.546000 	 -72.662847 	 4.016605 	 297.647000 	 44.546000 	 -72.662847 	 109.113491 	 108.872510 	 299.963881
2:30:23.714 PM 7/14/2023 	 4.012504 	 297.647000 	 44.546000 	 -73.772230 	 4.034611 	 297.647000 	 44.546000 	 -73.772230 	 109.113253 	 108.872987 	 299.965307
2:30:34.213 PM 7/14/2023 	 4.003350 	 297.647000 	 44.546000 	 -74.852330 	 4.018795 	 297.647000 	 44.546000 	 -74.852330 	 109.113967 	 108.872272 	 299.966453
2:30:44.213 PM 7/14/2023 	 4.003759 	 297.647000 	 44.546000 	 -73.748639 	 4.019539 	 297.647000 	 44.546000 	 -73.748639 	 109.114146 	 108.872749 	 299.967701
2:30:54.213 PM 7/14/2023 	 4.011543 	 297.647000 	 44.546000 	 -73.959332 	 4.030187 	 297.647000 	 44.546000 	 -73.959332 	 109.115814 	 108.872927 	 299.969077
2:31:04.714 PM 7/14/2023 	 4.007110 	 297.647000 	 44.546000 	 -73.563129 	 4.027297 	 297.647000 	 44.546000 	 -73.563129 	 109.117005 	 108.872927 	 299.969968
2:31:14.714 PM 7/14/2023 	 4.006841 	 297.647000 	 44.546000 	 -73.242745 	 4.015539 	 297.647000 	 44.546000 	 -73.242745 	 109.117243 	 108.872749 	 299.971038
2:31:25.214 PM 7/14/2023 	 3.999238 	 297.647000 	 44.546000 	 -73.313613 	 4.017717 	 297.647000 	 44.546000 	 -73.313613 	 109.118077 	 108.872451 	 299.972261
2:31:35.714 PM 7/14/2023 	 4.005484 	 297.647000 	 44.546000 	 -73.615723 	 4.007927 	 297.647000 	 44.546000 	 -73.615723 	 109.118375 	 108.872987 	 299.973000
2:31:45.714 PM 7/14/2023 	 4.006322 	 297.647000 	 44.546000 	 -74.303390 	 4.024109 	 297.647000 	 44.546000 	 -74.303390 	 109.119149 	 108.872749 	 299.974019
2:31:55.714 PM 7/14/2023 	 3.992648 	 297.647000 	 44.546000 	 -73.137620 	 4.020897 	 297.647000 	 44.546000 	 -73.137620 	 109.119507 	 108.872570 	 299.974783
2:32:06.214 PM 7/14/2023 	 4.004921 	 297.647000 	 44.546000 	 -73.259530 	 4.014608 	 297.647000 	 44.546000 	 -73.259530 	 109.119328 	 108.872391 	 299.975802
2:32:16.713 PM 7/14/2023 	 4.009941 	 297.647000 	 44.546000 	 -73.458014 	 4.022342 	 297.647000 	 44.546000 	 -73.458014 	 109.119923 	 108.871974 	 299.976515
2:32:26.714 PM 7/14/2023 	 4.009418 	 297.647000 	 44.546000 	 -73.068671 	 4.014800 	 297.647000 	 44.546000 	 -73.068671 	 109.120281 	 108.871617 	 299.977254
