Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:24:06.101 PM 7/14/2023 	 4.006599 	 297.647000 	 44.546000 	 -74.779497 	 4.008374 	 297.647000 	 44.546000 	 -74.779497 	 109.109084 	 108.853807 	 299.888200
2:24:16.102 PM 7/14/2023 	 4.015948 	 297.647000 	 44.546000 	 -74.464175 	 4.013338 	 297.647000 	 44.546000 	 -74.464175 	 109.110632 	 108.854343 	 299.889624
2:24:26.602 PM 7/14/2023 	 4.014786 	 297.647000 	 44.546000 	 -74.411416 	 4.020579 	 297.647000 	 44.546000 	 -74.411416 	 109.109977 	 108.854581 	 299.891734
2:24:37.102 PM 7/14/2023 	 3.991439 	 297.647000 	 44.546000 	 -75.337391 	 4.009521 	 297.647000 	 44.546000 	 -75.337391 	 109.108250 	 108.855177 	 299.893514
2:24:47.601 PM 7/14/2023 	 4.007440 	 297.647000 	 44.546000 	 -75.234726 	 4.023087 	 297.647000 	 44.546000 	 -75.234726 	 109.106522 	 108.856130 	 299.895803
2:24:58.102 PM 7/14/2023 	 4.011114 	 297.647000 	 44.546000 	 -73.915149 	 4.028436 	 297.647000 	 44.546000 	 -73.915149 	 109.107118 	 108.856487 	 299.897660
2:25:08.601 PM 7/14/2023 	 4.009573 	 297.647000 	 44.546000 	 -74.068068 	 4.019983 	 297.647000 	 44.546000 	 -74.068068 	 109.106880 	 108.857321 	 299.899389
2:25:18.602 PM 7/14/2023 	 4.014103 	 297.647000 	 44.546000 	 -74.863303 	 4.019358 	 297.647000 	 44.546000 	 -74.863303 	 109.106761 	 108.857679 	 299.900813
2:25:28.602 PM 7/14/2023 	 4.009459 	 297.647000 	 44.546000 	 -74.099940 	 4.030371 	 297.647000 	 44.546000 	 -74.099940 	 109.106582 	 108.858572 	 299.902415
2:25:39.102 PM 7/14/2023 	 4.003482 	 297.647000 	 44.546000 	 -75.560441 	 4.010403 	 297.647000 	 44.546000 	 -75.560441 	 109.108786 	 108.859406 	 299.904425
2:25:49.602 PM 7/14/2023 	 4.009684 	 297.647000 	 44.546000 	 -74.523499 	 4.029393 	 297.647000 	 44.546000 	 -74.523499 	 109.110751 	 108.859287 	 299.906053
2:26:00.102 PM 7/14/2023 	 4.004299 	 297.647000 	 44.546000 	 -74.513752 	 4.015878 	 297.647000 	 44.546000 	 -74.513752 	 109.111347 	 108.859823 	 299.908139
2:26:10.103 PM 7/14/2023 	 4.005137 	 297.647000 	 44.546000 	 -75.147057 	 4.020009 	 297.647000 	 44.546000 	 -75.147057 	 109.111109 	 108.860300 	 299.909436
2:26:20.103 PM 7/14/2023 	 4.017013 	 297.647000 	 44.546000 	 -74.617174 	 4.020433 	 297.647000 	 44.546000 	 -74.617174 	 109.109917 	 108.860300 	 299.910504
2:26:30.603 PM 7/14/2023 	 4.011488 	 297.647000 	 44.546000 	 -73.890005 	 4.012905 	 297.647000 	 44.546000 	 -73.890005 	 109.109798 	 108.861134 	 299.912234
