IMPEDANCE MEASUREMENT 
7/14/2023-2:12 PM
Chamber temperature (K): 296.41
Chamber pressure (MPa): 2.50
Description: 	10_ohm_outsideChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.4424915313721	12.7192869186401
1	750117.1874999999990	11.0611286163330	9.5538110733032
2	562382.8124999999990	10.8454952239990	7.2510142326355
3	421757.8124999999990	10.7177352905273	5.5272879600525
4	316289.0624999999990	10.6408176422119	4.2420792579651
5	237304.6875000000000	10.5896453857422	3.2822756767273
6	178007.8125000000000	10.5532131195068	2.5489439964294
7	133476.5625000000000	10.5288610458374	1.9942305088043
8	100195.3125000000000	10.5013895034790	1.5572872161865
9	75117.1874999999999	10.4886684417725	1.2015779018402
10	56367.1874999999999	10.4778814315796	0.9137564897537
11	42304.6874999999999	10.4712123870850	0.6935446858406
12	31757.8125000000000	10.4677104949951	0.5192352533340
13	23789.0625000000000	10.4658088684082	0.3896776437759
14	17929.6875000000000	10.4649496078491	0.2901398241520
15	13476.5625000000000	10.4642343521118	0.2212618887424
16	9946.6464843750000	10.4643058776855	0.1637217998505
17	7431.4023437500000	10.4636096954346	0.1269199550152
18	5602.1342773437500	10.4646720886230	0.0998194143176
19	4230.1831054687500	10.4634552001953	0.0769679769874
20	3164.0625000000000	10.4628009796143	0.0675883367658
21	2343.7500000000000	10.4621582031250	0.0542718321085
22	1770.8333740234375	10.4616622924805	0.0446636565030
23	1324.7282714843750	10.4607639312744	0.0361860543489
24	1004.4642944335937	10.4601221084595	0.0292755197734
25	745.7386474609375	10.4596290588379	0.0244163498282
26	558.0357055664062	10.4590730667114	0.0187283754349
27	418.5267944335937	10.4588050842285	0.0137919960544
28	319.6022644042969	10.4584493637085	0.0090901115909
29	238.3474578857422	10.4575929641724	0.0095656188205
30	178.0063323974609	10.4568662643433	0.0220265127718
31	133.9285736083984	10.4576940536499	0.0040341760032
32	99.7340393066406	10.4576921463013	0.0029056919739
33	74.4047622680664	10.4577770233154	0.0024810789619
34	55.8035697937012	10.4573965072632	-0.0037690615281
35	41.8526802062988	10.4577836990356	0.0012256421614
36	31.8877544403076	10.4580955505371	0.0026233862154
37	23.9158172607422	10.4575223922729	0.0010116094491
38	17.7556819915771	10.4576377868652	0.0010450653499
39	13.3167610168457	10.4576711654663	-0.0007111011073
40	9.9101476669312	10.4573822021484	-0.0016282183351
