IMPEDANCE MEASUREMENT 
7/14/2023-2:32 PM
Chamber temperature (K): 296.46
Chamber pressure (MPa): 1.64
Description: 	1_ohm_insideChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.2809872627258	56.2612380981445
1	750117.1874999999990	2.5573308467865	51.3872184753418
2	562382.8124999999990	2.0829753875732	45.8420906066895
3	421757.8124999999990	1.7697470188141	41.1085243225098
4	316289.0624999999990	1.5731022357941	34.2007026672363
5	237304.6875000000000	1.4027318954468	27.4802112579346
6	178007.8125000000000	1.3249340057373	23.4883899688721
7	133476.5625000000000	1.2588710784912	18.9355583190918
8	100195.3125000000000	1.2146879434586	15.2845125198364
9	75117.1874999999999	1.1835616827011	12.2026062011719
10	56367.1874999999999	1.1617157459259	9.7045421600342
11	42304.6874999999999	1.1457036733627	7.7206344604492
12	31757.8125000000000	1.1342585086823	6.1213874816895
13	23789.0625000000000	1.1253261566162	4.8473896980286
14	17929.6875000000000	1.1186854839325	3.8638622760773
15	13476.5625000000000	1.1133929491043	3.0804409980774
16	9946.6464843750000	1.1092751026154	2.4050409793854
17	7431.4023437500000	1.1060212850571	1.9077003002167
18	5602.1342773437500	1.1037232875824	1.5202548503876
19	4230.1831054687500	1.1017328500748	1.2152203321457
20	3164.0625000000000	1.1002401113510	0.9642671346664
21	2343.7500000000000	1.0989279747009	0.7530285120010
22	1770.8333740234375	1.0980427265167	0.6040892004967
23	1324.7282714843750	1.0972111225128	0.4706532955170
24	1004.4642944335937	1.0966682434082	0.3747998476028
25	745.7386474609375	1.0963423252106	0.2929252088070
26	558.0357055664062	1.0959810018539	0.2410129904747
27	418.5267944335937	1.0955001115799	0.1879226267338
28	319.6022644042969	1.0952199697495	0.1516049504280
29	238.3474578857422	1.0951774120331	0.1260467916727
30	178.0063323974609	1.0947982072830	0.0927822291851
31	133.9285736083984	1.0947844982147	0.0722630023956
32	99.7340393066406	1.0947391986847	0.0626934915781
33	74.4047622680664	1.0945057868958	0.0429235771298
34	55.8035697937012	1.0945848226547	0.0293290019035
35	41.8526802062988	1.0945582389832	0.0255687609315
36	31.8877544403076	1.0944862365723	0.0226084571332
37	23.9158172607422	1.0941756963730	0.0095805712044
38	17.7556819915771	1.0946133136749	0.0099587114528
39	13.3167610168457	1.0945338010788	0.0080657834187
40	9.9101476669312	1.0946038961411	0.0092802736908
