IMPEDANCE MEASUREMENT 
7/14/2023-2:24 PM
Chamber temperature (K): 296.43
Chamber pressure (MPa): 1.34
Description: 	1_ohm_outsideChamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.1676342487335	57.4736099243164
1	750117.1874999999990	2.4719603061676	52.2476425170898
2	562382.8124999999990	2.0197751522064	46.3954200744629
3	421757.8124999999990	1.7070097923279	41.1794281005859
4	316289.0624999999990	1.5192271471024	33.9251022338867
5	237304.6875000000000	1.3772432804108	27.5622100830078
6	178007.8125000000000	1.2934509515762	23.0923576354980
7	133476.5625000000000	1.2352021932602	18.4910755157471
8	100195.3125000000000	1.1964441537857	14.7060155868530
9	75117.1874999999999	1.1697827577591	11.6182308197021
10	56367.1874999999999	1.1513056755066	9.1551418304443
11	42304.6874999999999	1.1382149457932	7.2133669853210
12	31757.8125000000000	1.1287233829498	5.6787428855896
13	23789.0625000000000	1.1215889453888	4.4711737632751
14	17929.6875000000000	1.1161499023437	3.5467774868011
15	13476.5625000000000	1.1119873523712	2.8023028373718
16	9946.6464843750000	1.1084166765213	2.1820113658905
17	7431.4023437500000	1.1057171821594	1.7208927869797
18	5602.1342773437500	1.1037104129791	1.3666237592697
19	4230.1831054687500	1.1022013425827	1.0888965129852
20	3164.0625000000000	1.1008374691010	0.8636804223061
21	2343.7500000000000	1.0997191667557	0.6807726025581
22	1770.8333740234375	1.0988905429840	0.5433371067047
23	1324.7282714843750	1.0981634855270	0.4335522353649
24	1004.4642944335937	1.0976580381393	0.3487482964993
25	745.7386474609375	1.0971915721893	0.2727832794189
26	558.0357055664062	1.0969189405441	0.2197548598051
27	418.5267944335937	1.0965926647186	0.1727474927902
28	319.6022644042969	1.0964117050171	0.1362589299679
29	238.3474578857422	1.0962121486664	0.1082282587886
30	178.0063323974609	1.0962308645248	0.1030451804399
31	133.9285736083984	1.0959534645081	0.0666699036956
32	99.7340393066406	1.0958062410355	0.0472383052111
33	74.4047622680664	1.0958343744278	0.0415050312877
34	55.8035697937012	1.0958453416824	0.0213368348777
35	41.8526802062988	1.0957525968552	0.0217877589166
36	31.8877544403076	1.0957146883011	0.0180073231459
37	23.9158172607422	1.0957424640656	0.0154033917934
38	17.7556819915771	1.0957297086716	0.0095970816910
39	13.3167610168457	1.0957204103470	0.0077068414539
40	9.9101476669312	1.0957187414169	0.0070455097593
