IMPEDANCE MEASUREMENT 
7/17/2023-12:58 PM
Chamber temperature (K): 296.32
Chamber pressure (MPa): 1.64
Description: 	KeithTest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	2.6375255584717	51.2267761230469
1	841523.4374999999990	2.2992315292358	47.7072029113770
2	708164.0624999999990	2.0426323413849	44.1389427185059
3	595664.0624999999990	1.8447568416595	40.5025367736816
4	501210.9374999999990	1.6927368640900	36.8677597045898
5	421757.8124999999990	1.5582566261292	33.9762306213379
6	354960.9374999999990	1.4648569822311	28.4102401733398
7	298710.9374999999990	1.3963638544083	25.5187625885010
8	251367.1875000000000	1.3449636697769	23.8856067657471
9	211523.4375000000000	1.3018608093262	21.0364379882812
10	178007.8125000000000	1.2681169509888	18.4729251861572
11	149648.4375000000000	1.2404429912567	16.1640110015869
12	125976.5625000000000	1.2186732292175	14.1292905807495
13	106054.6875000000000	1.2010074853897	12.3430500030518
14	89179.6874999999999	1.1861279010773	10.7536602020264
15	75117.1874999999999	1.1745274066925	9.3675994873047
16	63164.0624999999999	1.1648341417313	8.1484651565552
17	53320.3124999999999	1.1569684743881	7.1037020683289
18	44882.8124999999999	1.1504292488098	6.1795363426208
19	37617.1874999999999	1.1447318792343	5.3584628105164
20	31757.8125000000000	1.1400623321533	4.6651167869568
21	26835.9375000000000	1.1360844373703	4.0780272483826
22	22617.1875000000000	1.1326206922531	3.5661952495575
23	18867.1875000000000	1.1294955015182	3.0803306102753
24	15663.1093750000000	1.1269000768661	2.6529817581177
25	13476.5625000000000	1.1247529983521	2.3572604656219
26	11089.9394531250000	1.1225026845932	2.0140771865845
27	9492.1875000000000	1.1210975646973	1.7855286598206
28	7888.7197265625000	1.1194170713425	1.5404030084610
29	6745.4267578125000	1.1182639598846	1.3571007251740
30	5602.1342773437500	1.1170555353165	1.1726734638214
31	4687.5000000000000	1.1160250902176	1.0286991596222
32	4001.5244140625000	1.1152638196945	0.9073944687843
33	3315.5488281250000	1.1143807172775	0.7850944995880
34	2790.1784667968750	1.1137049198151	0.6856157183647
35	2343.7500000000000	1.1130608320236	0.5975143909454
36	1979.1666259765625	1.1126137971878	0.5229362249374
37	1674.1071777343750	1.1121175289154	0.4605419635773
38	1417.1511230468750	1.1117748022079	0.3983551859856
39	1199.1279296875000	1.1113797426224	0.3471803665161
40	1004.4642944335937	1.1112220287323	0.3016196489334
