Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:58:24.527 PM 7/17/2023 	 1.033986 	 2.104517 	 296.319318 	 295.627478 	 296.071838 	 296.027158 	 295.919908 	 296.311159
12:58:34.527 PM 7/17/2023 	 1.197090 	 1.572345 	 296.322384 	 295.625945 	 296.080774 	 296.021984 	 295.924612 	 296.325261
12:58:45.027 PM 7/17/2023 	 1.028712 	 2.069765 	 296.322997 	 295.624872 	 296.080759 	 296.036550 	 295.916599 	 296.281059
12:58:55.527 PM 7/17/2023 	 1.475077 	 1.685410 	 296.325296 	 295.623952 	 296.101789 	 296.058993 	 295.929639 	 296.333574
12:59:06.026 PM 7/17/2023 	 0.775906 	 1.986697 	 296.328361 	 295.622266 	 296.100573 	 296.037083 	 295.914780 	 296.284413
12:59:16.527 PM 7/17/2023 	 1.963146 	 2.244314 	 296.329894 	 295.621806 	 296.082653 	 296.050202 	 295.951895 	 296.289064
12:59:27.026 PM 7/17/2023 	 1.315110 	 2.516185 	 296.333266 	 295.621653 	 296.111070 	 296.039585 	 295.919636 	 296.334860
12:59:37.027 PM 7/17/2023 	 1.207120 	 1.894725 	 296.335871 	 295.620120 	 296.106660 	 296.056340 	 295.918988 	 296.297549
12:59:47.027 PM 7/17/2023 	 2.364664 	 2.638471 	 296.336791 	 295.620887 	 296.104864 	 296.067241 	 295.933186 	 296.254384
12:59:57.027 PM 7/17/2023 	 0.939914 	 2.165759 	 296.337404 	 295.620887 	 296.092466 	 296.044025 	 295.938660 	 296.154068
1:00:07.527 PM 7/17/2023 	 1.789536 	 1.843808 	 296.335565 	 295.621653 	 296.106542 	 296.039290 	 295.949448 	 296.144632
1:00:18.027 PM 7/17/2023 	 2.044055 	 2.025816 	 296.334339 	 295.622879 	 296.098935 	 296.051436 	 295.939957 	 296.296878
1:00:28.027 PM 7/17/2023 	 1.045140 	 1.935341 	 296.328514 	 295.622879 	 296.120117 	 296.031702 	 295.944211 	 296.140807
1:00:38.027 PM 7/17/2023 	 1.167509 	 1.609739 	 296.322230 	 295.621806 	 296.097375 	 296.043291 	 295.943101 	 296.226682
1:00:48.027 PM 7/17/2023 	 1.584389 	 2.450512 	 296.319471 	 295.623033 	 296.119218 	 296.042090 	 295.942370 	 296.184578
1:00:58.527 PM 7/17/2023 	 1.277092 	 2.091476 	 296.319012 	 295.624719 	 296.106454 	 296.038261 	 295.919723 	 296.295932
1:01:09.026 PM 7/17/2023 	 1.378074 	 0.895864 	 296.317479 	 295.624259 	 296.098161 	 296.050661 	 295.944827 	 296.158822
1:01:19.027 PM 7/17/2023 	 0.885143 	 2.175158 	 296.314720 	 295.624719 	 296.102783 	 296.043056 	 295.940043 	 296.023772
1:01:29.027 PM 7/17/2023 	 1.398870 	 2.522965 	 296.311961 	 295.624872 	 296.105336 	 296.046079 	 295.930365 	 296.050782
1:01:39.527 PM 7/17/2023 	 1.607474 	 2.322485 	 296.309509 	 295.625025 	 296.127041 	 296.040509 	 295.922912 	 295.953019
1:01:49.527 PM 7/17/2023 	 1.092588 	 2.132964 	 296.306750 	 295.626405 	 296.094872 	 296.050664 	 295.936363 	 295.965058
1:01:59.527 PM 7/17/2023 	 0.654107 	 2.036054 	 296.306903 	 295.626098 	 296.106145 	 296.053473 	 295.944347 	 296.132950
1:02:10.027 PM 7/17/2023 	 1.208763 	 2.027108 	 296.305830 	 295.625025 	 296.122920 	 296.040149 	 295.942311 	 296.234356
