Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:58:24.527 PM 7/17/2023 	 4.008225 	 297.647000 	 44.546000 	 -76.935052 	 4.022354 	 297.647000 	 44.546000 	 -76.935052 	 109.065188 	 108.788047 	 299.809775
12:58:34.527 PM 7/17/2023 	 4.010134 	 297.647000 	 44.546000 	 -76.725487 	 4.016202 	 297.647000 	 44.546000 	 -76.725487 	 109.066379 	 108.787451 	 299.809775
12:58:45.027 PM 7/17/2023 	 4.008152 	 297.647000 	 44.546000 	 -77.082424 	 4.021939 	 297.647000 	 44.546000 	 -77.082424 	 109.066617 	 108.787034 	 299.809293
12:58:55.527 PM 7/17/2023 	 4.013376 	 297.647000 	 44.546000 	 -76.501545 	 4.017530 	 297.647000 	 44.546000 	 -76.501545 	 109.067511 	 108.786677 	 299.808227
12:59:06.026 PM 7/17/2023 	 4.005213 	 297.647000 	 44.546000 	 -77.163464 	 4.020970 	 297.647000 	 44.546000 	 -77.163464 	 109.068702 	 108.786021 	 299.806552
12:59:16.527 PM 7/17/2023 	 4.019117 	 297.647000 	 44.546000 	 -75.510161 	 4.024088 	 297.647000 	 44.546000 	 -75.510161 	 109.069297 	 108.785843 	 299.804166
12:59:27.026 PM 7/17/2023 	 4.011485 	 297.647000 	 44.546000 	 -76.947160 	 4.027125 	 297.647000 	 44.546000 	 -76.947160 	 109.070608 	 108.785783 	 299.801095
12:59:37.027 PM 7/17/2023 	 4.010230 	 297.647000 	 44.546000 	 -76.976019 	 4.019919 	 297.647000 	 44.546000 	 -76.976019 	 109.071620 	 108.785188 	 299.798583
12:59:47.027 PM 7/17/2023 	 4.023708 	 297.647000 	 44.546000 	 -76.343568 	 4.028590 	 297.647000 	 44.546000 	 -76.343568 	 109.071978 	 108.785485 	 299.794929
12:59:57.027 PM 7/17/2023 	 4.007200 	 297.647000 	 44.546000 	 -76.099702 	 4.023130 	 297.647000 	 44.546000 	 -76.099702 	 109.072216 	 108.785485 	 299.791021
1:00:07.527 PM 7/17/2023 	 4.017095 	 297.647000 	 44.546000 	 -75.619150 	 4.019437 	 297.647000 	 44.546000 	 -75.619150 	 109.071501 	 108.785783 	 299.786784
1:00:18.027 PM 7/17/2023 	 4.020013 	 297.647000 	 44.546000 	 -76.041942 	 4.021513 	 297.647000 	 44.546000 	 -76.041942 	 109.071025 	 108.786260 	 299.782497
1:00:28.027 PM 7/17/2023 	 4.008441 	 297.647000 	 44.546000 	 -75.852453 	 4.020479 	 297.647000 	 44.546000 	 -75.852453 	 109.068761 	 108.786260 	 299.778311
1:00:38.027 PM 7/17/2023 	 4.009856 	 297.647000 	 44.546000 	 -75.901900 	 4.016701 	 297.647000 	 44.546000 	 -75.901900 	 109.066319 	 108.785843 	 299.774405
1:00:48.027 PM 7/17/2023 	 4.014690 	 297.647000 	 44.546000 	 -75.934442 	 4.026444 	 297.647000 	 44.546000 	 -75.934442 	 109.065247 	 108.786319 	 299.769941
1:00:58.527 PM 7/17/2023 	 4.011044 	 297.647000 	 44.546000 	 -76.943289 	 4.022202 	 297.647000 	 44.546000 	 -76.943289 	 109.065069 	 108.786975 	 299.766137
1:01:09.026 PM 7/17/2023 	 4.012305 	 297.647000 	 44.546000 	 -75.824995 	 4.008432 	 297.647000 	 44.546000 	 -75.824995 	 109.064473 	 108.786796 	 299.761167
1:01:19.027 PM 7/17/2023 	 4.006570 	 297.647000 	 44.546000 	 -76.038115 	 4.023244 	 297.647000 	 44.546000 	 -76.038115 	 109.063401 	 108.786975 	 299.756882
1:01:29.027 PM 7/17/2023 	 4.012495 	 297.647000 	 44.546000 	 -76.469229 	 4.027241 	 297.647000 	 44.546000 	 -76.469229 	 109.062329 	 108.787034 	 299.752877
1:01:39.527 PM 7/17/2023 	 4.014888 	 297.647000 	 44.546000 	 -76.801236 	 4.024891 	 297.647000 	 44.546000 	 -76.801236 	 109.061376 	 108.787094 	 299.748744
1:01:49.527 PM 7/17/2023 	 4.008963 	 297.647000 	 44.546000 	 -76.202055 	 4.022742 	 297.647000 	 44.546000 	 -76.202055 	 109.060304 	 108.787630 	 299.744815
1:01:59.527 PM 7/17/2023 	 4.003905 	 297.647000 	 44.546000 	 -75.846385 	 4.021647 	 297.647000 	 44.546000 	 -75.846385 	 109.060363 	 108.787511 	 299.741064
1:02:10.027 PM 7/17/2023 	 4.010332 	 297.647000 	 44.546000 	 -75.937089 	 4.021536 	 297.647000 	 44.546000 	 -75.937089 	 109.059947 	 108.787094 	 299.736705
