Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
4:57:46.098 PM 7/20/2023 	 4.011786 	 297.647000 	 44.546000 	 -48.874631 	 4.015916 	 297.647000 	 44.546000 	 -48.874631 	 109.254648 	 108.824322 	 300.354665
4:57:56.099 PM 7/20/2023 	 4.004477 	 297.647000 	 44.546000 	 -48.847365 	 4.021043 	 297.647000 	 44.546000 	 -48.847365 	 109.256673 	 108.824977 	 300.359006
4:58:06.599 PM 7/20/2023 	 4.018522 	 297.647000 	 44.546000 	 -47.830695 	 4.020395 	 297.647000 	 44.546000 	 -47.830695 	 109.256197 	 108.825573 	 300.363477
4:58:17.098 PM 7/20/2023 	 4.016537 	 297.647000 	 44.546000 	 -49.385322 	 4.019376 	 297.647000 	 44.546000 	 -49.385322 	 109.256911 	 108.826347 	 300.366612
4:58:27.099 PM 7/20/2023 	 4.015548 	 297.647000 	 44.546000 	 -49.194434 	 4.016342 	 297.647000 	 44.546000 	 -49.194434 	 109.256733 	 108.826526 	 300.369001
4:58:37.599 PM 7/20/2023 	 4.006284 	 297.647000 	 44.546000 	 -47.724434 	 4.022704 	 297.647000 	 44.546000 	 -47.724434 	 109.254886 	 108.826943 	 300.370980
4:58:47.599 PM 7/20/2023 	 4.017273 	 297.647000 	 44.546000 	 -48.483002 	 4.010482 	 297.647000 	 44.546000 	 -48.483002 	 109.254172 	 108.827658 	 300.372265
4:58:58.099 PM 7/20/2023 	 4.028016 	 297.647000 	 44.546000 	 -47.770667 	 4.015253 	 297.647000 	 44.546000 	 -47.770667 	 109.252683 	 108.828015 	 300.373216
4:59:08.599 PM 7/20/2023 	 4.015504 	 297.647000 	 44.546000 	 -47.543922 	 4.029332 	 297.647000 	 44.546000 	 -47.543922 	 109.253159 	 108.828849 	 300.373139
4:59:19.099 PM 7/20/2023 	 4.016744 	 297.647000 	 44.546000 	 -47.611314 	 4.018450 	 297.647000 	 44.546000 	 -47.611314 	 109.255422 	 108.829504 	 300.373036
4:59:29.599 PM 7/20/2023 	 4.002773 	 297.647000 	 44.546000 	 -47.806393 	 4.007291 	 297.647000 	 44.546000 	 -47.806393 	 109.258222 	 108.830457 	 300.372419
4:59:40.098 PM 7/20/2023 	 4.015215 	 297.647000 	 44.546000 	 -48.865293 	 4.021227 	 297.647000 	 44.546000 	 -48.865293 	 109.260842 	 108.830696 	 300.371674
4:59:50.098 PM 7/20/2023 	 4.013297 	 297.647000 	 44.546000 	 -47.920664 	 4.017942 	 297.647000 	 44.546000 	 -47.920664 	 109.261974 	 108.832185 	 300.370338
5:00:00.098 PM 7/20/2023 	 4.010014 	 297.647000 	 44.546000 	 -48.104035 	 4.016695 	 297.647000 	 44.546000 	 -48.104035 	 109.262808 	 108.832602 	 300.369515
5:00:10.099 PM 7/20/2023 	 4.008143 	 297.647000 	 44.546000 	 -48.094073 	 4.014246 	 297.647000 	 44.546000 	 -48.094073 	 109.263999 	 108.833078 	 300.367871
5:00:20.599 PM 7/20/2023 	 4.013855 	 297.647000 	 44.546000 	 -47.654031 	 4.020707 	 297.647000 	 44.546000 	 -47.654031 	 109.264416 	 108.833853 	 300.366483
5:00:31.099 PM 7/20/2023 	 4.012886 	 297.647000 	 44.546000 	 -47.982362 	 4.015308 	 297.647000 	 44.546000 	 -47.982362 	 109.265429 	 108.834269 	 300.364762
5:00:41.099 PM 7/20/2023 	 4.010589 	 297.647000 	 44.546000 	 -47.688621 	 4.014832 	 297.647000 	 44.546000 	 -47.688621 	 109.266739 	 108.835223 	 300.362912
5:00:51.599 PM 7/20/2023 	 4.016374 	 297.647000 	 44.546000 	 -48.890173 	 4.013527 	 297.647000 	 44.546000 	 -48.890173 	 109.268704 	 108.835163 	 300.361319
5:01:02.099 PM 7/20/2023 	 4.004585 	 297.647000 	 44.546000 	 -47.682686 	 4.022398 	 297.647000 	 44.546000 	 -47.682686 	 109.265309 	 108.836056 	 300.359777
5:01:12.598 PM 7/20/2023 	 4.006587 	 297.647000 	 44.546000 	 -47.556358 	 4.013104 	 297.647000 	 44.546000 	 -47.556358 	 109.262510 	 108.836235 	 300.357927
5:01:22.599 PM 7/20/2023 	 4.012833 	 297.647000 	 44.546000 	 -47.228819 	 4.012170 	 297.647000 	 44.546000 	 -47.228819 	 109.260962 	 108.836950 	 300.355898
5:01:32.599 PM 7/20/2023 	 4.014590 	 297.647000 	 44.546000 	 -47.916734 	 4.020176 	 297.647000 	 44.546000 	 -47.916734 	 109.259294 	 108.837665 	 300.355024
