Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
4:26:09.241 PM 7/20/2023 	 1.007378 	 0.966259 	 296.768429 	 295.589310 	 296.450478 	 296.589084 	 296.530827 	 296.698531
4:26:19.741 PM 7/20/2023 	 0.409904 	 2.380953 	 296.775940 	 295.589157 	 296.440239 	 296.598109 	 296.556767 	 296.826834
4:26:30.241 PM 7/20/2023 	 1.343964 	 1.602224 	 296.782532 	 295.591609 	 296.441419 	 296.598819 	 296.555598 	 296.661765
4:26:40.241 PM 7/20/2023 	 0.717252 	 1.791925 	 296.783145 	 295.591916 	 296.441697 	 296.603794 	 296.546479 	 296.715116
4:26:50.741 PM 7/20/2023 	 0.692689 	 1.622000 	 296.787590 	 295.592836 	 296.448502 	 296.585229 	 296.561740 	 296.671193
4:27:00.742 PM 7/20/2023 	 -0.127614 	 1.985391 	 296.789583 	 295.592529 	 296.435903 	 296.581560 	 296.540687 	 296.643568
4:27:10.742 PM 7/20/2023 	 0.010926 	 1.295638 	 296.790503 	 295.593296 	 296.446330 	 296.603729 	 296.568025 	 296.676068
4:27:21.241 PM 7/20/2023 	 0.954246 	 1.347581 	 296.792036 	 295.593602 	 296.449947 	 296.592311 	 296.554728 	 296.726180
4:27:31.741 PM 7/20/2023 	 1.262060 	 1.807634 	 296.791269 	 295.591609 	 296.458744 	 296.580906 	 296.562583 	 296.695051
4:27:41.742 PM 7/20/2023 	 1.060887 	 1.272227 	 296.792802 	 295.591150 	 296.444335 	 296.623343 	 296.549117 	 296.675483
4:27:51.742 PM 7/20/2023 	 1.333991 	 1.058993 	 296.793875 	 295.590536 	 296.458050 	 296.611687 	 296.552023 	 296.776074
4:28:02.241 PM 7/20/2023 	 0.577728 	 0.658793 	 296.793569 	 295.588697 	 296.482263 	 296.606767 	 296.529719 	 296.708695
4:28:12.242 PM 7/20/2023 	 0.914569 	 1.391229 	 296.791576 	 295.586704 	 296.455985 	 296.596468 	 296.537273 	 296.583315
4:28:22.742 PM 7/20/2023 	 1.190014 	 2.040290 	 296.789430 	 295.587777 	 296.473368 	 296.612437 	 296.561231 	 296.543378
4:28:33.242 PM 7/20/2023 	 1.529641 	 1.271234 	 296.789276 	 295.587777 	 296.436545 	 296.599584 	 296.544148 	 296.637164
4:28:43.742 PM 7/20/2023 	 1.935134 	 1.760309 	 296.790196 	 295.587471 	 296.452102 	 296.613726 	 296.549365 	 296.849017
4:28:53.742 PM 7/20/2023 	 1.471463 	 1.696615 	 296.787744 	 295.589157 	 296.459979 	 296.599522 	 296.549253 	 296.540327
4:29:04.242 PM 7/20/2023 	 0.929638 	 1.901783 	 296.778546 	 295.590996 	 296.483858 	 296.578296 	 296.552927 	 296.452845
4:29:14.742 PM 7/20/2023 	 0.622918 	 1.803534 	 296.774867 	 295.592376 	 296.460149 	 296.589827 	 296.561169 	 296.422555
4:29:24.743 PM 7/20/2023 	 2.005181 	 1.948322 	 296.772568 	 295.592069 	 296.460663 	 296.581885 	 296.558864 	 296.443746
4:29:35.242 PM 7/20/2023 	 0.883683 	 2.213205 	 296.772874 	 295.593449 	 296.473343 	 296.598320 	 296.555099 	 296.476163
4:29:45.242 PM 7/20/2023 	 1.619836 	 1.737852 	 296.771955 	 295.592989 	 296.458216 	 296.593062 	 296.550310 	 296.579908
4:29:55.243 PM 7/20/2023 	 1.071134 	 1.687522 	 296.771495 	 295.594062 	 296.472152 	 296.599947 	 296.553437 	 296.739449
4:30:05.243 PM 7/20/2023 	 0.495091 	 2.246588 	 296.770728 	 295.595748 	 296.454598 	 296.603538 	 296.548102 	 296.658497
4:30:15.243 PM 7/20/2023 	 0.814758 	 1.110456 	 296.769195 	 295.594675 	 296.458029 	 296.595693 	 296.553411 	 296.553881
4:30:25.243 PM 7/20/2023 	 1.212428 	 1.569776 	 296.769502 	 295.594369 	 296.466816 	 296.594612 	 296.534947 	 296.531658
4:30:35.243 PM 7/20/2023 	 0.574190 	 1.294797 	 296.771035 	 295.596208 	 296.473350 	 296.597856 	 296.539601 	 296.546178
4:30:45.743 PM 7/20/2023 	 0.783742 	 1.882421 	 296.769502 	 295.595288 	 296.476350 	 296.595688 	 296.551997 	 296.607433
4:30:56.243 PM 7/20/2023 	 1.300981 	 1.714859 	 296.765823 	 295.595748 	 296.456911 	 296.599274 	 296.554643 	 296.429655
4:31:06.244 PM 7/20/2023 	 1.306752 	 1.834741 	 296.764290 	 295.597741 	 296.472361 	 296.585593 	 296.552237 	 296.625523
4:31:16.244 PM 7/20/2023 	 1.693327 	 1.802861 	 296.763217 	 295.598507 	 296.457563 	 296.596168 	 296.547778 	 296.542140
4:31:26.743 PM 7/20/2023 	 0.706244 	 1.991993 	 296.759845 	 295.595442 	 296.473136 	 296.586368 	 296.567576 	 296.550193
4:37:19.825 PM 7/20/2023 	 1.922862 	 1.165151 	 296.703434 	 295.580573 	 296.433286 	 296.550756 	 296.535252 	 296.576596
4:37:30.325 PM 7/20/2023 	 0.922160 	 1.442905 	 296.706807 	 295.581186 	 296.461282 	 296.562772 	 296.528944 	 296.597536
4:37:40.325 PM 7/20/2023 	 0.503632 	 1.618358 	 296.705427 	 295.580573 	 296.428411 	 296.540714 	 296.525209 	 296.446739
