IMPEDANCE MEASUREMENT 
7/20/2023-4:58 PM
Chamber temperature (K): 296.81
Chamber pressure (MPa): 1.37
Description: 	100ohmOutsidePostCalibration1
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	99.3862380981445	0.7166479229927
1	841464.8749999999990	101.9390869140625	2.4105021953583
2	707988.2499999999990	100.9628829956055	2.1803846359253
3	595722.6249999999990	100.4233398437500	1.8560034036636
4	501269.5312499999990	100.1305084228516	1.5572956800461
5	421699.2187499999990	99.8129501342773	1.3773460388184
6	354902.3437499999990	99.5440597534180	1.1821100711823
7	298652.3437499999990	99.3652496337891	1.0304259061813
8	251191.4062500000000	99.1972045898437	0.8706784248352
9	211464.8437500000000	99.1128082275391	0.7322666645050
10	177832.0312500000000	99.0607604980469	0.6215895414352
11	149707.0312500000000	99.0274047851562	0.5496672987938
12	125917.9687500000000	98.9979553222656	0.4785746932030
13	105996.0937500000000	99.0143127441406	0.4238785505295
14	89238.2812499999999	99.0639114379883	0.3638986051083
15	75058.5937499999999	99.0298233032227	0.3058090209961
16	63105.4687499999999	99.0239181518555	0.2617409825325
17	53144.5312499999999	99.0180816650391	0.2288581579924
18	44707.0312499999999	99.0089340209961	0.1980479359627
19	37675.7812499999999	99.0038986206055	0.1751492321491
20	31699.2187500000000	98.9930496215820	0.1549778431654
21	26660.1562500000000	98.9954757690430	0.1398197263479
22	22441.4062500000000	98.9847793579102	0.1341978311539
23	18925.7812500000000	98.9734954833984	0.1314229816198
24	15878.9062500000000	98.9618911743164	0.1322634667158
25	13417.9687500000000	98.9442977905273	0.1366747617722
26	11168.9814453125000	98.9473114013672	0.1375307738781
27	9432.8701171875000	98.9148101806641	0.1319728940725
28	7928.2407226562500	98.8952484130859	0.1452133357525
29	6655.0927734375000	98.8552856445312	0.1485147476196
30	5613.4257812500000	98.8329772949219	0.1448987275362
31	4746.0937500000000	98.7923889160156	0.1464579254389
32	3993.0556640625000	98.7563400268555	0.1449056863785
33	3332.0783691406250	98.7135162353516	0.1405173838139
34	2835.6481933593750	98.6886291503906	0.1368234306574
35	2372.6853027343750	98.6543045043945	0.1283299028873
36	2000.7622070312500	98.6249923706055	0.1201034039259
37	1678.2407226562500	98.6009140014648	0.1127943620086
38	1411.8975830078125	98.5780181884766	0.1036719828844
39	1185.9940185546875	98.5633926391602	0.0921178311110
40	1000.7022705078125	98.5438690185547	0.0827192142606
