Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:54:22.190 AM 7/26/2023 	 0.565127 	 2.488515 	 296.437031 	 295.673157 	 296.123034 	 296.106105 	 295.894909 	 296.312506
10:54:32.690 AM 7/26/2023 	 1.115137 	 2.412709 	 296.438717 	 295.674843 	 296.120096 	 296.117745 	 295.914552 	 296.187807
10:54:42.690 AM 7/26/2023 	 1.010169 	 2.004851 	 296.439484 	 295.674383 	 296.124174 	 296.114299 	 295.907341 	 296.258175
10:54:53.190 AM 7/26/2023 	 0.484666 	 2.701925 	 296.442856 	 295.674076 	 296.120033 	 296.121443 	 295.920134 	 296.378129
10:55:03.690 AM 7/26/2023 	 1.346164 	 2.199669 	 296.445155 	 295.674996 	 296.123055 	 296.130109 	 295.921747 	 296.167256
10:55:14.190 AM 7/26/2023 	 0.601066 	 1.528794 	 296.447301 	 295.676222 	 296.122304 	 296.131709 	 295.926170 	 296.293443
10:55:24.690 AM 7/26/2023 	 2.003171 	 1.371536 	 296.448374 	 295.674843 	 296.121141 	 296.116909 	 295.929711 	 296.249502
10:55:35.190 AM 7/26/2023 	 0.591626 	 2.717071 	 296.448680 	 295.675456 	 296.130570 	 296.125397 	 295.933968 	 296.289484
10:55:45.190 AM 7/26/2023 	 2.509552 	 2.313243 	 296.448374 	 295.676222 	 296.124326 	 296.143135 	 295.920195 	 296.191566
10:55:55.690 AM 7/26/2023 	 0.776968 	 2.280963 	 296.448374 	 295.676069 	 296.132880 	 296.137582 	 295.930164 	 296.330338
10:56:06.190 AM 7/26/2023 	 1.122574 	 0.526720 	 296.446688 	 295.677755 	 296.154479 	 296.122033 	 295.929662 	 296.265907
10:56:16.689 AM 7/26/2023 	 1.383434 	 1.877537 	 296.445461 	 295.677909 	 296.130125 	 296.129655 	 295.920822 	 296.243439
10:56:26.690 AM 7/26/2023 	 1.683405 	 1.879112 	 296.443929 	 295.678675 	 296.154333 	 296.153863 	 295.930458 	 296.325461
10:56:36.690 AM 7/26/2023 	 0.029023 	 2.444510 	 296.444695 	 295.678675 	 296.135238 	 296.137118 	 295.928289 	 296.241969
10:56:46.690 AM 7/26/2023 	 1.468289 	 1.905559 	 296.444082 	 295.678982 	 296.155461 	 296.136652 	 295.913238 	 296.397560
10:56:57.190 AM 7/26/2023 	 1.904678 	 2.054037 	 296.445461 	 295.679748 	 296.137248 	 296.145712 	 295.935005 	 296.283938
10:57:07.190 AM 7/26/2023 	 0.318496 	 2.537585 	 296.445768 	 295.679748 	 296.147984 	 296.159269 	 295.927869 	 296.304542
