Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:54:22.190 AM 7/26/2023 	 4.002697 	 297.647000 	 44.546000 	 -78.048626 	 4.026716 	 297.647000 	 44.546000 	 -78.048626 	 109.110930 	 108.805797 	 300.122188
10:54:32.690 AM 7/26/2023 	 4.009147 	 297.647000 	 44.546000 	 -77.173626 	 4.025907 	 297.647000 	 44.546000 	 -77.173626 	 109.111585 	 108.806452 	 300.123006
10:54:42.690 AM 7/26/2023 	 4.007904 	 297.647000 	 44.546000 	 -77.494865 	 4.021154 	 297.647000 	 44.546000 	 -77.494865 	 109.111883 	 108.806274 	 300.122853
10:54:53.190 AM 7/26/2023 	 4.001853 	 297.647000 	 44.546000 	 -76.924968 	 4.029279 	 297.647000 	 44.546000 	 -76.924968 	 109.113193 	 108.806155 	 300.122009
10:55:03.690 AM 7/26/2023 	 4.011853 	 297.647000 	 44.546000 	 -76.853139 	 4.023463 	 297.647000 	 44.546000 	 -76.853139 	 109.114087 	 108.806512 	 300.120808
10:55:14.190 AM 7/26/2023 	 4.003225 	 297.647000 	 44.546000 	 -76.656095 	 4.015703 	 297.647000 	 44.546000 	 -76.656095 	 109.114920 	 108.806989 	 300.118661
10:55:24.690 AM 7/26/2023 	 4.019503 	 297.647000 	 44.546000 	 -76.498354 	 4.013892 	 297.647000 	 44.546000 	 -76.498354 	 109.115337 	 108.806452 	 300.116106
10:55:35.190 AM 7/26/2023 	 4.003143 	 297.647000 	 44.546000 	 -76.308702 	 4.029504 	 297.647000 	 44.546000 	 -76.308702 	 109.115456 	 108.806691 	 300.112861
10:55:45.190 AM 7/26/2023 	 4.025343 	 297.647000 	 44.546000 	 -76.922258 	 4.024774 	 297.647000 	 44.546000 	 -76.922258 	 109.115337 	 108.806989 	 300.109463
10:55:55.690 AM 7/26/2023 	 4.005280 	 297.647000 	 44.546000 	 -76.478175 	 4.024436 	 297.647000 	 44.546000 	 -76.478175 	 109.115337 	 108.806929 	 300.105349
10:56:06.190 AM 7/26/2023 	 4.009287 	 297.647000 	 44.546000 	 -76.500526 	 4.004099 	 297.647000 	 44.546000 	 -76.500526 	 109.114682 	 108.807584 	 300.100649
10:56:16.689 AM 7/26/2023 	 4.012282 	 297.647000 	 44.546000 	 -76.894337 	 4.019726 	 297.647000 	 44.546000 	 -76.894337 	 109.114206 	 108.807644 	 300.096076
10:56:26.690 AM 7/26/2023 	 4.015796 	 297.647000 	 44.546000 	 -76.465096 	 4.019779 	 297.647000 	 44.546000 	 -76.465096 	 109.113610 	 108.807942 	 300.091632
10:56:36.690 AM 7/26/2023 	 3.996597 	 297.647000 	 44.546000 	 -76.561707 	 4.026325 	 297.647000 	 44.546000 	 -76.561707 	 109.113908 	 108.807942 	 300.086677
10:56:46.690 AM 7/26/2023 	 4.013239 	 297.647000 	 44.546000 	 -77.232143 	 4.020024 	 297.647000 	 44.546000 	 -77.232143 	 109.113670 	 108.808061 	 300.081545
10:56:57.190 AM 7/26/2023 	 4.018379 	 297.647000 	 44.546000 	 -76.262546 	 4.021822 	 297.647000 	 44.546000 	 -76.262546 	 109.114206 	 108.808359 	 300.077000
10:57:07.190 AM 7/26/2023 	 3.999953 	 297.647000 	 44.546000 	 -76.580431 	 4.027402 	 297.647000 	 44.546000 	 -76.580431 	 109.114325 	 108.808359 	 300.072251
