IMPEDANCE MEASUREMENT 
7/26/2023-10:54 AM
Chamber temperature (K): 296.44
Chamber pressure (MPa): 2.08
Description: 	100ohmInsidePostCalibration1
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	100.2822418212891	0.9679323434830
1	841464.8749999999990	105.2773818969727	2.5277547836304
2	707988.2499999999990	104.3560638427734	2.3307468891144
3	595722.6249999999990	103.6218643188477	1.9595286846161
4	501269.5312499999990	103.3197631835937	1.7883189916611
5	421699.2187499999990	102.7383804321289	1.6480914354324
6	354902.3437499999990	102.3713684082031	1.4051271677017
7	298652.3437499999990	102.1647186279297	1.2456372976303
8	251191.4062500000000	101.9537811279297	1.1005767583847
9	211464.8437500000000	101.8386459350586	0.9922015070915
10	177832.0312500000000	101.7820739746094	0.9015334844589
11	149707.0312500000000	101.5554733276367	0.8650130629539
12	125917.9687500000000	101.4680099487305	0.8386941552162
13	105996.0937500000000	101.4388351440430	0.7927759885788
14	89238.2812499999999	101.4979705810547	0.9668869376183
15	75058.5937499999999	101.4376907348633	0.9491792917252
16	63105.4687499999999	101.2715835571289	0.8830696344376
17	53144.5312499999999	101.1598205566406	0.8749248385429
18	44707.0312499999999	101.0688247680664	0.8496714830399
19	37675.7812499999999	100.8429489135742	0.8498203754425
20	31699.2187500000000	100.7499923706055	0.8359344601631
21	26660.1562500000000	100.4994964599609	0.8714852929115
22	22441.4062500000000	100.4356079101562	0.8099330067635
23	18925.7812500000000	100.2125625610352	0.7994388937950
24	15878.9062500000000	100.0172729492187	0.7726938724518
25	13417.9687500000000	99.8290557861328	0.7453005909920
26	11168.9814453125000	99.7780380249023	0.6823994517326
27	9432.8701171875000	99.5952987670898	0.6474207043648
28	7928.2407226562500	99.4695358276367	0.5985888242722
29	6655.0927734375000	99.3420791625977	0.4996401965618
30	5613.4257812500000	99.2234802246094	0.4891991913319
31	4746.0937500000000	99.1207427978516	0.4467286765575
32	3993.0556640625000	99.0565872192383	0.4025888741016
33	3332.0783691406250	98.9982452392578	0.3615999519825
34	2835.6481933593750	98.9555664062500	0.3248866796494
35	2372.6853027343750	98.9082717895508	0.2823819220066
36	2000.7622070312500	98.8824234008789	0.2529319822788
37	1678.2407226562500	98.8415222167969	0.2278704196215
38	1411.8975830078125	98.8051605224609	0.2089878916740
39	1185.9940185546875	98.7927932739258	0.1816882938147
40	1000.7022705078125	98.7438049316406	0.1749489009380
