IMPEDANCE MEASUREMENT 
7/26/2023-10:54 AM
Chamber temperature (K): 296.44
Chamber pressure (MPa): 1.85
Description: 	100ohmInsidePostCalibration1
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	101.9023971557617	0.5443527102470
1	841464.8749999999990	105.0972137451172	2.5820276737213
2	707988.2499999999990	104.3179168701172	2.3296823501587
3	595722.6249999999990	103.6575927734375	1.9854419231415
4	501269.5312499999990	103.2039718627930	1.7857490777969
5	421699.2187499999990	102.7965240478516	1.5898237228394
6	354902.3437499999990	102.4639663696289	1.4490104913712
7	298652.3437499999990	102.2385482788086	1.2780348062515
8	251191.4062500000000	102.0082855224609	1.1000863313675
9	211464.8437500000000	101.8453598022461	0.9657183289528
10	177832.0312500000000	101.7498321533203	0.9411591887474
11	149707.0312500000000	101.5804595947266	0.8803480267525
12	125917.9687500000000	101.5903091430664	0.8118956685066
13	105996.0937500000000	101.4009094238281	0.7663130760193
14	89238.2812499999999	101.5519027709961	0.9346935749054
15	75058.5937499999999	101.4397125244141	0.9278606772423
16	63105.4687499999999	101.3116989135742	0.9077824354172
17	53144.5312499999999	101.1664886474609	0.8880486488342
18	44707.0312499999999	101.0572280883789	0.8804320693016
19	37675.7812499999999	100.8851852416992	0.8479133248329
20	31699.2187500000000	100.7397003173828	0.8755121827126
21	26660.1562500000000	100.5732650756836	0.8735487461090
22	22441.4062500000000	100.3456954956055	0.8145948648453
23	18925.7812500000000	100.1877212524414	0.7826513051987
24	15878.9062500000000	100.0190429687500	0.7729492187500
25	13417.9687500000000	99.8975601196289	0.7198340296745
26	11168.9814453125000	99.7633514404297	0.6885696053505
27	9432.8701171875000	99.5745849609375	0.6467379927635
28	7928.2407226562500	99.3990249633789	0.5960466861725
29	6655.0927734375000	99.3345870971680	0.5395905971527
30	5613.4257812500000	99.2284393310547	0.5186668038368
31	4746.0937500000000	99.1132659912109	0.4423612356186
32	3993.0556640625000	99.0670471191406	0.3970621526241
33	3332.0783691406250	99.0021286010742	0.3544911146164
34	2835.6481933593750	98.9598693847656	0.3256209492683
35	2372.6853027343750	98.9148330688477	0.2893841266632
36	2000.7622070312500	98.8630142211914	0.2547620534897
37	1678.2407226562500	98.8341903686523	0.2295343875885
38	1411.8975830078125	98.8245773315430	0.2095538079739
39	1185.9940185546875	98.7797088623047	0.1823479384184
40	1000.7022705078125	98.7662887573242	0.1656524389982
