IMPEDANCE MEASUREMENT 
9/20/2023-1:06 PM
Chamber temperature (K): 294.89
Chamber pressure (MPa): 20320.90
Description: 	Default
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.0655000209808	50.1603507995605
1	857753.8749999999980	2.7983620166779	46.1624374389648
2	735644.4999999999990	2.5838460922241	42.0061111450195
3	630996.1249999999990	2.4129447937012	37.8192634582520
4	541230.4999999999990	2.2765078544617	33.6813049316406
5	464238.2812499999990	2.1702303886414	29.6778373718262
6	398144.5312499999990	2.0878942012787	25.8572597503662
7	341542.9687499999990	2.0249006748199	22.2848091125488
8	292910.1562500000000	1.9772315025330	18.9440937042236
9	251191.4062500000000	1.9409959316254	15.8608169555664
10	215449.2187500000000	1.9149950742722	13.0190477371216
11	184863.2812500000000	1.8965657949448	10.4181566238403
12	158496.0937500000000	1.8843995332718	8.0008115768433
13	135996.0937500000000	1.8771567344666	5.7446441650391
14	116660.1562500000000	1.8744331598282	3.6171100139618
15	100019.5312500000000	1.8737375736237	1.6275985240936
16	85839.8437499999999	1.8794494867325	-0.3479934036732
17	73652.3437499999999	1.8881717920303	-2.2695121765137
18	63105.4687499999999	1.9010101556778	-4.1818318367004
19	54199.2187499999999	1.9178699254990	-6.0728354454041
20	46464.8437499999999	1.9392323493958	-7.9977812767029
21	39902.3437499999999	1.9654797315598	-9.9359188079834
22	34160.1562500000000	1.9976201057434	-11.9611959457397
23	29355.4687500000000	2.0353331565857	-13.9969377517700
24	25136.7187500000000	2.0805304050446	-16.1520671844482
25	21621.0937500000000	2.1315200328827	-18.3234233856201
26	18574.2187500000000	2.1918342113495	-20.6003894805908
27	15878.9062500000000	2.2637526988983	-23.0603351593018
28	13652.3437500000000	2.3444554805756	-25.5500698089600
29	11660.1562500000000	2.4422030448914	-28.2773780822754
30	10019.5312500000000	2.5521407127380	-31.0344467163086
31	8613.2812500000000	2.6812200546265	-33.9138488769531
32	7349.5371093750000	2.8401167392731	-37.0792884826660
33	6307.8706054687500	3.0221590995789	-40.2272758483887
34	5381.9443359375000	3.2480671405792	-43.5817985534668
35	4630.3354492187500	3.5042488574982	-46.7857780456543
36	3993.0556640625000	3.8033812046051	-49.9377975463867
37	3414.3518066406250	4.1798100471497	-53.1998367309570
38	2915.3962402343750	4.6330990791321	-56.3739814758301
39	2519.5312500000000	5.1284341812134	-59.1605567932129
40	2141.2036132812500	5.7823448181152	-62.0744438171387
41	1841.5178222656250	6.4962782859802	-64.5576553344727
42	1580.6685791015625	7.3437685966492	-66.8597640991211
43	1362.6453857421875	8.3033838272095	-68.9020309448242
44	1171.8750000000000	9.4392824172974	-70.7499465942383
45	1000.7022705078125	10.8243227005005	-72.4910888671875
46	857.4694824218750	12.4021310806274	-73.9685668945312
47	734.1867675781250	14.2502727508545	-75.2791976928711
48	628.8109741210937	16.4001102447510	-76.4409484863281
49	542.7631835937500	18.7439575195312	-77.3748016357422
50	463.5989074707031	21.6520080566406	-78.2666778564453
51	400.1524353027344	24.7929744720459	-78.9739685058594
52	341.7968750000000	28.6822109222412	-79.6200332641602
53	292.9687500000000	33.0904159545898	-80.1408538818359
54	252.0161285400391	38.0626335144043	-80.5617446899414
55	215.0229339599609	44.1202621459961	-80.9136886596680
56	184.5472412109375	50.8724403381348	-81.1806259155273
57	158.0056152343750	58.7861633300781	-81.3842163085937
58	136.5291290283203	67.3531188964844	-81.5184783935547
59	116.2190093994141	78.2341003417969	-81.6036682128906
60	99.7340393066406	90.1916351318359	-81.6288604736328
