IMPEDANCE MEASUREMENT 
9/20/2023-1:09 PM
Chamber temperature (K): 294.90
Chamber pressure (MPa): 20318.20
Description: 	Default
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.0667073726654	50.1064949035645
1	857753.8749999999980	2.8001544475555	46.0969543457031
2	735644.4999999999990	2.5855576992035	41.9445991516113
3	630996.1249999999990	2.4144542217255	37.7492713928223
4	541230.4999999999990	2.2793242931366	33.6093444824219
5	464238.2812499999990	2.1730539798737	29.6225566864014
6	398144.5312499999990	2.0908262729645	25.8069248199463
7	341542.9687499999990	2.0277862548828	22.2296543121338
8	292910.1562500000000	1.9804211854935	18.9057121276855
9	251191.4062500000000	1.9439523220062	15.8418874740601
10	215449.2187500000000	1.9182623624802	13.0106697082520
11	184863.2812500000000	1.9000514745712	10.4017715454102
12	158496.0937500000000	1.8875135183334	7.9958868026733
13	135996.0937500000000	1.8804323673248	5.7413549423218
14	116660.1562500000000	1.8777467012405	3.6314830780029
15	100019.5312500000000	1.8767609596252	1.6430633068085
16	85839.8437499999999	1.8826553821564	-0.3198226690292
17	73652.3437499999999	1.8914666175842	-2.2297089099884
18	63105.4687499999999	1.9040740728378	-4.1349430084229
19	54199.2187499999999	1.9206759929657	-6.0140643119812
20	46464.8437499999999	1.9418945312500	-7.9327135086060
21	39902.3437499999999	1.9676769971848	-9.8599863052368
22	34160.1562500000000	1.9995393753052	-11.8776197433472
23	29355.4687500000000	2.0367231369019	-13.9026489257812
24	25136.7187500000000	2.0813956260681	-16.0431041717529
25	21621.0937500000000	2.1322441101074	-18.2120685577393
26	18574.2187500000000	2.1916034221649	-20.4866027832031
27	15878.9062500000000	2.2628464698792	-22.9432735443115
28	13652.3437500000000	2.3427457809448	-25.4315872192383
29	11660.1562500000000	2.4397244453430	-28.1559543609619
30	10019.5312500000000	2.5484769344330	-30.9141311645508
31	8613.2812500000000	2.6762924194336	-33.8071174621582
32	7349.5371093750000	2.8347847461700	-36.9678573608398
33	6307.8706054687500	3.0161364078522	-40.1249160766602
34	5381.9443359375000	3.2400128841400	-43.4918518066406
35	4630.3354492187500	3.4950089454651	-46.7098197937012
36	3993.0556640625000	3.7929794788361	-49.8604736328125
37	3414.3518066406250	4.1675992012024	-53.1363258361816
38	2915.3962402343750	4.6194033622742	-56.3198585510254
39	2519.5312500000000	5.1128940582275	-59.1126708984375
40	2141.2036132812500	5.7630610466003	-62.0269012451172
41	1841.5178222656250	6.4748907089233	-64.5120162963867
42	1580.6685791015625	7.3186826705933	-66.8317108154297
43	1362.6453857421875	8.2755317687988	-68.8605194091797
44	1171.8750000000000	9.4057025909424	-70.7147750854492
45	1000.7022705078125	10.7871189117432	-72.4515151977539
46	857.4694824218750	12.3571968078613	-73.9360198974609
47	734.1867675781250	14.1932621002197	-75.2554702758789
48	628.8109741210937	16.3344764709473	-76.4169464111328
49	542.7631835937500	18.6724147796631	-77.3367767333984
50	463.5989074707031	21.5672454833984	-78.2398147583008
51	400.1524353027344	24.6947002410889	-78.9538040161133
52	341.7968750000000	28.5669765472412	-79.5964508056641
53	292.9687500000000	32.9554519653320	-80.1256179809570
54	252.0161285400391	37.9054222106934	-80.5390090942383
55	215.0229339599609	43.9361457824707	-80.9011535644531
56	184.5472412109375	50.6536636352539	-81.1645507812500
57	158.0056152343750	58.5357398986816	-81.3758087158203
58	136.5291290283203	67.0535812377930	-81.5076141357422
59	116.2190093994141	77.8968505859375	-81.5906219482422
60	99.7340393066406	89.7908554077148	-81.6254806518555
