Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
11:13:13.589 AM 9/20/2023 	 20293.654674 	 20297.073837 	 294.694454 	 294.646148 	 -65776.372847 	 -65776.372847 	 -65776.372847 	 -65776.372847
11:13:24.089 AM 9/20/2023 	 20294.366379 	 20296.053934 	 294.692156 	 294.646914 	 -65776.894412 	 -65776.894412 	 -65776.894412 	 -65776.894412
11:13:34.588 AM 9/20/2023 	 20295.122410 	 20297.115514 	 294.692156 	 294.649673 	 -65777.152339 	 -65777.152339 	 -65777.152339 	 -65777.152339
11:13:45.089 AM 9/20/2023 	 20294.642332 	 20296.613939 	 294.694454 	 294.652278 	 -65777.289902 	 -65777.289902 	 -65777.289902 	 -65777.289902
11:13:55.588 AM 9/20/2023 	 20294.262177 	 20296.651534 	 294.697212 	 294.655802 	 -65777.158071 	 -65777.158071 	 -65777.158071 	 -65777.158071
11:14:06.088 AM 9/20/2023 	 20294.986559 	 20296.175268 	 294.701042 	 294.658407 	 -65777.049167 	 -65777.049167 	 -65777.049167 	 -65777.049167
11:14:16.588 AM 9/20/2023 	 20294.995164 	 20296.424303 	 294.704718 	 294.659173 	 -65776.705270 	 -65776.705270 	 -65776.705270 	 -65776.705270
11:14:26.589 AM 9/20/2023 	 20294.579088 	 20296.249480 	 294.709620 	 294.663004 	 -65776.235296 	 -65776.235296 	 -65776.235296 	 -65776.235296
11:14:37.088 AM 9/20/2023 	 20294.342929 	 20296.225335 	 294.716821 	 294.664230 	 -65775.685111 	 -65775.685111 	 -65775.685111 	 -65775.685111
11:14:47.088 AM 9/20/2023 	 20294.553891 	 20296.611807 	 294.720957 	 294.666069 	 -65775.077650 	 -65775.077650 	 -65775.077650 	 -65775.077650
11:14:57.589 AM 9/20/2023 	 20294.227953 	 20295.711678 	 294.725246 	 294.667755 	 -65774.418653 	 -65774.418653 	 -65774.418653 	 -65774.418653
11:15:08.088 AM 9/20/2023 	 20294.188872 	 20294.969534 	 294.732293 	 294.667601 	 -65773.696672 	 -65773.696672 	 -65773.696672 	 -65773.696672
11:15:18.088 AM 9/20/2023 	 20293.393537 	 20294.369835 	 294.738574 	 294.668368 	 -65772.791404 	 -65772.791404 	 -65772.791404 	 -65772.791404
11:15:28.588 AM 9/20/2023 	 20292.846544 	 20294.277933 	 294.747153 	 294.670819 	 -65771.937776 	 -65771.937776 	 -65771.937776 	 -65771.937776
11:15:38.588 AM 9/20/2023 	 20293.418689 	 20295.660316 	 294.756038 	 294.671432 	 -65771.135776 	 -65771.135776 	 -65771.135776 	 -65771.135776
11:15:48.588 AM 9/20/2023 	 20292.664354 	 20294.656498 	 294.761554 	 294.673578 	 -65770.465583 	 -65770.465583 	 -65770.465583 	 -65770.465583
11:15:58.588 AM 9/20/2023 	 20292.487539 	 20294.246287 	 294.772430 	 294.676183 	 -65769.589243 	 -65769.589243 	 -65769.589243 	 -65769.589243
11:16:08.589 AM 9/20/2023 	 20292.952035 	 20294.209304 	 294.783001 	 294.676183 	 -65768.838974 	 -65768.838974 	 -65768.838974 	 -65768.838974
11:16:19.088 AM 9/20/2023 	 20291.651818 	 20294.167330 	 294.788516 	 294.678635 	 -65768.048674 	 -65768.048674 	 -65768.048674 	 -65768.048674
11:16:29.588 AM 9/20/2023 	 20292.323663 	 20293.925584 	 294.795257 	 294.679707 	 -65767.315699 	 -65767.315699 	 -65767.315699 	 -65767.315699
11:16:39.588 AM 9/20/2023 	 20291.510830 	 20293.446861 	 294.806593 	 294.682312 	 -65766.542696 	 -65766.542696 	 -65766.542696 	 -65766.542696
11:16:50.088 AM 9/20/2023 	 20291.138291 	 20293.363566 	 294.814713 	 294.683998 	 -65765.832732 	 -65765.832732 	 -65765.832732 	 -65765.832732
11:17:00.088 AM 9/20/2023 	 20291.404523 	 20292.239628 	 294.818237 	 294.685530 	 -65765.254491 	 -65765.254491 	 -65765.254491 	 -65765.254491
11:17:10.089 AM 9/20/2023 	 20290.080918 	 20293.071162 	 294.824365 	 294.687369 	 -65764.607589 	 -65764.607589 	 -65764.607589 	 -65764.607589
11:17:20.588 AM 9/20/2023 	 20290.825444 	 20293.238128 	 294.828654 	 294.690128 	 -65764.075213 	 -65764.075213 	 -65764.075213 	 -65764.075213
11:17:31.088 AM 9/20/2023 	 20290.533141 	 20292.414712 	 294.838765 	 294.692273 	 -65763.508522 	 -65763.508522 	 -65763.508522 	 -65763.508522
11:17:41.588 AM 9/20/2023 	 20290.657250 	 20292.953261 	 294.849796 	 294.693499 	 -65762.941862 	 -65762.941862 	 -65762.941862 	 -65762.941862
11:17:52.088 AM 9/20/2023 	 20291.021047 	 20292.405017 	 294.859294 	 294.695797 	 -65762.546937 	 -65762.546937 	 -65762.546937 	 -65762.546937
11:18:02.588 AM 9/20/2023 	 20290.050381 	 20292.278497 	 294.861439 	 294.695491 	 -65762.089072 	 -65762.089072 	 -65762.089072 	 -65762.089072
11:18:13.088 AM 9/20/2023 	 20290.142662 	 20291.474777 	 294.861745 	 294.697023 	 -65761.768578 	 -65761.768578 	 -65761.768578 	 -65761.768578
11:18:23.089 AM 9/20/2023 	 20290.936906 	 20291.917630 	 294.869405 	 294.697330 	 -65761.470987 	 -65761.470987 	 -65761.470987 	 -65761.470987
11:18:33.588 AM 9/20/2023 	 20289.763171 	 20292.097862 	 294.879823 	 294.698556 	 -65761.076119 	 -65761.076119 	 -65761.076119 	 -65761.076119
11:18:43.588 AM 9/20/2023 	 20289.830758 	 20291.407429 	 294.887790 	 294.699475 	 -65760.830050 	 -65760.830050 	 -65760.830050 	 -65760.830050
11:18:53.589 AM 9/20/2023 	 20289.312798 	 20291.070293 	 294.891160 	 294.703000 	 -65760.686989 	 -65760.686989 	 -65760.686989 	 -65760.686989
11:19:04.088 AM 9/20/2023 	 20289.553705 	 20291.954606 	 294.894684 	 294.706218 	 -65760.498152 	 -65760.498152 	 -65760.498152 	 -65760.498152
11:19:14.588 AM 9/20/2023 	 20290.393924 	 20291.691813 	 294.905255 	 294.708057 	 -65760.320763 	 -65760.320763 	 -65760.320763 	 -65760.320763
11:19:24.588 AM 9/20/2023 	 20289.924451 	 20291.974207 	 294.905408 	 294.709589 	 -65760.292152 	 -65760.292152 	 -65760.292152 	 -65760.292152
11:19:34.588 AM 9/20/2023 	 20289.521855 	 20291.932852 	 294.918277 	 294.710662 	 -65760.337929 	 -65760.337929 	 -65760.337929 	 -65760.337929
11:19:44.588 AM 9/20/2023 	 20289.554223 	 20291.872513 	 294.920422 	 294.712807 	 -65760.475263 	 -65760.475263 	 -65760.475263 	 -65760.475263
11:19:54.588 AM 9/20/2023 	 20289.573729 	 20290.870826 	 294.927163 	 294.715259 	 -65760.658377 	 -65760.658377 	 -65760.658377 	 -65760.658377
11:20:04.589 AM 9/20/2023 	 20289.866930 	 20291.606330 	 294.928082 	 294.719550 	 -65760.921610 	 -65760.921610 	 -65760.921610 	 -65760.921610
11:20:14.589 AM 9/20/2023 	 20289.907530 	 20291.534799 	 294.934823 	 294.722461 	 -65761.173404 	 -65761.173404 	 -65761.173404 	 -65761.173404
11:20:24.589 AM 9/20/2023 	 20290.626431 	 20292.300505 	 294.943556 	 294.726905 	 -65761.465264 	 -65761.465264 	 -65761.465264 	 -65761.465264
11:20:35.089 AM 9/20/2023 	 20289.987095 	 20291.724781 	 294.950297 	 294.732116 	 -65761.894485 	 -65761.894485 	 -65761.894485 	 -65761.894485
11:20:45.590 AM 9/20/2023 	 20290.533391 	 20291.511643 	 294.961940 	 294.735334 	 -65762.203536 	 -65762.203536 	 -65762.203536 	 -65762.203536
11:20:56.089 AM 9/20/2023 	 20289.923995 	 20291.569662 	 294.970060 	 294.738398 	 -65762.649959 	 -65762.649959 	 -65762.649959 	 -65762.649959
11:21:06.590 AM 9/20/2023 	 20291.436159 	 20291.980382 	 294.973737 	 294.741463 	 -65763.039165 	 -65763.039165 	 -65763.039165 	 -65763.039165
11:21:17.090 AM 9/20/2023 	 20290.603857 	 20291.220791 	 294.984921 	 294.744528 	 -65763.479902 	 -65763.479902 	 -65763.479902 	 -65763.479902
11:21:27.589 AM 9/20/2023 	 20291.436626 	 20292.721819 	 294.988904 	 294.747593 	 -65764.006521 	 -65764.006521 	 -65764.006521 	 -65764.006521
11:21:37.590 AM 9/20/2023 	 20291.779317 	 20292.941061 	 294.991662 	 294.751271 	 -65764.464474 	 -65764.464474 	 -65764.464474 	 -65764.464474
11:21:47.590 AM 9/20/2023 	 20291.664540 	 20292.991194 	 294.993960 	 294.756788 	 -65765.036944 	 -65765.036944 	 -65765.036944 	 -65765.036944
11:21:57.590 AM 9/20/2023 	 20291.035815 	 20292.500651 	 294.997178 	 294.761385 	 -65765.472043 	 -65765.472043 	 -65765.472043 	 -65765.472043
11:22:08.091 AM 9/20/2023 	 20291.317336 	 20293.283300 	 295.005144 	 294.762611 	 -65766.033120 	 -65766.033120 	 -65766.033120 	 -65766.033120
11:22:18.590 AM 9/20/2023 	 20291.676086 	 20293.428389 	 295.006983 	 294.764143 	 -65766.645760 	 -65766.645760 	 -65766.645760 	 -65766.645760
11:22:29.090 AM 9/20/2023 	 20290.936400 	 20293.631772 	 295.024449 	 294.765982 	 -65767.138189 	 -65767.138189 	 -65767.138189 	 -65767.138189
11:22:39.591 AM 9/20/2023 	 20291.868885 	 20294.886805 	 295.039770 	 294.766289 	 -65767.613464 	 -65767.613464 	 -65767.613464 	 -65767.613464
11:22:49.591 AM 9/20/2023 	 20291.946187 	 20293.953213 	 295.046970 	 294.767208 	 -65768.065854 	 -65768.065854 	 -65768.065854 	 -65768.065854
11:23:00.091 AM 9/20/2023 	 20291.849168 	 20294.164772 	 295.058155 	 294.769354 	 -65768.432363 	 -65768.432363 	 -65768.432363 	 -65768.432363
11:23:10.591 AM 9/20/2023 	 20292.501119 	 20294.371187 	 295.055091 	 294.772725 	 -65768.947788 	 -65768.947788 	 -65768.947788 	 -65768.947788
11:23:21.091 AM 9/20/2023 	 20292.485320 	 20294.517153 	 295.055244 	 294.775637 	 -65769.468967 	 -65769.468967 	 -65769.468967 	 -65769.468967
11:23:31.091 AM 9/20/2023 	 20293.623430 	 20294.358437 	 295.055244 	 294.777016 	 -65769.858437 	 -65769.858437 	 -65769.858437 	 -65769.858437
11:23:41.091 AM 9/20/2023 	 20292.977900 	 20294.650548 	 295.053405 	 294.779774 	 -65770.328112 	 -65770.328112 	 -65770.328112 	 -65770.328112
11:23:51.092 AM 9/20/2023 	 20292.184939 	 20294.113960 	 295.062138 	 294.780387 	 -65770.792082 	 -65770.792082 	 -65770.792082 	 -65770.792082
