Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
3:18:37.053 PM 9/21/2023 	 20306.781284 	 20310.344113 	 294.977261 	 295.111258 	 295.037737 	 294.587872 	 -65818.851396 	 295.431606
3:18:47.553 PM 9/21/2023 	 20308.236373 	 20309.092461 	 294.978640 	 295.115089 	 295.060015 	 294.584695 	 -65819.110479 	 295.417603
3:18:57.555 PM 9/21/2023 	 20307.845877 	 20309.935020 	 294.978333 	 295.115089 	 295.075073 	 294.597409 	 -65819.104722 	 295.410044
3:19:08.052 PM 9/21/2023 	 20306.415643 	 20309.753322 	 294.981091 	 295.116775 	 295.074198 	 294.571529 	 -65819.006845 	 295.381853
3:19:18.053 PM 9/21/2023 	 20307.662146 	 20308.132108 	 294.982317 	 295.116929 	 295.074588 	 294.577109 	 -65818.644135 	 295.391662
3:19:28.552 PM 9/21/2023 	 20308.073351 	 20309.061273 	 294.982163 	 295.118001 	 295.085417 	 294.565775 	 -65818.298708 	 295.412846
3:19:38.552 PM 9/21/2023 	 20306.974828 	 20308.708509 	 294.984921 	 295.120147 	 295.062877 	 294.582842 	 -65817.861185 	 295.392205
3:19:48.552 PM 9/21/2023 	 20306.522641 	 20309.116748 	 294.986147 	 295.121220 	 295.097284 	 294.576712 	 -65817.176154 	 295.423292
3:19:58.553 PM 9/21/2023 	 20305.994510 	 20309.039382 	 294.988751 	 295.122906 	 295.082302 	 294.593323 	 -65816.514195 	 295.396075
3:20:08.553 PM 9/21/2023 	 20306.044442 	 20307.938515 	 294.987832 	 295.125358 	 295.088972 	 294.621701 	 -65815.731412 	 295.420636
3:20:19.053 PM 9/21/2023 	 20305.368089 	 20308.266929 	 294.990130 	 295.126124 	 295.090271 	 294.609321 	 -65815.017752 	 295.415341
3:20:29.553 PM 9/21/2023 	 20306.460633 	 20307.941614 	 294.991356 	 295.128423 	 295.100922 	 294.609132 	 -65814.171786 	 295.433520
3:20:40.052 PM 9/21/2023 	 20307.194792 	 20307.818420 	 294.991815 	 295.129496 	 295.086622 	 294.599535 	 -65813.446729 	 295.435242
3:20:50.052 PM 9/21/2023 	 20305.765513 	 20307.441984 	 294.992888 	 295.130722 	 295.090981 	 294.603898 	 -65812.560619 	 295.472090
3:21:00.053 PM 9/21/2023 	 20304.555790 	 20307.412257 	 294.993960 	 295.132408 	 295.082689 	 294.610694 	 -65811.806913 	 295.457213
3:21:10.553 PM 9/21/2023 	 20305.209884 	 20306.835901 	 294.995186 	 295.133327 	 295.093388 	 294.608667 	 -65810.972724 	 295.459898
3:21:21.053 PM 9/21/2023 	 20304.441662 	 20306.874409 	 294.998557 	 295.136239 	 295.114360 	 294.615037 	 -65810.115596 	 295.478029
3:21:31.552 PM 9/21/2023 	 20303.959960 	 20306.245891 	 295.001008 	 295.137465 	 295.108586 	 294.616333 	 -65809.172264 	 295.493449
3:21:41.553 PM 9/21/2023 	 20304.314000 	 20305.927560 	 295.002540 	 295.139458 	 295.095441 	 294.619685 	 -65808.384306 	 295.477960
3:21:52.053 PM 9/21/2023 	 20304.041214 	 20306.154776 	 295.003919 	 295.141450 	 295.097374 	 294.614072 	 -65807.481393 	 295.491192
3:22:02.542 PM 9/21/2023 	 20304.640139 	 20306.041543 	 295.004838 	 295.143902 	 295.089107 	 294.611930 	 -65806.733820 	 295.442906
3:22:13.018 PM 9/21/2023 	 20303.649887 	 20305.071115 	 295.004838 	 295.144669 	 295.095590 	 294.616532 	 -65805.905804 	 295.457389
3:22:23.495 PM 9/21/2023 	 20303.268364 	 20305.773790 	 295.006523 	 295.147121 	 295.079384 	 294.639464 	 -65805.175598 	 295.472275
3:22:33.972 PM 9/21/2023 	 20302.727179 	 20305.598452 	 295.006983 	 295.147887 	 295.090986 	 294.625132 	 -65804.560425 	 295.509295
3:22:44.449 PM 9/21/2023 	 20302.307490 	 20304.524872 	 295.008821 	 295.149880 	 295.094363 	 294.631343 	 -65803.893552 	 295.527736
3:22:54.928 PM 9/21/2023 	 20302.856015 	 20304.249555 	 295.010200 	 295.151412 	 295.098848 	 294.606584 	 -65803.266962 	 295.530334
3:23:05.402 PM 9/21/2023 	 20301.866291 	 20305.224640 	 295.010354 	 295.153251 	 295.095559 	 294.630182 	 -65802.697892 	 295.521869
