Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
3:18:37.053 PM 9/21/2023 	 4.004319 	 297.647000 	 44.546000 	 -2945225.537562 	 4.047341 	 297.647000 	 44.546000 	 -2945225.537562 	 108.543561 	 108.587430 	 296.459626
3:18:47.553 PM 9/21/2023 	 4.020276 	 297.647000 	 44.546000 	 -2945237.078679 	 4.031910 	 297.647000 	 44.546000 	 -2945237.078679 	 108.544097 	 108.588919 	 296.460692
3:18:57.555 PM 9/21/2023 	 4.015767 	 297.647000 	 44.546000 	 -2945236.822206 	 4.041697 	 297.647000 	 44.546000 	 -2945236.822206 	 108.543978 	 108.588919 	 296.460668
3:19:08.052 PM 9/21/2023 	 3.999524 	 297.647000 	 44.546000 	 -2945232.462196 	 4.039939 	 297.647000 	 44.546000 	 -2945232.462196 	 108.545050 	 108.589575 	 296.460266
3:19:18.053 PM 9/21/2023 	 4.015276 	 297.647000 	 44.546000 	 -2945216.304884 	 4.022438 	 297.647000 	 44.546000 	 -2945216.304884 	 108.545527 	 108.589634 	 296.458773
3:19:28.552 PM 9/21/2023 	 4.021277 	 297.647000 	 44.546000 	 -2945200.917513 	 4.034439 	 297.647000 	 44.546000 	 -2945200.917513 	 108.545467 	 108.590051 	 296.457351
3:19:38.552 PM 9/21/2023 	 4.010093 	 297.647000 	 44.546000 	 -2945181.427608 	 4.031907 	 297.647000 	 44.546000 	 -2945181.427608 	 108.546539 	 108.590885 	 296.455551
3:19:48.552 PM 9/21/2023 	 4.007288 	 297.647000 	 44.546000 	 -2945150.912236 	 4.039078 	 297.647000 	 44.546000 	 -2945150.912236 	 108.547016 	 108.591302 	 296.452731
3:19:58.553 PM 9/21/2023 	 4.003520 	 297.647000 	 44.546000 	 -2945121.424581 	 4.040538 	 297.647000 	 44.546000 	 -2945121.424581 	 108.548028 	 108.591957 	 296.450007
3:20:08.553 PM 9/21/2023 	 4.006888 	 297.647000 	 44.546000 	 -2945086.554748 	 4.030564 	 297.647000 	 44.546000 	 -2945086.554748 	 108.547671 	 108.592910 	 296.446785
3:20:19.053 PM 9/21/2023 	 4.001585 	 297.647000 	 44.546000 	 -2945054.764047 	 4.036912 	 297.647000 	 44.546000 	 -2945054.764047 	 108.548564 	 108.593208 	 296.443848
3:20:29.553 PM 9/21/2023 	 4.017273 	 297.647000 	 44.546000 	 -2945017.079627 	 4.036153 	 297.647000 	 44.546000 	 -2945017.079627 	 108.549041 	 108.594102 	 296.440366
3:20:40.052 PM 9/21/2023 	 4.028373 	 297.647000 	 44.546000 	 -2944984.781237 	 4.037306 	 297.647000 	 44.546000 	 -2944984.781237 	 108.549219 	 108.594519 	 296.437382
3:20:50.052 PM 9/21/2023 	 4.014949 	 297.647000 	 44.546000 	 -2944945.308612 	 4.036097 	 297.647000 	 44.546000 	 -2944945.308612 	 108.549636 	 108.594995 	 296.433735
3:21:00.053 PM 9/21/2023 	 4.003601 	 297.647000 	 44.546000 	 -2944911.734006 	 4.038436 	 297.647000 	 44.546000 	 -2944911.734006 	 108.550053 	 108.595650 	 296.430632
3:21:10.553 PM 9/21/2023 	 4.014161 	 297.647000 	 44.546000 	 -2944874.574228 	 4.034725 	 297.647000 	 44.546000 	 -2944874.574228 	 108.550530 	 108.596008 	 296.427199
3:21:21.053 PM 9/21/2023 	 4.008304 	 297.647000 	 44.546000 	 -2944836.392586 	 4.038223 	 297.647000 	 44.546000 	 -2944836.392586 	 108.551840 	 108.597139 	 296.423671
3:21:31.552 PM 9/21/2023 	 4.006077 	 297.647000 	 44.546000 	 -2944794.370941 	 4.034296 	 297.647000 	 44.546000 	 -2944794.370941 	 108.552793 	 108.597616 	 296.419788
3:21:41.553 PM 9/21/2023 	 4.012991 	 297.647000 	 44.546000 	 -2944759.270536 	 4.033411 	 297.647000 	 44.546000 	 -2944759.270536 	 108.553389 	 108.598390 	 296.416544
3:21:52.053 PM 9/21/2023 	 4.013043 	 297.647000 	 44.546000 	 -2944719.049387 	 4.039259 	 297.647000 	 44.546000 	 -2944719.049387 	 108.553925 	 108.599165 	 296.412827
3:22:02.542 PM 9/21/2023 	 4.022655 	 297.647000 	 44.546000 	 -2944685.748002 	 4.040608 	 297.647000 	 44.546000 	 -2944685.748002 	 108.554282 	 108.600118 	 296.409750
