Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:55:57.311 AM 9/21/2023 	 20273.240721 	 20275.627194 	 294.183290 	 294.494906 	 294.838351 	 294.028032 	 -65707.587714 	 294.771389
10:56:07.811 AM 9/21/2023 	 20273.271186 	 20275.809935 	 294.184209 	 294.497204 	 294.831650 	 294.067136 	 -65708.020319 	 294.791096
10:56:18.311 AM 9/21/2023 	 20273.717691 	 20274.585832 	 294.185434 	 294.499503 	 294.827545 	 294.084750 	 -65708.282168 	 294.668608
10:56:28.311 AM 9/21/2023 	 20273.276830 	 20276.363091 	 294.187731 	 294.500576 	 294.845557 	 294.102791 	 -65708.304937 	 294.773880
10:56:38.311 AM 9/21/2023 	 20274.035118 	 20275.917236 	 294.186353 	 294.501955 	 294.833864 	 294.152944 	 -65708.213859 	 294.737189
10:56:48.311 AM 9/21/2023 	 20272.714381 	 20275.114757 	 294.186506 	 294.502874 	 294.830260 	 294.130918 	 -65707.912166 	 294.831203
10:56:58.812 AM 9/21/2023 	 20273.632307 	 20275.455260 	 294.189569 	 294.503793 	 294.819325 	 294.163411 	 -65707.547870 	 294.729721
10:57:08.812 AM 9/21/2023 	 20272.538545 	 20275.246298 	 294.191101 	 294.507471 	 294.836918 	 294.175363 	 -65707.126668 	 294.744489
10:57:19.311 AM 9/21/2023 	 20274.105640 	 20274.294225 	 294.192173 	 294.509310 	 294.829286 	 294.210217 	 -65706.534739 	 294.795334
10:57:29.312 AM 9/21/2023 	 20272.255123 	 20275.438805 	 294.192786 	 294.512221 	 294.836462 	 294.232511 	 -65705.874552 	 294.796851
10:57:39.811 AM 9/21/2023 	 20272.326963 	 20274.295864 	 294.194471 	 294.513294 	 294.851488 	 294.259832 	 -65705.174573 	 294.862333
10:57:49.812 AM 9/21/2023 	 20272.963241 	 20275.250203 	 294.196309 	 294.515439 	 294.837586 	 294.281320 	 -65704.548616 	 294.820139
10:57:59.812 AM 9/21/2023 	 20271.850888 	 20273.730591 	 294.195696 	 294.517891 	 294.851578 	 294.317044 	 -65703.712171 	 294.709629
10:58:10.311 AM 9/21/2023 	 20271.805577 	 20273.771443 	 294.196615 	 294.518044 	 294.838788 	 294.310376 	 -65702.784764 	 294.671365
10:58:20.312 AM 9/21/2023 	 20272.898631 	 20273.414330 	 294.197687 	 294.519423 	 294.859190 	 294.342130 	 -65702.130510 	 294.706868
10:58:30.811 AM 9/21/2023 	 20271.394151 	 20274.273492 	 294.198760 	 294.521262 	 294.845366 	 294.373605 	 -65701.066727 	 294.710019
10:58:40.812 AM 9/21/2023 	 20271.798046 	 20273.855034 	 294.201517 	 294.521721 	 294.837317 	 294.391036 	 -65700.031494 	 294.709043
10:58:51.312 AM 9/21/2023 	 20270.165370 	 20272.987065 	 294.200904 	 294.524020 	 294.833652 	 294.425596 	 -65699.144236 	 294.819034
10:59:01.812 AM 9/21/2023 	 20270.823109 	 20271.439325 	 294.202436 	 294.525399 	 294.854908 	 294.437904 	 -65698.239996 	 294.777573
10:59:11.813 AM 9/21/2023 	 20270.213014 	 20272.983211 	 294.203661 	 294.526318 	 294.845018 	 294.454905 	 -65697.443876 	 294.765324
10:59:22.312 AM 9/21/2023 	 20269.521126 	 20272.442011 	 294.204886 	 294.526318 	 294.843831 	 294.478728 	 -65696.471557 	 294.782528
10:59:32.312 AM 9/21/2023 	 20268.564495 	 20271.515543 	 294.207950 	 294.528004 	 294.869021 	 294.502050 	 -65695.721059 	 294.781314
10:59:42.812 AM 9/21/2023 	 20269.297657 	 20271.237238 	 294.208409 	 294.529843 	 294.846662 	 294.520726 	 -65694.873972 	 294.807052
10:59:52.812 AM 9/21/2023 	 20269.088604 	 20271.647792 	 294.208869 	 294.532141 	 294.839575 	 294.579689 	 -65694.299813 	 294.880596
11:00:02.812 AM 9/21/2023 	 20269.443303 	 20270.630859 	 294.210094 	 294.535053 	 294.846966 	 294.585670 	 -65693.577897 	 294.792266
11:00:13.312 AM 9/21/2023 	 20268.826543 	 20271.834826 	 294.211626 	 294.535819 	 294.860630 	 294.585659 	 -65692.776460 	 294.805460
11:00:23.312 AM 9/21/2023 	 20268.760202 	 20271.341159 	 294.211473 	 294.537198 	 294.853991 	 294.605437 	 -65692.196736 	 294.716289
11:00:33.312 AM 9/21/2023 	 20268.775392 	 20270.488122 	 294.212698 	 294.537811 	 294.862633 	 294.656539 	 -65691.435188 	 294.753231
