Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:55:57.311 AM 9/21/2023 	 4.011654 	 297.647000 	 44.546000 	 -2940269.185561 	 4.041034 	 297.647000 	 44.546000 	 -2940269.185561 	 108.234862 	 108.347858 	 295.985649
10:56:07.811 AM 9/21/2023 	 4.010466 	 297.647000 	 44.546000 	 -2940288.456383 	 4.041613 	 297.647000 	 44.546000 	 -2940288.456383 	 108.235219 	 108.348752 	 295.987433
10:56:18.311 AM 9/21/2023 	 4.014713 	 297.647000 	 44.546000 	 -2940300.120702 	 4.026491 	 297.647000 	 44.546000 	 -2940300.120702 	 108.235696 	 108.349645 	 295.988514
10:56:28.311 AM 9/21/2023 	 4.009518 	 297.647000 	 44.546000 	 -2940301.135005 	 4.047011 	 297.647000 	 44.546000 	 -2940301.135005 	 108.236589 	 108.350062 	 295.988608
10:56:38.311 AM 9/21/2023 	 4.018639 	 297.647000 	 44.546000 	 -2940297.077807 	 4.042167 	 297.647000 	 44.546000 	 -2940297.077807 	 108.236053 	 108.350598 	 295.988232
10:56:48.311 AM 9/21/2023 	 4.004392 	 297.647000 	 44.546000 	 -2940283.638600 	 4.033939 	 297.647000 	 44.546000 	 -2940283.638600 	 108.236113 	 108.350956 	 295.986987
10:56:58.812 AM 9/21/2023 	 4.016339 	 297.647000 	 44.546000 	 -2940267.410658 	 4.039183 	 297.647000 	 44.546000 	 -2940267.410658 	 108.237304 	 108.351313 	 295.985484
10:57:08.812 AM 9/21/2023 	 4.005151 	 297.647000 	 44.546000 	 -2940248.647828 	 4.038261 	 297.647000 	 44.546000 	 -2940248.647828 	 108.237899 	 108.352742 	 295.983747
10:57:19.311 AM 9/21/2023 	 4.025439 	 297.647000 	 44.546000 	 -2940222.279767 	 4.029332 	 297.647000 	 44.546000 	 -2940222.279767 	 108.238316 	 108.353457 	 295.981305
10:57:29.312 AM 9/21/2023 	 4.006325 	 297.647000 	 44.546000 	 -2940192.871056 	 4.044950 	 297.647000 	 44.546000 	 -2940192.871056 	 108.238554 	 108.354589 	 295.978582
10:57:39.811 AM 9/21/2023 	 4.009652 	 297.647000 	 44.546000 	 -2940161.689778 	 4.034193 	 297.647000 	 44.546000 	 -2940161.689778 	 108.239210 	 108.355006 	 295.975694
10:57:49.812 AM 9/21/2023 	 4.019263 	 297.647000 	 44.546000 	 -2940133.805909 	 4.047484 	 297.647000 	 44.546000 	 -2940133.805909 	 108.239924 	 108.355840 	 295.973112
10:57:59.812 AM 9/21/2023 	 4.009340 	 297.647000 	 44.546000 	 -2940096.545613 	 4.032847 	 297.647000 	 44.546000 	 -2940096.545613 	 108.239686 	 108.356793 	 295.969661
10:58:10.311 AM 9/21/2023 	 4.012118 	 297.647000 	 44.546000 	 -2940055.233375 	 4.036623 	 297.647000 	 44.546000 	 -2940055.233375 	 108.240043 	 108.356853 	 295.965835
10:58:20.312 AM 9/21/2023 	 4.027129 	 297.647000 	 44.546000 	 -2940026.088981 	 4.034812 	 297.647000 	 44.546000 	 -2940026.088981 	 108.240460 	 108.357389 	 295.963135
10:58:30.811 AM 9/21/2023 	 4.013467 	 297.647000 	 44.546000 	 -2939978.701684 	 4.048559 	 297.647000 	 44.546000 	 -2939978.701684 	 108.240877 	 108.358103 	 295.958747
