IMPEDANCE MEASUREMENT 
9/21/2023-3:18 PM
Chamber temperature (K): 294.98
Chamber pressure (MPa): 20308.39
Description: 	80mSKCl_afternoontest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	6.1808443069458	24.2453174591064
1	857753.8749999999980	6.0121750831604	21.1900367736816
2	735644.4999999999990	5.8842077255249	18.3994159698486
3	630996.1249999999990	5.7871942520142	15.8732805252075
4	541230.4999999999990	5.7158970832825	13.5970439910889
5	464238.2812499999990	5.6623377799988	11.5682020187378
6	398144.5312499999990	5.6213507652283	9.7614612579346
7	341542.9687499999990	5.5930204391479	8.1407165527344
8	292910.1562500000000	5.5718569755554	6.7004117965698
9	251191.4062500000000	5.5567121505737	5.3927021026611
10	215449.2187500000000	5.5476679801941	4.2164878845215
11	184863.2812500000000	5.5424137115479	3.1314938068390
12	158496.0937500000000	5.5416412353516	2.1249358654022
13	135996.0937500000000	5.5438513755798	1.1808252334595
14	116660.1562500000000	5.5509147644043	0.2735154032707
15	100019.5312500000000	5.5560050010681	-0.6021138429642
16	85839.8437499999999	5.5685496330261	-1.4762480258942
17	73652.3437499999999	5.5842370986938	-2.3509514331818
18	63105.4687499999999	5.6036667823792	-3.2515079975128
19	54199.2187499999999	5.6257824897766	-4.1750278472900
20	46464.8437499999999	5.6529607772827	-5.1502494812012
21	39902.3437499999999	5.6843171119690	-6.1780319213867
22	34160.1562500000000	5.7214612960815	-7.3028173446655
23	29355.4687500000000	5.7641906738281	-8.4895381927490
24	25136.7187500000000	5.8158564567566	-9.8216018676758
25	21621.0937500000000	5.8742928504944	-11.2364654541016
26	18574.2187500000000	5.9434690475464	-12.8118095397949
27	15878.9062500000000	6.0293378829956	-14.5830097198486
28	13652.3437500000000	6.1284728050232	-16.4768619537354
29	11660.1562500000000	6.2501811981201	-18.6563758850098
30	10019.5312500000000	6.3915915489197	-20.9556522369385
31	8613.2812500000000	6.5605421066284	-23.4702548980713
32	7349.5371093750000	6.7759475708008	-26.3422489166260
33	6307.8706054687500	7.0288329124451	-29.3568267822266
34	5381.9443359375000	7.3522834777832	-32.7152862548828
35	4630.3354492187500	7.7293238639832	-36.0848999023437
36	3993.0556640625000	8.1822910308838	-39.5557823181152
37	3414.3518066406250	8.7694168090820	-43.3278045654297
38	2915.3962402343750	9.4979639053345	-47.1750411987305
39	2519.5312500000000	10.3156938552856	-50.6963996887207
40	2141.2036132812500	11.4204740524292	-54.4999504089355
41	1841.5178222656250	12.6563692092896	-57.8503074645996
42	1580.6685791015625	14.1520318984985	-61.0498695373535
43	1362.6453857421875	15.8796796798706	-63.9137916564941
44	1171.8750000000000	17.9395351409912	-66.5697784423828
45	1000.7022705078125	20.4738445281982	-69.0762557983398
46	857.4694824218750	23.4047698974609	-71.2652587890625
47	734.1867675781250	26.8660068511963	-73.1933364868164
48	628.8109741210937	30.8978538513184	-74.8976974487305
49	542.7631835937500	35.3489265441895	-76.3340835571289
50	463.5989074707031	40.8591461181641	-77.6859207153320
51	400.1524353027344	46.8635597229004	-78.7574920654297
52	341.7968750000000	54.3412170410156	-79.7436599731445
53	292.9687500000000	62.8565826416016	-80.5656890869141
54	252.0161285400391	72.4912796020508	-81.2490310668945
55	215.0229339599609	84.2876358032227	-81.8528366088867
56	184.5472412109375	97.4688720703125	-82.3420257568359
57	158.0056152343750	112.9974517822266	-82.7434539794922
58	136.5291290283203	129.8675537109375	-83.0513458251953
59	116.2190093994141	151.4147796630859	-83.3186950683594
60	99.7340393066406	175.2499542236328	-83.5077133178711
