IMPEDANCE MEASUREMENT 
9/21/2023-10:58 AM
Chamber temperature (K): 294.20
Chamber pressure (MPa): 20272.61
Description: 	80mSKCltest
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	6.4265155792236	23.1963520050049
1	857753.8749999999980	6.2668499946594	20.2242069244385
2	735644.4999999999990	6.1461105346680	17.5096569061279
3	630996.1249999999990	6.0565958023071	15.0805854797363
4	541230.4999999999990	5.9893932342529	12.9026479721069
5	464238.2812499999990	5.9393424987793	10.9641141891479
6	398144.5312499999990	5.9026241302490	9.2450656890869
7	341542.9687499999990	5.8765773773193	7.7079567909241
8	292910.1562500000000	5.8573417663574	6.3374438285828
9	251191.4062500000000	5.8419814109802	5.1124529838562
10	215449.2187500000000	5.8347353935242	4.0115866661072
11	184863.2812500000000	5.8302059173584	2.9938700199127
12	158496.0937500000000	5.8290009498596	2.0406315326691
13	135996.0937500000000	5.8309755325317	1.1618152856827
14	116660.1562500000000	5.8369708061218	0.3127792775631
15	100019.5312500000000	5.8393125534058	-0.5011165738106
16	85839.8437499999999	5.8519968986511	-1.3225635290146
17	73652.3437499999999	5.8667378425598	-2.1450021266937
18	63105.4687499999999	5.8847169876099	-2.9952282905579
19	54199.2187499999999	5.9059815406799	-3.8563792705536
20	46464.8437499999999	5.9319748878479	-4.7646813392639
21	39902.3437499999999	5.9612188339233	-5.7315902709961
22	34160.1562500000000	5.9971547126770	-6.7827062606812
23	29355.4687500000000	6.0376248359680	-7.8984794616699
24	25136.7187500000000	6.0866241455078	-9.1494340896606
25	21621.0937500000000	6.1423306465149	-10.4692916870117
26	18574.2187500000000	6.2090501785278	-11.9422931671143
27	15878.9062500000000	6.2898015975952	-13.6150846481323
28	13652.3437500000000	6.3824353218079	-15.3971500396729
29	11660.1562500000000	6.4980340003967	-17.4563312530518
30	10019.5312500000000	6.6303453445435	-19.6374893188477
31	8613.2812500000000	6.7899379730225	-22.0215873718262
32	7349.5371093750000	6.9922266006470	-24.7626953125000
33	6307.8706054687500	7.2298731803894	-27.6454639434814
34	5381.9443359375000	7.5330080986023	-30.8949871063232
35	4630.3354492187500	7.8850111961365	-34.1501655578613
36	3993.0556640625000	8.3094615936279	-37.5458221435547
37	3414.3518066406250	8.8600845336914	-41.2660293579102
38	2915.3962402343750	9.5443372726440	-45.0928230285645
39	2519.5312500000000	10.3151264190674	-48.6374664306641
40	2141.2036132812500	11.3592853546143	-52.5108642578125
41	1841.5178222656250	12.5328788757324	-55.9568138122559
42	1580.6685791015625	13.9544849395752	-59.2664718627930
43	1362.6453857421875	15.5957250595093	-62.2657089233398
44	1171.8750000000000	17.5747489929199	-65.0615997314453
45	1000.7022705078125	20.0121726989746	-67.7044830322266
46	857.4694824218750	22.8253974914551	-70.0390090942383
47	734.1867675781250	26.1418933868408	-72.1239395141602
48	628.8109741210937	30.0206069946289	-73.9298171997070
49	542.7631835937500	34.3116950988770	-75.4725418090820
50	463.5989074707031	39.6382484436035	-76.9082641601562
51	400.1524353027344	45.4400520324707	-78.0617599487305
52	341.7968750000000	52.6477737426758	-79.1275634765625
53	292.9687500000000	60.8614692687988	-80.0125427246094
54	252.0161285400391	70.1696701049805	-80.7520675659180
55	215.0229339599609	81.5517272949219	-81.4077987670898
56	184.5472412109375	94.2717971801758	-81.9290466308594
57	158.0056152343750	109.2731857299805	-82.3595352172852
58	136.5291290283203	125.5475769042969	-82.6849746704102
59	116.2190093994141	146.3383941650391	-82.9676132202148
60	99.7340393066406	169.3347015380859	-83.1693801879883
