IMPEDANCE MEASUREMENT 
9/21/2023-10:17 AM
Chamber temperature (K): 294.06
Chamber pressure (MPa): 20239.60
Description: 	Default
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.1446421146393	47.9538688659668
1	857753.8749999999980	2.8857057094574	43.8991394042969
2	735644.4999999999990	2.6782402992249	39.7232513427734
3	630996.1249999999990	2.5133624076843	35.5331535339355
4	541230.4999999999990	2.3835020065308	31.4379043579102
5	464238.2812499999990	2.2817957401276	27.4971599578857
6	398144.5312499999990	2.2040560245514	23.7448444366455
7	341542.9687499999990	2.1448209285736	20.2411499023437
8	292910.1562500000000	2.1004955768585	16.9675521850586
9	251191.4062500000000	2.0670568943024	13.9386663436890
10	215449.2187500000000	2.0440778732300	11.1422023773193
11	184863.2812500000000	2.0285437107086	8.5345096588135
12	158496.0937500000000	2.0187540054321	6.0946612358093
13	135996.0937500000000	2.0141541957855	3.8166272640228
14	116660.1562500000000	2.0146970748901	1.6261836290359
15	100019.5312500000000	2.0168299674988	-0.4760924577713
16	85839.8437499999999	2.0258631706238	-2.5760817527771
17	73652.3437499999999	2.0383365154266	-4.6663436889648
18	63105.4687499999999	2.0550935268402	-6.8005032539368
19	54199.2187499999999	2.0764760971069	-8.9453735351562
20	46464.8437499999999	2.1036214828491	-11.1924009323120
21	39902.3437499999999	2.1366457939148	-13.5130825042725
22	34160.1562500000000	2.1775522232056	-16.0035343170166
23	29355.4687500000000	2.2260382175446	-18.5718173980713
24	25136.7187500000000	2.2858250141144	-21.3745212554932
25	21621.0937500000000	2.3563711643219	-24.2637424468994
26	18574.2187500000000	2.4428367614746	-27.3410911560059
27	15878.9062500000000	2.5512523651123	-30.7045764923096
28	13652.3437500000000	2.6797559261322	-34.0999908447266
29	11660.1562500000000	2.8426423072815	-37.7617530822754
30	10019.5312500000000	3.0340492725372	-41.3644752502441
31	8613.2812500000000	3.2660768032074	-44.9812202453613
32	7349.5371093750000	3.5601038932800	-48.7323875427246
33	6307.8706054687500	3.9022209644318	-52.2442283630371
34	5381.9443359375000	4.3292469978333	-55.7356643676758
35	4630.3354492187500	4.8119707107544	-58.8547897338867
36	3993.0556640625000	5.3727951049805	-61.7092437744141
37	3414.3518066406250	6.0718855857849	-64.4797515869141
38	2915.3962402343750	6.9037413597107	-67.0091018676758
39	2519.5312500000000	7.8034224510193	-69.1139984130859
40	2141.2036132812500	8.9757852554321	-71.2008895874023
41	1841.5178222656250	10.2460861206055	-72.9097213745117
42	1580.6685791015625	11.7413692474365	-74.4424896240234
43	1362.6453857421875	13.4276962280273	-75.7313995361328
44	1171.8750000000000	15.4055461883545	-76.8931045532227
45	1000.7022705078125	17.8217945098877	-77.9432220458984
46	857.4694824218750	20.5469493865967	-78.7971801757812
47	734.1867675781250	23.7268676757812	-79.5755538940430
48	628.8109741210937	27.4158039093018	-80.1901626586914
49	542.7631835937500	31.4522190093994	-80.7180175781250
50	463.5989074707031	36.4314689636230	-81.1832733154297
51	400.1524353027344	41.8164520263672	-81.5348510742187
52	341.7968750000000	48.4761047363281	-81.8354492187500
53	292.9687500000000	56.0096473693848	-82.0599594116211
54	252.0161285400391	64.5045394897461	-82.2183227539062
55	215.0229339599609	74.8429718017578	-82.3272933959961
56	184.5472412109375	86.3533172607422	-82.3936614990234
57	158.0056152343750	99.8286590576172	-82.4041213989258
58	136.5291290283203	114.3975677490234	-82.3794860839844
59	116.2190093994141	132.9161529541016	-82.3109207153320
60	99.7340393066406	153.2273559570312	-82.2117538452148
