IMPEDANCE MEASUREMENT 
9/21/2023-9:55 AM
Chamber temperature (K): 293.94
Chamber pressure (MPa): 20209.30
Description: 	Default
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.1838226318359	47.1710243225098
1	857753.8749999999980	2.9269835948944	43.1063652038574
2	735644.4999999999990	2.7221291065216	38.9373168945312
3	630996.1249999999990	2.5599308013916	34.7681846618652
4	541230.4999999999990	2.4319882392883	30.7108287811279
5	464238.2812499999990	2.3331577777863	26.8137283325195
6	398144.5312499999990	2.2564656734467	23.1205253601074
7	341542.9687499999990	2.1987552642822	19.6760082244873
8	292910.1562500000000	2.1557340621948	16.4717941284180
9	251191.4062500000000	2.1233263015747	13.5166854858398
10	215449.2187500000000	2.1008484363556	10.7709770202637
11	184863.2812500000000	2.0857937335968	8.2443437576294
12	158496.0937500000000	2.0765855312347	5.8699507713318
13	135996.0937500000000	2.0724210739136	3.6368091106415
14	116660.1562500000000	2.0732569694519	1.5040836334229
15	100019.5312500000000	2.0756359100342	-0.5458478331566
16	85839.8437499999999	2.0845620632172	-2.5881521701813
17	73652.3437499999999	2.0972058773041	-4.6309967041016
18	63105.4687499999999	2.1139986515045	-6.7201266288757
19	54199.2187499999999	2.1355094909668	-8.8189544677734
20	46464.8437499999999	2.1625630855560	-11.0101337432861
21	39902.3437499999999	2.1951794624329	-13.2914018630981
22	34160.1562500000000	2.2359945774078	-15.7392005920410
23	29355.4687500000000	2.2842452526093	-18.2708854675293
24	25136.7187500000000	2.3438043594360	-21.0335521697998
25	21621.0937500000000	2.4142739772797	-23.8882312774658
26	18574.2187500000000	2.5005166530609	-26.9429340362549
27	15878.9062500000000	2.6094074249268	-30.2764797210693
28	13652.3437500000000	2.7373619079590	-33.6559066772461
29	11660.1562500000000	2.9006083011627	-37.3043785095215
30	10019.5312500000000	3.0919978618622	-40.9009971618652
31	8613.2812500000000	3.3246407508850	-44.5179405212402
32	7349.5371093750000	3.6202230453491	-48.2775726318359
33	6307.8706054687500	3.9635045528412	-51.8054924011230
34	5381.9443359375000	4.3930559158325	-55.3202781677246
35	4630.3354492187500	4.8788657188416	-58.4594268798828
36	3993.0556640625000	5.4429364204407	-61.3428153991699
37	3414.3518066406250	6.1467795372009	-64.1373748779297
38	2915.3962402343750	6.9860038757324	-66.6999969482422
39	2519.5312500000000	7.8915295600891	-68.8285064697266
40	2141.2036132812500	9.0736007690430	-70.9412002563477
41	1841.5178222656250	10.3535757064819	-72.6792678833008
42	1580.6685791015625	11.8614969253540	-74.2358856201172
43	1362.6453857421875	13.5599346160889	-75.5474548339844
44	1171.8750000000000	15.5539655685425	-76.7253341674805
45	1000.7022705078125	17.9853401184082	-77.7881011962891
46	857.4694824218750	20.7421340942383	-78.6584320068359
47	734.1867675781250	23.9598026275635	-79.4240341186523
48	628.8109741210937	27.6578350067139	-80.0528717041016
49	542.7631835937500	31.7437229156494	-80.5996398925781
50	463.5989074707031	36.7485885620117	-81.0873718261719
51	400.1524353027344	42.1725387573242	-81.4442443847656
52	341.7968750000000	48.8802604675293	-81.7475585937500
53	292.9687500000000	56.4769973754883	-81.9825744628906
54	252.0161285400391	65.0348129272461	-82.1433410644531
55	215.0229339599609	75.4431076049805	-82.2657852172852
56	184.5472412109375	87.0337219238281	-82.3335342407227
57	158.0056152343750	100.6146774291992	-82.3527679443359
58	136.5291290283203	115.2889709472656	-82.3335113525391
59	116.2190093994141	133.9453430175781	-82.2741622924805
60	99.7340393066406	154.3985595703125	-82.1784820556641
