IMPEDANCE MEASUREMENT 
9/21/2023-9:55 AM
Chamber temperature (K): 293.94
Chamber pressure (MPa): 20208.39
Description: 	Default
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.1808559894562	47.2258186340332
1	857753.8749999999980	2.9236981868744	43.1522750854492
2	735644.4999999999990	2.7189741134644	38.9694786071777
3	630996.1249999999990	2.5561077594757	34.8232917785645
4	541230.4999999999990	2.4283783435822	30.7670135498047
5	464238.2812499999990	2.3292303085327	26.8555202484131
6	398144.5312499999990	2.2524964809418	23.1597251892090
7	341542.9687499999990	2.1946854591370	19.7089996337891
8	292910.1562500000000	2.1515419483185	16.5007514953613
9	251191.4062500000000	2.1195154190063	13.5287227630615
10	215449.2187500000000	2.0972678661346	10.7938661575317
11	184863.2812500000000	2.0818848609924	8.2738494873047
12	158496.0937500000000	2.0724868774414	5.8901753425598
13	135996.0937500000000	2.0687143802643	3.6482906341553
14	116660.1562500000000	2.0688395500183	1.5151457786560
15	100019.5312500000000	2.0715436935425	-0.5385050177574
16	85839.8437499999999	2.0804805755615	-2.5861611366272
17	73652.3437499999999	2.0928754806519	-4.6292047500610
18	63105.4687499999999	2.1098775863647	-6.7098298072815
19	54199.2187499999999	2.1313006877899	-8.8175802230835
20	46464.8437499999999	2.1581666469574	-11.0155735015869
21	39902.3437499999999	2.1908462047577	-13.2922258377075
22	34160.1562500000000	2.2316300868988	-15.7467546463013
23	29355.4687500000000	2.2798197269440	-18.2830047607422
24	25136.7187500000000	2.3393554687500	-21.0431709289551
25	21621.0937500000000	2.4097592830658	-23.8887195587158
26	18574.2187500000000	2.4958398342133	-26.9625854492187
27	15878.9062500000000	2.6044828891754	-30.2920398712158
28	13652.3437500000000	2.7322435379028	-33.6612014770508
29	11660.1562500000000	2.8952765464783	-37.3153038024902
30	10019.5312500000000	3.0868303775787	-40.9189414978027
31	8613.2812500000000	3.3189902305603	-44.5270881652832
32	7349.5371093750000	3.6139264106750	-48.2973632812500
33	6307.8706054687500	3.9573481082916	-51.8275260925293
34	5381.9443359375000	4.3863439559937	-55.3444595336914
35	4630.3354492187500	4.8712072372437	-58.4821434020996
36	3993.0556640625000	5.4348192214966	-61.3569335937500
37	3414.3518066406250	6.1378927230835	-64.1567001342773
38	2915.3962402343750	6.9755563735962	-66.7140426635742
39	2519.5312500000000	7.8805694580078	-68.8451614379883
40	2141.2036132812500	9.0609550476074	-70.9615020751953
41	1841.5178222656250	10.3403224945068	-72.6910552978516
42	1580.6685791015625	11.8466186523437	-74.2361068725586
43	1362.6453857421875	13.5416641235352	-75.5658645629883
44	1171.8750000000000	15.5313940048218	-76.7393264770508
45	1000.7022705078125	17.9660739898682	-77.7971038818359
46	857.4694824218750	20.7136840820312	-78.6510620117187
47	734.1867675781250	23.9186954498291	-79.4394378662109
48	628.8109741210937	27.6394615173340	-80.0966720581055
49	542.7631835937500	31.7002906799316	-80.6003723144531
50	463.5989074707031	36.7086257934570	-81.0940856933594
51	400.1524353027344	42.1275558471680	-81.4549942016602
52	341.7968750000000	48.8305282592773	-81.7582626342773
53	292.9687500000000	56.4127845764160	-81.9880828857422
54	252.0161285400391	64.9597702026367	-82.1511917114258
55	215.0229339599609	75.3689727783203	-82.2755508422852
56	184.5472412109375	86.9400558471680	-82.3420562744141
57	158.0056152343750	100.5119094848633	-82.3581924438477
58	136.5291290283203	115.1856231689453	-82.3413772583008
59	116.2190093994141	133.8034210205078	-82.2824249267578
60	99.7340393066406	154.2317199707031	-82.1862030029297
