Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:54:38.493 PM 12/12/2023 	 20170.057725 	 20172.202724 	 293.990609 	 294.368340 	 293.989230 	 294.645387 	 -65371.385004 	 294.903350
1:54:48.493 PM 12/12/2023 	 20170.618368 	 20171.479974 	 293.991834 	 294.371711 	 294.002985 	 294.651103 	 -65374.013221 	 294.932635
1:54:58.993 PM 12/12/2023 	 20171.723711 	 20172.397207 	 293.991068 	 294.377380 	 293.974168 	 294.558635 	 -65376.741309 	 294.842109
1:55:08.993 PM 12/12/2023 	 20173.091345 	 20173.281695 	 293.992753 	 294.386727 	 293.969281 	 294.593857 	 -65379.089682 	 294.855149
1:55:18.993 PM 12/12/2023 	 20173.558584 	 20174.234535 	 293.994285 	 294.389792 	 293.995124 	 294.605985 	 -65381.444093 	 294.858312
1:55:29.492 PM 12/12/2023 	 20174.054333 	 20174.982215 	 293.994131 	 294.396993 	 293.993471 	 297.127644 	 -65383.661138 	 295.204980
1:55:39.993 PM 12/12/2023 	 20175.074115 	 20175.279709 	 293.997654 	 294.406493 	 293.983857 	 294.702285 	 -65385.895200 	 294.872055
1:55:50.493 PM 12/12/2023 	 20175.307214 	 20175.769069 	 293.996429 	 294.419364 	 293.996199 	 294.647629 	 -65387.842805 	 294.883903
1:56:00.493 PM 12/12/2023 	 20175.785380 	 20175.816167 	 294.000105 	 294.425034 	 294.011749 	 294.606549 	 -65389.652801 	 294.842843
1:56:10.993 PM 12/12/2023 	 20176.208928 	 20177.187890 	 293.999033 	 294.432082 	 294.004071 	 294.561609 	 -65391.556943 	 294.816788
1:56:20.993 PM 12/12/2023 	 20175.333959 	 20177.786685 	 293.999186 	 294.436526 	 294.000778 	 294.636162 	 -65393.152272 	 294.907332
1:56:31.493 PM 12/12/2023 	 20178.198587 	 20177.897290 	 294.002096 	 294.438824 	 294.008429 	 294.607478 	 -65394.880358 	 294.856975
1:56:41.993 PM 12/12/2023 	 20177.495093 	 20178.614391 	 294.003781 	 294.443574 	 294.016511 	 294.621212 	 -65396.371267 	 294.865986
1:56:52.492 PM 12/12/2023 	 20177.758359 	 20181.638851 	 294.004699 	 294.446332 	 294.009823 	 294.592831 	 -65397.945233 	 294.866854
1:57:02.493 PM 12/12/2023 	 20179.165241 	 20179.653103 	 294.005312 	 294.453687 	 294.013435 	 294.639840 	 -65399.497340 	 294.879890
1:57:12.993 PM 12/12/2023 	 20179.190048 	 20180.218421 	 294.008375 	 294.460583 	 294.022635 	 294.649971 	 -65401.143596 	 294.893787
1:57:23.493 PM 12/12/2023 	 20179.409591 	 20180.631408 	 294.007456 	 294.460889 	 294.029638 	 294.571576 	 -65402.602239 	 294.843254
1:57:33.493 PM 12/12/2023 	 20179.869629 	 20181.654478 	 294.007303 	 294.459203 	 294.016678 	 294.652513 	 -65403.917402 	 294.871339
1:57:43.993 PM 12/12/2023 	 20180.696148 	 20181.242367 	 294.006997 	 294.458744 	 294.003647 	 294.625347 	 -65405.442754 	 294.867762
1:57:53.993 PM 12/12/2023 	 20181.874361 	 20181.780361 	 294.006078 	 294.463187 	 294.018544 	 294.706263 	 -65406.868828 	 294.940150
1:58:04.492 PM 12/12/2023 	 20181.721210 	 20181.912681 	 294.006691 	 294.467018 	 294.020758 	 294.582050 	 -65408.311680 	 294.838162
1:58:14.492 PM 12/12/2023 	 20182.060066 	 20183.209067 	 294.006078 	 294.471309 	 294.022372 	 294.591683 	 -65409.837670 	 294.849675
1:58:24.492 PM 12/12/2023 	 20182.178643 	 20182.565352 	 294.006231 	 294.470542 	 294.010475 	 294.619901 	 -65411.181389 	 294.878821
1:58:34.493 PM 12/12/2023 	 20182.946282 	 20183.384032 	 294.007150 	 294.473607 	 294.017808 	 294.577688 	 -65412.492095 	 294.831445
1:58:44.993 PM 12/12/2023 	 20182.997238 	 20183.795220 	 294.007456 	 294.479276 	 294.006198 	 294.621762 	 -65414.018693 	 294.878795
1:58:55.493 PM 12/12/2023 	 20183.220301 	 20184.635624 	 294.009294 	 294.483414 	 293.998010 	 294.653682 	 -65415.573175 	 294.900326
1:59:05.494 PM 12/12/2023 	 20183.873725 	 20184.558546 	 294.010060 	 294.483873 	 294.013142 	 294.680115 	 -65417.055955 	 294.914015
1:59:15.993 PM 12/12/2023 	 20184.354999 	 20185.849907 	 294.009294 	 294.485406 	 294.018494 	 294.620833 	 -65418.572149 	 294.873152
1:59:25.993 PM 12/12/2023 	 20185.026313 	 20186.194741 	 294.009907 	 294.489696 	 294.011276 	 294.618342 	 -65420.132840 	 294.852273
1:59:35.993 PM 12/12/2023 	 20185.071468 	 20186.470441 	 294.011439 	 294.487704 	 293.996307 	 294.643963 	 -65421.533232 	 294.875524
1:59:45.993 PM 12/12/2023 	 20186.341673 	 20187.019880 	 294.014195 	 294.490922 	 294.016511 	 294.617438 	 -65423.099900 	 294.863629
1:59:56.493 PM 12/12/2023 	 20186.222605 	 20187.180225 	 294.016493 	 294.490156 	 293.999491 	 294.681105 	 -65424.688951 	 294.912176
2:00:06.993 PM 12/12/2023 	 20187.095222 	 20187.691787 	 294.018790 	 294.494140 	 294.009765 	 294.742303 	 -65426.366852 	 294.984186
2:00:17.493 PM 12/12/2023 	 20187.026687 	 20188.991382 	 294.021241 	 294.495979 	 294.016342 	 294.664442 	 -65427.950859 	 294.889863
2:00:27.993 PM 12/12/2023 	 20188.995471 	 20188.191573 	 294.021241 	 294.502414 	 294.026318 	 294.726760 	 -65429.557264 	 294.998819
2:00:37.994 PM 12/12/2023 	 20188.810490 	 20189.672992 	 294.022926 	 294.504713 	 294.014070 	 294.723963 	 -65431.385543 	 294.969155
2:00:48.493 PM 12/12/2023 	 20188.776939 	 20189.762986 	 294.022926 	 294.507471 	 294.001858 	 294.651393 	 -65433.108849 	 294.894737
2:00:58.993 PM 12/12/2023 	 20189.537374 	 20190.440546 	 294.022466 	 294.504100 	 294.009648 	 294.630397 	 -65434.871236 	 294.851591
