Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:31:35.170 PM 12/12/2023 	 4.011701 	 297.647000 	 44.546000 	 -2942294.669779 	 4.016663 	 297.647000 	 44.546000 	 -2942294.669779 	 108.229978 	 108.585167 	 296.155241
2:31:45.670 PM 12/12/2023 	 4.002484 	 297.647000 	 44.546000 	 -2942332.353253 	 4.021431 	 297.647000 	 44.546000 	 -2942332.353253 	 108.230931 	 108.584273 	 296.158728
2:31:56.170 PM 12/12/2023 	 4.016581 	 297.647000 	 44.546000 	 -2942358.835426 	 4.029244 	 297.647000 	 44.546000 	 -2942358.835426 	 108.231288 	 108.582129 	 296.161178
2:32:06.670 PM 12/12/2023 	 4.010291 	 297.647000 	 44.546000 	 -2942377.679463 	 4.027641 	 297.647000 	 44.546000 	 -2942377.679463 	 108.231586 	 108.585107 	 296.162921
2:32:16.670 PM 12/12/2023 	 4.008231 	 297.647000 	 44.546000 	 -2942389.393724 	 4.025198 	 297.647000 	 44.546000 	 -2942389.393724 	 108.232003 	 108.586894 	 296.164005
2:32:27.170 PM 12/12/2023 	 4.010828 	 297.647000 	 44.546000 	 -2942393.468321 	 4.022558 	 297.647000 	 44.546000 	 -2942393.468321 	 108.231824 	 108.585822 	 296.164382
2:32:37.670 PM 12/12/2023 	 4.003242 	 297.647000 	 44.546000 	 -2942392.195005 	 4.020990 	 297.647000 	 44.546000 	 -2942392.195005 	 108.231765 	 108.586239 	 296.164264
2:32:47.670 PM 12/12/2023 	 4.026840 	 297.647000 	 44.546000 	 -2942380.735328 	 4.025052 	 297.647000 	 44.546000 	 -2942380.735328 	 108.231169 	 108.586596 	 296.163204
2:32:58.170 PM 12/12/2023 	 4.011491 	 297.647000 	 44.546000 	 -2942369.021294 	 4.023288 	 297.647000 	 44.546000 	 -2942369.021294 	 108.231765 	 108.592553 	 296.162120
2:33:08.170 PM 12/12/2023 	 4.016067 	 297.647000 	 44.546000 	 -2942352.724016 	 4.022742 	 297.647000 	 44.546000 	 -2942352.724016 	 108.232241 	 108.594697 	 296.160612
2:33:18.670 PM 12/12/2023 	 4.008706 	 297.647000 	 44.546000 	 -2942333.117139 	 4.027434 	 297.647000 	 44.546000 	 -2942333.117139 	 108.232420 	 108.594995 	 296.158798
2:33:28.670 PM 12/12/2023 	 4.013662 	 297.647000 	 44.546000 	 -2942313.511120 	 4.019989 	 297.647000 	 44.546000 	 -2942313.511120 	 108.233075 	 108.593089 	 296.156984
2:33:39.171 PM 12/12/2023 	 4.012145 	 297.647000 	 44.546000 	 -2942288.813848 	 4.017557 	 297.647000 	 44.546000 	 -2942288.813848 	 108.233432 	 108.590468 	 296.154699
2:33:49.670 PM 12/12/2023 	 4.015559 	 297.647000 	 44.546000 	 -2942261.062866 	 4.022549 	 297.647000 	 44.546000 	 -2942261.062866 	 108.233671 	 108.591898 	 296.152132
2:34:00.170 PM 12/12/2023 	 4.010373 	 297.647000 	 44.546000 	 -2942233.059029 	 4.017469 	 297.647000 	 44.546000 	 -2942233.059029 	 108.233909 	 108.592553 	 296.149541
2:34:10.171 PM 12/12/2023 	 4.009579 	 297.647000 	 44.546000 	 -2942203.784159 	 4.008243 	 297.647000 	 44.546000 	 -2942203.784159 	 108.234326 	 108.589634 	 296.146832
2:34:20.671 PM 12/12/2023 	 4.008575 	 297.647000 	 44.546000 	 -2942172.729430 	 4.014824 	 297.647000 	 44.546000 	 -2942172.729430 	 108.234802 	 108.588562 	 296.143959
2:34:31.170 PM 12/12/2023 	 4.023131 	 297.647000 	 44.546000 	 -2942142.440413 	 4.019186 	 297.647000 	 44.546000 	 -2942142.440413 	 108.234266 	 108.589456 	 296.141156
2:34:41.671 PM 12/12/2023 	 4.010901 	 297.647000 	 44.546000 	 -2942110.371917 	 4.031151 	 297.647000 	 44.546000 	 -2942110.371917 	 108.233551 	 108.589217 	 296.138189
2:34:52.171 PM 12/12/2023 	 4.012614 	 297.647000 	 44.546000 	 -2942078.814683 	 4.025428 	 297.647000 	 44.546000 	 -2942078.814683 	 108.233909 	 108.589158 	 296.135269
2:35:02.670 PM 12/12/2023 	 4.012614 	 297.647000 	 44.546000 	 -2942042.679286 	 4.022427 	 297.647000 	 44.546000 	 -2942042.679286 	 108.234028 	 108.590230 	 296.131926
2:35:12.671 PM 12/12/2023 	 4.016914 	 297.647000 	 44.546000 	 -2942017.488020 	 4.021349 	 297.647000 	 44.546000 	 -2942017.488020 	 108.234028 	 108.593029 	 296.129595
2:35:23.170 PM 12/12/2023 	 4.015676 	 297.647000 	 44.546000 	 -2941988.481646 	 4.019691 	 297.647000 	 44.546000 	 -2941988.481646 	 108.233730 	 108.594459 	 296.126910
2:35:33.670 PM 12/12/2023 	 4.007734 	 297.647000 	 44.546000 	 -2941965.328781 	 4.028471 	 297.647000 	 44.546000 	 -2941965.328781 	 108.234028 	 108.593446 	 296.124768
2:35:44.171 PM 12/12/2023 	 4.012976 	 297.647000 	 44.546000 	 -2941950.572634 	 4.029989 	 297.647000 	 44.546000 	 -2941950.572634 	 108.234087 	 108.595769 	 296.123403
