Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
3:20:09.689 PM 12/12/2023 	 4.023638 	 297.647000 	 44.546000 	 -2942670.334405 	 4.014643 	 297.647000 	 44.546000 	 -2942670.334405 	 108.283522 	 108.708825 	 296.214944
3:20:19.689 PM 12/12/2023 	 4.020346 	 297.647000 	 44.546000 	 -2942667.020000 	 4.031174 	 297.647000 	 44.546000 	 -2942667.020000 	 108.283463 	 108.708884 	 296.214637
3:20:29.690 PM 12/12/2023 	 4.008756 	 297.647000 	 44.546000 	 -2942670.844316 	 4.010549 	 297.647000 	 44.546000 	 -2942670.844316 	 108.282986 	 108.709956 	 296.214991
3:20:40.190 PM 12/12/2023 	 4.006973 	 297.647000 	 44.546000 	 -2942668.549723 	 4.015495 	 297.647000 	 44.546000 	 -2942668.549723 	 108.283403 	 108.713471 	 296.214779
3:20:50.190 PM 12/12/2023 	 4.004591 	 297.647000 	 44.546000 	 -2942670.844316 	 4.023960 	 297.647000 	 44.546000 	 -2942670.844316 	 108.284535 	 108.713054 	 296.214991
3:21:00.690 PM 12/12/2023 	 4.002959 	 297.647000 	 44.546000 	 -2942670.334405 	 4.026564 	 297.647000 	 44.546000 	 -2942670.334405 	 108.283999 	 108.710790 	 296.214944
3:21:11.189 PM 12/12/2023 	 4.017010 	 297.647000 	 44.546000 	 -2942674.923622 	 4.027017 	 297.647000 	 44.546000 	 -2942674.923622 	 108.284416 	 108.715436 	 296.215368
3:21:21.690 PM 12/12/2023 	 4.001290 	 297.647000 	 44.546000 	 -2942670.334405 	 4.028497 	 297.647000 	 44.546000 	 -2942670.334405 	 108.284594 	 108.718534 	 296.214944
3:21:32.190 PM 12/12/2023 	 4.018075 	 297.647000 	 44.546000 	 -2942674.413707 	 4.032412 	 297.647000 	 44.546000 	 -2942674.413707 	 108.284773 	 108.718713 	 296.215321
3:21:42.690 PM 12/12/2023 	 4.008771 	 297.647000 	 44.546000 	 -2942679.767846 	 4.025776 	 297.647000 	 44.546000 	 -2942679.767846 	 108.285666 	 108.721095 	 296.215816
3:21:52.690 PM 12/12/2023 	 4.006999 	 297.647000 	 44.546000 	 -2942680.532729 	 4.023300 	 297.647000 	 44.546000 	 -2942680.532729 	 108.285905 	 108.725205 	 296.215887
3:22:03.189 PM 12/12/2023 	 4.022815 	 297.647000 	 44.546000 	 -2942690.986251 	 4.028944 	 297.647000 	 44.546000 	 -2942690.986251 	 108.286977 	 108.728303 	 296.216854
3:22:13.190 PM 12/12/2023 	 4.009760 	 297.647000 	 44.546000 	 -2942692.261088 	 4.025180 	 297.647000 	 44.546000 	 -2942692.261088 	 108.286619 	 108.729970 	 296.216972
3:22:23.689 PM 12/12/2023 	 4.009594 	 297.647000 	 44.546000 	 -2942704.244728 	 4.029087 	 297.647000 	 44.546000 	 -2942704.244728 	 108.287155 	 108.732472 	 296.218080
3:22:33.690 PM 12/12/2023 	 4.006614 	 297.647000 	 44.546000 	 -2942705.009653 	 4.024071 	 297.647000 	 44.546000 	 -2942705.009653 	 108.286500 	 108.735927 	 296.218151
3:22:44.189 PM 12/12/2023 	 4.008756 	 297.647000 	 44.546000 	 -2942711.129093 	 4.020138 	 297.647000 	 44.546000 	 -2942711.129093 	 108.286619 	 108.735212 	 296.218717
3:22:54.190 PM 12/12/2023 	 4.007098 	 297.647000 	 44.546000 	 -2942715.208766 	 4.030993 	 297.647000 	 44.546000 	 -2942715.208766 	 108.287275 	 108.734497 	 296.219095
3:23:04.689 PM 12/12/2023 	 4.007197 	 297.647000 	 44.546000 	 -2942717.758581 	 4.024494 	 297.647000 	 44.546000 	 -2942717.758581 	 108.287811 	 108.735570 	 296.219330
3:23:14.690 PM 12/12/2023 	 4.014798 	 297.647000 	 44.546000 	 -2942721.073361 	 4.019519 	 297.647000 	 44.546000 	 -2942721.073361 	 108.288406 	 108.740097 	 296.219637
3:23:25.190 PM 12/12/2023 	 4.016730 	 297.647000 	 44.546000 	 -2942721.583330 	 4.025948 	 297.647000 	 44.546000 	 -2942721.583330 	 108.288525 	 108.742837 	 296.219684
3:23:35.689 PM 12/12/2023 	 4.014649 	 297.647000 	 44.546000 	 -2942729.232926 	 4.031104 	 297.647000 	 44.546000 	 -2942729.232926 	 108.288823 	 108.745398 	 296.220392
3:23:45.690 PM 12/12/2023 	 4.019476 	 297.647000 	 44.546000 	 -2942739.432592 	 4.023636 	 297.647000 	 44.546000 	 -2942739.432592 	 108.289061 	 108.747661 	 296.221335
3:23:56.189 PM 12/12/2023 	 4.013312 	 297.647000 	 44.546000 	 -2942748.102490 	 4.023519 	 297.647000 	 44.546000 	 -2942748.102490 	 108.288823 	 108.747780 	 296.222137
3:24:06.190 PM 12/12/2023 	 4.012159 	 297.647000 	 44.546000 	 -2942750.397491 	 4.019790 	 297.647000 	 44.546000 	 -2942750.397491 	 108.288585 	 108.747721 	 296.222349
3:24:16.689 PM 12/12/2023 	 4.001579 	 297.647000 	 44.546000 	 -2942756.517552 	 4.020447 	 297.647000 	 44.546000 	 -2942756.517552 	 108.288764 	 108.748436 	 296.222915
3:24:26.689 PM 12/12/2023 	 4.022521 	 297.647000 	 44.546000 	 -2942761.617667 	 4.018873 	 297.647000 	 44.546000 	 -2942761.617667 	 108.289061 	 108.748257 	 296.223387
3:24:36.690 PM 12/12/2023 	 4.006144 	 297.647000 	 44.546000 	 -2942768.757925 	 4.028202 	 297.647000 	 44.546000 	 -2942768.757925 	 108.290372 	 108.748912 	 296.224048
3:24:46.690 PM 12/12/2023 	 4.011888 	 297.647000 	 44.546000 	 -2942774.878236 	 4.021869 	 297.647000 	 44.546000 	 -2942774.878236 	 108.289478 	 108.748555 	 296.224614
3:24:57.190 PM 12/12/2023 	 4.008858 	 297.647000 	 44.546000 	 -2942779.468525 	 4.021393 	 297.647000 	 44.546000 	 -2942779.468525 	 108.289538 	 108.746172 	 296.225038
3:25:07.690 PM 12/12/2023 	 4.014839 	 297.647000 	 44.546000 	 -2942788.649244 	 4.024751 	 297.647000 	 44.546000 	 -2942788.649244 	 108.289776 	 108.749448 	 296.225887
3:25:17.690 PM 12/12/2023 	 4.019523 	 297.647000 	 44.546000 	 -2942792.474599 	 4.041236 	 297.647000 	 44.546000 	 -2942792.474599 	 108.290133 	 108.747661 	 296.226241
3:25:28.190 PM 12/12/2023 	 4.006371 	 297.647000 	 44.546000 	 -2942800.125408 	 4.025294 	 297.647000 	 44.546000 	 -2942800.125408 	 108.290253 	 108.746947 	 296.226949
3:25:38.690 PM 12/12/2023 	 4.013125 	 297.647000 	 44.546000 	 -2942805.226019 	 4.019708 	 297.647000 	 44.546000 	 -2942805.226019 	 108.291027 	 108.747959 	 296.227421
3:25:49.190 PM 12/12/2023 	 4.020188 	 297.647000 	 44.546000 	 -2942813.897192 	 4.021799 	 297.647000 	 44.546000 	 -2942813.897192 	 108.291682 	 108.748972 	 296.228223
3:25:59.190 PM 12/12/2023 	 4.015778 	 297.647000 	 44.546000 	 -2942820.528203 	 4.029326 	 297.647000 	 44.546000 	 -2942820.528203 	 108.292039 	 108.747780 	 296.228836
3:26:09.690 PM 12/12/2023 	 4.025772 	 297.647000 	 44.546000 	 -2942838.636463 	 4.022211 	 297.647000 	 44.546000 	 -2942838.636463 	 108.291980 	 108.748197 	 296.230511
3:26:20.190 PM 12/12/2023 	 4.008683 	 297.647000 	 44.546000 	 -2942847.563339 	 4.024231 	 297.647000 	 44.546000 	 -2942847.563339 	 108.292873 	 108.749806 	 296.231337
3:26:30.690 PM 12/12/2023 	 4.009147 	 297.647000 	 44.546000 	 -2942860.061266 	 4.027382 	 297.647000 	 44.546000 	 -2942860.061266 	 108.293528 	 108.750401 	 296.232493
3:26:41.190 PM 12/12/2023 	 4.005324 	 297.647000 	 44.546000 	 -2942870.774052 	 4.020666 	 297.647000 	 44.546000 	 -2942870.774052 	 108.293707 	 108.754333 	 296.233483
3:26:51.190 PM 12/12/2023 	 4.010790 	 297.647000 	 44.546000 	 -2942878.681274 	 4.021726 	 297.647000 	 44.546000 	 -2942878.681274 	 108.293647 	 108.758860 	 296.234215
3:27:01.690 PM 12/12/2023 	 4.009354 	 297.647000 	 44.546000 	 -2942893.220722 	 4.021919 	 297.647000 	 44.546000 	 -2942893.220722 	 108.293111 	 108.759694 	 296.235560
3:27:12.190 PM 12/12/2023 	 4.011146 	 297.647000 	 44.546000 	 -2942897.302056 	 4.018184 	 297.647000 	 44.546000 	 -2942897.302056 	 108.293231 	 108.756894 	 296.235937
3:27:22.690 PM 12/12/2023 	 4.007469 	 297.647000 	 44.546000 	 -2942909.036098 	 4.022774 	 297.647000 	 44.546000 	 -2942909.036098 	 108.293171 	 108.755584 	 296.237022
3:27:32.690 PM 12/12/2023 	 4.002049 	 297.647000 	 44.546000 	 -2942909.546281 	 4.028506 	 297.647000 	 44.546000 	 -2942909.546281 	 108.292873 	 108.753320 	 296.237069
