Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
3:33:13.471 PM 12/12/2023 	 20289.516449 	 20291.244817 	 294.337687 	 295.415799 	 294.136566 	 295.342526 	 -65761.810448 	 295.285058
3:33:23.472 PM 12/12/2023 	 20289.436057 	 20290.009754 	 294.337534 	 295.414267 	 294.135242 	 295.397726 	 -65761.604405 	 295.419861
3:33:33.972 PM 12/12/2023 	 20289.230024 	 20290.858915 	 294.339526 	 295.418711 	 294.125112 	 295.443195 	 -65761.552895 	 295.357950
3:33:44.471 PM 12/12/2023 	 20289.900544 	 20291.221879 	 294.337381 	 295.422084 	 294.127025 	 295.456876 	 -65761.558618 	 295.292970
3:33:54.472 PM 12/12/2023 	 20289.820847 	 20291.003338 	 294.337687 	 295.420244 	 294.119988 	 295.224234 	 -65761.455598 	 295.233657
3:34:04.472 PM 12/12/2023 	 20290.275032 	 20291.028340 	 294.338300 	 295.415799 	 294.131982 	 295.374222 	 -65761.386919 	 295.477358
3:34:14.972 PM 12/12/2023 	 20290.093354 	 20290.021513 	 294.339526 	 295.414726 	 294.125985 	 295.223150 	 -65761.421259 	 295.276857
3:34:25.471 PM 12/12/2023 	 20289.501763 	 20290.280592 	 294.336309 	 295.417639 	 294.111370 	 295.215636 	 -65761.541448 	 295.201030
3:34:35.972 PM 12/12/2023 	 20289.556035 	 20291.819003 	 294.333705 	 295.424536 	 294.123697 	 295.524189 	 -65761.667362 	 295.521363
3:34:46.472 PM 12/12/2023 	 20290.268787 	 20290.840355 	 294.333552 	 295.430054 	 294.131536 	 295.386023 	 -65761.736043 	 295.441596
3:34:56.971 PM 12/12/2023 	 20288.837827 	 20290.438703 	 294.335237 	 295.431740 	 294.127925 	 295.311297 	 -65761.890577 	 295.321189
3:35:06.972 PM 12/12/2023 	 20289.970960 	 20290.543848 	 294.336922 	 295.436338 	 294.124314 	 295.431096 	 -65762.045113 	 295.489960
3:35:16.972 PM 12/12/2023 	 20290.122389 	 20290.932452 	 294.337381 	 295.443389 	 294.149130 	 295.374840 	 -65762.108073 	 295.372485
3:35:26.972 PM 12/12/2023 	 20289.376786 	 20291.002818 	 294.336003 	 295.443849 	 294.121529 	 295.340246 	 -65762.285508 	 295.355790
