IMPEDANCE MEASUREMENT 
12/12/2023-2:31 PM
Chamber temperature (K): 294.17
Chamber pressure (MPa): 20288.01
Description: 	0.1mol_kg_NaCl
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	52.7376327514648	2.6120700836182
1	857753.8749999999980	52.6474838256836	2.1261553764343
2	735644.4999999999990	52.5776672363281	1.7038627862930
3	630996.1249999999990	52.5064735412598	1.3647267818451
4	541230.4999999999990	52.4820899963379	1.0106452703476
5	464238.2812499999990	52.4654045104980	0.6947636008263
6	398144.5312499999990	52.4563217163086	0.3804297745228
7	341542.9687499999990	52.4463233947754	0.1165388748050
8	292910.1562500000000	52.4496498107910	-0.1665687263012
9	251191.4062500000000	52.4689674377441	-0.4383476376534
10	215449.2187500000000	52.4952011108398	-0.7198196053505
11	184863.2812500000000	52.5329170227051	-1.0082700252533
12	158496.0937500000000	52.5760459899902	-1.3124902248383
13	135996.0937500000000	52.6406822204590	-1.6355282068253
14	116660.1562500000000	52.7009620666504	-1.9736415147781
15	100019.5312500000000	52.7937774658203	-2.2932109832764
16	85839.8437499999999	52.8923263549805	-2.7274310588837
17	73652.3437499999999	53.0202713012695	-3.1836476325989
18	63105.4687499999999	53.1651191711426	-3.6888506412506
19	54199.2187499999999	53.3498687744141	-4.2369012832642
20	46464.8437499999999	53.5300025939941	-4.8377990722656
21	39902.3437499999999	53.7722053527832	-5.5070271492004
22	34160.1562500000000	54.0518455505371	-6.2732625007629
23	29355.4687500000000	54.3860206604004	-7.1026005744934
24	25136.7187500000000	54.7786598205566	-8.0484685897827
25	21621.0937500000000	55.2461547851562	-9.0578565597534
26	18574.2187500000000	55.7898674011230	-10.1892852783203
27	15878.9062500000000	56.4566497802734	-11.4670572280884
28	13652.3437500000000	57.2258529663086	-12.8229761123657
29	11660.1562500000000	58.1770477294922	-14.3652868270874
30	10019.5312500000000	59.2339782714844	-15.9816141128540
31	8613.2812500000000	60.4940299987793	-17.7458667755127
32	7349.5371093750000	62.0423202514648	-19.7117023468018
33	6307.8706054687500	63.8081092834473	-21.7737293243408
34	5381.9443359375000	65.9628219604492	-24.0396785736084
35	4630.3354492187500	68.3831329345703	-26.3232650756836
36	3993.0556640625000	71.1717453002930	-28.6865997314453
37	3414.3518066406250	74.6441650390625	-31.2854766845703
38	2915.3962402343750	78.7953262329102	-33.9940185546875
39	2519.5312500000000	83.3062744140625	-36.5471496582031
40	2141.2036132812500	89.2031478881836	-39.4101943969727
41	1841.5178222656250	95.6393661499023	-42.0583114624023
42	1580.6685791015625	103.2564010620117	-44.6957397460937
43	1362.6453857421875	111.8514633178711	-47.1805267333984
44	1171.8750000000000	121.9583511352539	-49.6079177856445
45	1000.7022705078125	134.2472991943359	-52.0235443115234
46	857.4694824218750	148.1453247070312	-54.2375373840332
47	734.1867675781250	164.4027557373047	-56.3076248168945
48	628.8109741210937	182.7994384765625	-58.2087554931641
49	542.7631835937500	202.8999633789062	-59.8606414794922
50	463.5989074707031	227.5720520019531	-61.4749832153320
51	400.1524353027344	253.8260040283203	-62.8416481018066
52	341.7968750000000	285.8749084472656	-64.1534194946289
53	292.9687500000000	321.6691284179687	-65.2969512939453
54	252.0161285400391	361.4039916992187	-66.2964172363281
55	215.0229339599609	409.1228637695312	-67.2384567260742
56	184.5472412109375	461.2508239746094	-68.0534973144531
57	158.0056152343750	521.5936279296875	-68.7889251708984
58	136.5291290283203	585.7698364257812	-69.4160461425781
59	116.2190093994141	666.2008056640625	-70.0516510009766
60	99.7340393066406	753.0319213867187	-70.5948410034180
