IMPEDANCE MEASUREMENT 
12/12/2023-3:43 PM
Chamber temperature (K): 294.36
Chamber pressure (MPa): 20290.94
Description: 	4mol_kg_NaCl
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.8810162544250	44.1525802612305
1	857753.8749999999980	3.5738155841827	39.3472824096680
2	735644.4999999999990	3.3330326080322	34.3367843627930
3	630996.1249999999990	3.1484329700470	29.2884864807129
4	541230.4999999999990	3.0103049278259	24.2360401153564
5	464238.2812499999990	2.9097943305969	19.3000869750977
6	398144.5312499999990	2.8424954414368	14.4854974746704
7	341542.9687499999990	2.8030927181244	9.8481225967407
8	292910.1562500000000	2.7873001098633	5.4055900573730
9	251191.4062500000000	2.7916569709778	1.1162165403366
10	215449.2187500000000	2.8155632019043	-3.0049359798431
11	184863.2812500000000	2.8564710617065	-6.9844455718994
12	158496.0937500000000	2.9167213439941	-10.8895263671875
13	135996.0937500000000	2.9944596290588	-14.7018213272095
14	116660.1562500000000	3.0939362049103	-18.4510784149170
15	100019.5312500000000	3.2127542495728	-22.1669445037842
16	85839.8437499999999	3.3603997230530	-25.8407840728760
17	73652.3437499999999	3.5383925437927	-29.4828243255615
18	63105.4687499999999	3.7531342506409	-33.0972595214844
19	54199.2187499999999	4.0052781105042	-36.5749015808105
20	46464.8437499999999	4.3067908287048	-39.9855346679687
21	39902.3437499999999	4.6587605476379	-43.2237548828125
22	34160.1562500000000	5.0786156654358	-46.3634605407715
23	29355.4687500000000	5.5578985214233	-49.2504577636719
24	25136.7187500000000	6.1269006729126	-52.0276794433594
25	21621.0937500000000	6.7675132751465	-54.5302810668945
26	18574.2187500000000	7.5091886520386	-56.8661041259766
27	15878.9062500000000	8.3924512863159	-59.0613937377930
28	13652.3437500000000	9.3719205856323	-61.0160484313965
29	11660.1562500000000	10.5446720123291	-62.8740882873535
30	10019.5312500000000	11.8406229019165	-64.5045013427734
31	8613.2812500000000	13.3165607452393	-66.0055999755859
32	7349.5371093750000	15.0955677032471	-67.4404373168945
33	6307.8706054687500	17.0672531127930	-68.6974411010742
34	5381.9443359375000	19.3976364135742	-69.8605346679687
35	4630.3354492187500	21.9401645660400	-70.9175186157227
36	3993.0556640625000	24.8002357482910	-71.8648757934570
37	3414.3518066406250	28.2621746063232	-72.7858276367187
38	2915.3962402343750	32.2883224487305	-73.6575622558594
39	2519.5312500000000	36.5520286560059	-74.3823013305664
40	2141.2036132812500	42.0111808776855	-75.1344909667969
41	1841.5178222656250	47.8503456115723	-75.7633666992187
42	1580.6685791015625	54.6477355957031	-76.3349685668945
43	1362.6453857421875	62.2040100097656	-76.8567504882812
44	1171.8750000000000	71.0064315795898	-77.3026962280273
45	1000.7022705078125	81.6323471069336	-77.7503890991211
46	857.4694824218750	93.6335372924805	-78.1106109619141
47	734.1867675781250	107.4721679687500	-78.4530334472656
48	628.8109741210937	123.3701934814453	-78.6855392456055
49	542.7631835937500	140.6742248535156	-78.9355087280273
50	463.5989074707031	161.9509277343750	-79.0963211059570
51	400.1524353027344	184.7979125976562	-79.2168807983398
52	341.7968750000000	212.8457336425781	-79.3168411254883
53	292.9687500000000	244.3759155273437	-79.3759307861328
54	252.0161285400391	279.6913452148437	-79.3964843750000
55	215.0229339599609	322.4176330566406	-79.3834228515625
56	184.5472412109375	369.7516784667969	-79.3453750610352
57	158.0056152343750	424.7000122070312	-79.2558670043945
58	136.5291290283203	483.8219299316406	-79.1451416015625
59	116.2190093994141	558.4420776367187	-78.9957504272461
60	99.7340393066406	639.5032958984375	-78.8236770629883
