IMPEDANCE MEASUREMENT 
12/14/2023-10:46 AM
Chamber temperature (K): 292.82
Chamber pressure (MPa): 20148.70
Description: 	KClStd_23us_cm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	5254.7509765625000	-45.9296798706055
1	857753.8749999999980	5987.5253906250000	-42.7163429260254
2	735644.4999999999990	5922.6923828125000	-35.0389289855957
3	630996.1249999999990	5812.7304687500000	-31.9227714538574
4	541230.4999999999990	5653.7031250000000	-28.6160240173340
5	464238.2812499999990	5498.8837890625000	-23.0535964965820
6	398144.5312499999990	5579.5942382812500	-19.6388549804687
7	341542.9687499999990	5706.6479492187500	-18.0290222167969
8	292910.1562500000000	5480.7421875000000	-13.3334522247314
9	251191.4062500000000	2668.2145996093750	-4.5615048408508
10	215449.2187500000000	2638.6909179687500	-3.6967110633850
11	184863.2812500000000	2708.2729492187500	-3.3852317333221
12	158496.0937500000000	2705.9577636718750	-2.9615325927734
13	135996.0937500000000	2699.5097656250000	-2.4692263603210
14	116660.1562500000000	2715.3383789062500	-2.1954658031464
15	100019.5312500000000	5501.2998046875000	-4.4458746910095
16	85839.8437499999999	5505.6269531250000	-3.8491625785828
17	73652.3437499999999	5509.3935546875000	-3.3048031330109
18	63105.4687499999999	5510.7338867187500	-2.8540351390839
19	54199.2187499999999	5513.8481445312500	-2.4911882877350
20	46464.8437499999999	5512.8432617187500	-2.1432902812958
21	39902.3437499999999	5519.9501953125000	-1.8562760353088
22	34160.1562500000000	5519.1708984375000	-1.6119669675827
23	29355.4687500000000	5523.9648437500000	-1.2870079278946
24	25136.7187500000000	5527.8833007812500	-1.1581575870514
25	21621.0937500000000	5527.4516601562500	-1.0136468410492
26	18574.2187500000000	5525.2856445312500	-0.9109019637108
27	15878.9062500000000	5528.0830078125000	-0.8235287070274
28	13652.3437500000000	5528.0283203125000	-0.7346779108047
29	11660.1562500000000	5531.6049804687500	-0.6756724715233
30	10019.5312500000000	5534.0561523437500	-0.6505873203278
31	8613.2812500000000	5534.7075195312500	-0.6398420333862
32	7349.5371093750000	5552.8911132812500	-0.5137087106705
33	6307.8706054687500	5539.7045898437500	-0.6344523429871
34	5381.9443359375000	5540.9316406250000	-0.6287764310837
35	4630.3354492187500	5544.0341796875000	-0.6545866727829
36	3993.0556640625000	5546.8955078125000	-0.6901293396950
37	3414.3518066406250	5549.7431640625000	-0.7329440712929
38	2915.3962402343750	5553.5488281250000	-0.7960696816444
39	2519.5312500000000	5557.1015625000000	-0.8703268766403
40	2141.2036132812500	5561.4614257812500	-0.9617162346840
41	1841.5178222656250	5566.0561523437500	-1.0663273334503
42	1580.6685791015625	5571.0375976562500	-1.1851960420609
43	1362.6453857421875	5577.0087890625000	-1.3210692405701
44	1171.8750000000000	5583.0634765625000	-1.4802223443985
45	1000.7022705078125	5591.0449218750000	-1.6669554710388
46	857.4694824218750	5598.3457031250000	-1.8792726993561
47	734.1867675781250	5607.9741210937500	-2.1122286319733
48	628.8109741210937	5618.5781250000000	-2.3848340511322
49	542.7631835937500	5629.2275390625000	-2.6750011444092
50	463.5989074707031	5643.0717773437500	-3.0151886940002
51	400.1524353027344	5658.4951171875000	-3.3970983028412
52	341.7968750000000	5675.8994140625000	-3.8479659557343
53	292.9687500000000	5694.3857421875000	-4.3248143196106
54	252.0161285400391	5719.2543945312500	-4.8770461082458
55	215.0229339599609	5746.9453125000000	-5.5307245254517
56	184.5472412109375	5777.4770507812500	-6.2097444534302
57	158.0056152343750	5812.0126953125000	-7.0192308425903
58	136.5291290283203	5852.2802734375000	-7.8547453880310
59	116.2190093994141	5902.4755859375000	-8.8751811981201
60	99.7340393066406	5958.2084960937500	-9.9597530364990
