IMPEDANCE MEASUREMENT 
12/14/2023-11:01 AM
Chamber temperature (K): 292.92
Chamber pressure (MPa): 20161.92
Description: 	KClStd_80ms_cm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	8.7071666717529	18.6859817504883
1	857753.8749999999980	8.5500736236572	15.7723388671875
2	735644.4999999999990	8.4381875991821	13.1158905029297
3	630996.1249999999990	8.3582439422607	10.6958065032959
4	541230.4999999999990	8.3073453903198	8.4864196777344
5	464238.2812499999990	8.2745313644409	6.4503841400146
6	398144.5312499999990	8.2579612731934	4.5767784118652
7	341542.9687499999990	8.2548503875732	2.8156077861786
8	292910.1562500000000	8.2647314071655	1.1495760679245
9	251191.4062500000000	8.2847499847412	-0.4584692418575
10	215449.2187500000000	8.3156776428223	-2.0373141765594
11	184863.2812500000000	8.3598213195801	-3.5979924201965
12	158496.0937500000000	8.4156770706177	-5.1853718757629
13	135996.0937500000000	8.4871234893799	-6.7925858497620
14	116660.1562500000000	8.5767717361450	-8.4715137481689
15	100019.5312500000000	8.6808996200562	-10.2008924484253
16	85839.8437499999999	8.8120527267456	-12.0212278366089
17	73652.3437499999999	8.9682350158691	-13.9306869506836
18	63105.4687499999999	9.1585998535156	-15.9528961181641
19	54199.2187499999999	9.3801221847534	-18.0391139984131
20	46464.8437499999999	9.6461448669434	-20.2555465698242
21	39902.3437499999999	9.9578752517700	-22.5402641296387
22	34160.1562500000000	10.3299255371094	-24.9638805389404
23	29355.4687500000000	10.7597875595093	-27.4109039306641
24	25136.7187500000000	11.2721147537231	-29.9807777404785
25	21621.0937500000000	11.8564214706421	-32.5281944274902
26	18574.2187500000000	12.5420455932617	-35.1258201599121
27	15878.9062500000000	13.3689155578613	-37.8180007934570
28	13652.3437500000000	14.2936887741089	-40.3947677612305
29	11660.1562500000000	15.4233093261719	-43.0532722473145
30	10019.5312500000000	16.6719894409180	-45.5484771728516
31	8613.2812500000000	18.1068134307861	-47.9108886718750
32	7349.5371093750000	19.8427734375000	-50.3518638610840
33	6307.8706054687500	21.7641277313232	-52.5971832275391
34	5381.9443359375000	24.0658130645752	-54.8214149475098
35	4630.3354492187500	26.5606327056885	-56.8346443176270
36	3993.0556640625000	29.3754596710205	-58.7207641601562
37	3414.3518066406250	32.7800102233887	-60.6130638122559
38	2915.3962402343750	36.7447242736816	-62.4194526672363
39	2519.5312500000000	40.9456253051758	-63.9868164062500
40	2141.2036132812500	46.3314552307129	-65.6144485473633
41	1841.5178222656250	52.0951194763184	-67.0287628173828
42	1580.6685791015625	58.7889404296875	-68.3503265380859
43	1362.6453857421875	66.2688140869141	-69.5313262939453
44	1171.8750000000000	74.9752349853516	-70.6237258911133
45	1000.7022705078125	85.4497375488281	-71.6554260253906
46	857.4694824218750	97.2584075927734	-72.5784606933594
47	734.1867675781250	110.9060287475586	-73.4130172729492
48	628.8109741210937	126.5707473754883	-74.1277465820312
49	542.7631835937500	143.6947479248047	-74.7346038818359
50	463.5989074707031	164.5904083251953	-75.3112716674805
51	400.1524353027344	186.9109344482422	-75.7707214355469
52	341.7968750000000	214.3520812988281	-76.2080383300781
53	292.9687500000000	245.1832427978516	-76.5752410888672
54	252.0161285400391	279.6738281250000	-76.8723144531250
55	215.0229339599609	321.3468627929687	-77.1383895874023
56	184.5472412109375	367.3359680175781	-77.3490753173828
57	158.0056152343750	420.8719177246094	-77.5132522583008
58	136.5291290283203	478.3006286621094	-77.6352691650391
59	116.2190093994141	550.7311401367187	-77.7430343627930
60	99.7340393066406	629.5557250976562	-77.8099746704102
