IMPEDANCE MEASUREMENT 
12/14/2023-11:38 AM
Chamber temperature (K): 293.14
Chamber pressure (MPa): 20201.67
Description: 	NaClSaturatedSoln
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	4.1218776702881	44.2787170410156
1	857753.8749999999980	3.7921514511108	39.3650856018066
2	735644.4999999999990	3.5356798171997	34.2526931762695
3	630996.1249999999990	3.3383679389954	29.0558013916016
4	541230.4999999999990	3.1917505264282	23.8652706146240
5	464238.2812499999990	3.0897130966187	18.7533359527588
6	398144.5312499999990	3.0222487449646	13.7948074340820
7	341542.9687499999990	2.9865906238556	9.0276708602905
8	292910.1562500000000	2.9774341583252	4.4358487129211
9	251191.4062500000000	2.9918074607849	0.0460414253175
10	215449.2187500000000	3.0288527011871	-4.1594061851501
11	184863.2812500000000	3.0863127708435	-8.1696033477783
12	158496.0937500000000	3.1657810211182	-12.0622930526733
13	135996.0937500000000	3.2655575275421	-15.8094863891602
14	116660.1562500000000	3.3893513679504	-19.4146175384521
15	100019.5312500000000	3.5348803997040	-22.9430713653564
16	85839.8437499999999	3.7097768783569	-26.3609886169434
17	73652.3437499999999	3.9150311946869	-29.6965579986572
18	63105.4687499999999	4.1578941345215	-32.9556198120117
19	54199.2187499999999	4.4347562789917	-36.0783653259277
20	46464.8437499999999	4.7608542442322	-39.1397132873535
21	39902.3437499999999	5.1335010528564	-42.0575332641602
22	34160.1562500000000	5.5743169784546	-44.9262619018555
23	29355.4687500000000	6.0707159042358	-47.6017036437988
24	25136.7187500000000	6.6555919647217	-50.2154808044434
25	21621.0937500000000	7.3092632293701	-52.6021995544434
26	18574.2187500000000	8.0676956176758	-54.8722381591797
27	15878.9062500000000	8.9676113128662	-57.0605430603027
28	13652.3437500000000	9.9638977050781	-59.0496826171875
29	11660.1562500000000	11.1589908599854	-60.9835624694824
30	10019.5312500000000	12.4743518829346	-62.6966552734375
31	8613.2812500000000	13.9798746109009	-64.2903213500977
32	7349.5371093750000	15.7935276031494	-65.8519439697266
33	6307.8706054687500	17.8121395111084	-67.2049407958984
34	5381.9443359375000	20.2108383178711	-68.4683227539062
35	4630.3354492187500	22.8239192962646	-69.6024398803711
36	3993.0556640625000	25.7671833038330	-70.6233062744141
37	3414.3518066406250	29.3397235870361	-71.5825347900391
38	2915.3962402343750	33.4906196594238	-72.4571151733398
39	2519.5312500000000	37.8819503784180	-73.1704940795898
40	2141.2036132812500	43.4997024536133	-73.8659439086914
41	1841.5178222656250	49.4810523986816	-74.4236526489258
42	1580.6685791015625	56.4117507934570	-74.9263610839844
43	1362.6453857421875	64.1037750244141	-75.3309478759766
44	1171.8750000000000	72.9856567382812	-75.7047882080078
45	1000.7022705078125	83.6673965454102	-76.0291366577148
46	857.4694824218750	95.5834884643555	-76.2536239624023
47	734.1867675781250	109.4109802246094	-76.5030136108398
48	628.8109741210937	125.0009002685547	-76.7255020141602
49	542.7631835937500	142.0217590332031	-76.8550720214844
50	463.5989074707031	162.8871154785156	-77.0406188964844
51	400.1524353027344	185.0066833496094	-77.1462020874023
52	341.7968750000000	212.1269683837891	-77.2464904785156
53	292.9687500000000	242.5159454345703	-77.3230285644531
54	252.0161285400391	276.3988037109375	-77.3685913085937
55	215.0229339599609	317.2736511230469	-77.4016418457031
56	184.5472412109375	362.2512207031250	-77.4030838012695
57	158.0056152343750	414.4906921386719	-77.3876266479492
58	136.5291290283203	470.3469543457031	-77.3650741577148
59	116.2190093994141	540.6292724609375	-77.3129882812500
60	99.7340393066406	616.9707031250000	-77.2602386474609
