IMPEDANCE MEASUREMENT 
12/14/2023-3:34 PM
Chamber temperature (K): 293.74
Chamber pressure (MPa): 20227.86
Description: 	NaCl_3mol_kg
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	4.6880440711975	29.2227859497070
1	857753.8749999999980	4.4870591163635	24.7642745971680
2	735644.4999999999990	4.3397955894470	20.4183273315430
3	630996.1249999999990	4.2363076210022	16.2461872100830
4	541230.4999999999990	4.1679892539978	12.2612257003784
5	464238.2812499999990	4.1292037963867	8.4836673736572
6	398144.5312499999990	4.1145925521851	4.8721237182617
7	341542.9687499999990	4.1239943504333	1.4343899488449
8	292910.1562500000000	4.1529369354248	-1.8715448379517
9	251191.4062500000000	4.2015781402588	-5.0665006637573
10	215449.2187500000000	4.2709112167358	-8.1805295944214
11	184863.2812500000000	4.3605437278748	-11.2216968536377
12	158496.0937500000000	4.4728283882141	-14.2145977020264
13	135996.0937500000000	4.6096911430359	-17.1556682586670
14	116660.1562500000000	4.7738790512085	-20.0592498779297
15	100019.5312500000000	4.9639620780945	-22.9162826538086
16	85839.8437499999999	5.1884913444519	-25.7365398406982
17	73652.3437499999999	5.4509658813477	-28.5094947814941
18	63105.4687499999999	5.7564539909363	-31.2725429534912
19	54199.2187499999999	6.1019425392151	-33.9357757568359
20	46464.8437499999999	6.5015177726746	-36.5688781738281
21	39902.3437499999999	6.9548645019531	-39.1407508850098
22	34160.1562500000000	7.4841051101685	-41.7034912109375
23	29355.4687500000000	8.0732145309448	-44.1528282165527
24	25136.7187500000000	8.7648849487305	-46.5943527221680
25	21621.0937500000000	9.5311717987061	-48.9040412902832
26	18574.2187500000000	10.4160881042480	-51.1701698303223
27	15878.9062500000000	11.4654226303101	-53.4427986145020
28	13652.3437500000000	12.6320009231567	-55.5283432006836
29	11660.1562500000000	14.0167999267578	-57.6238479614258
30	10019.5312500000000	15.5578889846802	-59.5621337890625
31	8613.2812500000000	17.3307361602783	-61.3589553833008
32	7349.5371093750000	19.4527530670166	-63.1345672607422
33	6307.8706054687500	21.8187236785889	-64.7840805053711
34	5381.9443359375000	24.6543121337891	-66.3646087646484
35	4630.3354492187500	27.7450637817383	-67.7558364868164
36	3993.0556640625000	31.2351093292236	-69.0215377807617
37	3414.3518066406250	35.4845466613770	-70.2490768432617
38	2915.3962402343750	40.4345474243164	-71.3658447265625
39	2519.5312500000000	45.6814002990723	-72.3078765869141
40	2141.2036132812500	52.4233512878418	-73.2345809936523
41	1841.5178222656250	59.6326446533203	-73.9843826293945
42	1580.6685791015625	67.9821243286133	-74.6836242675781
43	1362.6453857421875	77.2738342285156	-75.2581558227539
44	1171.8750000000000	88.0695800781250	-75.7630004882812
45	1000.7022705078125	101.0313720703125	-76.2528305053711
46	857.4694824218750	115.6072311401367	-76.6415939331055
47	734.1867675781250	132.3805694580078	-76.9655227661133
48	628.8109741210937	151.5393676757812	-77.2595443725586
49	542.7631835937500	172.2253570556641	-77.4989089965820
50	463.5989074707031	197.5346374511719	-77.7184295654297
51	400.1524353027344	224.5098876953125	-77.9320983886719
52	341.7968750000000	257.4333496093750	-78.1587295532227
53	292.9687500000000	294.3286743164062	-78.3840789794922
54	252.0161285400391	335.5524902343750	-78.6247940063477
55	215.0229339599609	385.4027709960937	-78.8931961059570
56	184.5472412109375	440.5977783203125	-79.1735458374023
57	158.0056152343750	505.1020507812500	-79.4794540405273
58	136.5291290283203	574.7473144531250	-79.7644577026367
59	116.2190093994141	663.2700195312500	-80.0815658569336
60	99.7340393066406	760.5284423828125	-80.3703765869141
