Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
11:08:53.436 AM 12/14/2023 	 20164.252877 	 20164.907797 	 292.951432 	 293.486806 	 292.955227 	 293.820803 	 -65352.233450 	 293.964910
11:09:03.436 AM 12/14/2023 	 20164.186214 	 20166.308790 	 292.952657 	 293.488950 	 292.937627 	 293.755976 	 -65353.009269 	 293.946876
11:09:13.935 AM 12/14/2023 	 20165.099968 	 20166.375682 	 292.953116 	 293.493852 	 292.930245 	 293.862023 	 -65353.851178 	 294.004228
11:09:23.936 AM 12/14/2023 	 20165.060153 	 20165.660499 	 292.954188 	 293.500439 	 292.912599 	 293.838269 	 -65354.616108 	 294.040000
11:09:34.435 AM 12/14/2023 	 20164.958847 	 20166.844716 	 292.954647 	 293.507486 	 292.940199 	 293.895582 	 -65355.331561 	 294.034471
11:09:44.436 AM 12/14/2023 	 20165.248398 	 20167.429255 	 292.956485 	 293.511468 	 292.947112 	 293.913348 	 -65356.195672 	 294.055538
11:09:54.936 AM 12/14/2023 	 20165.072275 	 20168.104538 	 292.956638 	 293.516523 	 292.949513 	 293.919996 	 -65356.999303 	 294.047069
11:10:05.436 AM 12/14/2023 	 20165.762080 	 20167.254806 	 292.956791 	 293.517443 	 292.932930 	 293.835879 	 -65357.791986 	 294.049891
11:10:15.936 AM 12/14/2023 	 20166.324964 	 20168.122818 	 292.958322 	 293.518362 	 292.942119 	 293.654582 	 -65358.634276 	 293.812445
11:10:25.936 AM 12/14/2023 	 20166.035671 	 20167.712564 	 292.958322 	 293.519281 	 292.935899 	 293.706513 	 -65359.300449 	 293.877116
11:10:36.436 AM 12/14/2023 	 20166.214723 	 20167.676486 	 292.961384 	 293.522804 	 292.942820 	 293.780064 	 -65359.939133 	 293.925129
11:10:46.436 AM 12/14/2023 	 20166.893164 	 20168.696763 	 292.962150 	 293.523570 	 292.952292 	 293.433526 	 -65360.621907 	 293.590990
11:10:56.436 AM 12/14/2023 	 20166.389571 	 20168.714072 	 292.962456 	 293.531229 	 292.957877 	 293.927398 	 -65361.167057 	 293.987867
11:11:06.437 AM 12/14/2023 	 20166.500921 	 20168.302896 	 292.964753 	 293.535825 	 292.959300 	 294.008655 	 -65361.849911 	 294.105952
11:11:16.937 AM 12/14/2023 	 20167.265627 	 20169.113349 	 292.963528 	 293.539807 	 292.948025 	 293.955834 	 -65362.439183 	 294.096121
11:11:27.437 AM 12/14/2023 	 20166.678857 	 20169.609567 	 292.965978 	 293.541952 	 292.943584 	 293.946679 	 -65363.078057 	 294.026512
11:11:37.437 AM 12/14/2023 	 20167.663286 	 20169.439258 	 292.967509 	 293.543178 	 292.957691 	 293.887998 	 -65363.623333 	 294.036335
11:11:47.937 AM 12/14/2023 	 20168.174111 	 20169.117973 	 292.968121 	 293.542105 	 292.926463 	 293.825644 	 -65364.196179 	 294.016043
