Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:08:53.436 AM 12/14/2023 	 4.013435 	 297.647000 	 44.546000 	 -2924439.574545 	 4.022742 	 297.647000 	 44.546000 	 -2924439.574545 	 107.755761 	 107.955918 	 294.535044
11:09:03.436 AM 12/14/2023 	 4.009897 	 297.647000 	 44.546000 	 -2924474.134138 	 4.036220 	 297.647000 	 44.546000 	 -2924474.134138 	 107.756238 	 107.956751 	 294.538268
11:09:13.935 AM 12/14/2023 	 4.017497 	 297.647000 	 44.546000 	 -2924511.637841 	 4.033998 	 297.647000 	 44.546000 	 -2924511.637841 	 107.756416 	 107.958658 	 294.541767
11:09:23.936 AM 12/14/2023 	 4.014310 	 297.647000 	 44.546000 	 -2924545.712420 	 4.022984 	 297.647000 	 44.546000 	 -2924545.712420 	 107.756833 	 107.961219 	 294.544946
11:09:34.435 AM 12/14/2023 	 4.010586 	 297.647000 	 44.546000 	 -2924577.582963 	 4.034164 	 297.647000 	 44.546000 	 -2924577.582963 	 107.757012 	 107.963959 	 294.547919
11:09:44.436 AM 12/14/2023 	 4.010866 	 297.647000 	 44.546000 	 -2924616.075647 	 4.037864 	 297.647000 	 44.546000 	 -2924616.075647 	 107.757727 	 107.965508 	 294.551510
11:09:54.936 AM 12/14/2023 	 4.005960 	 297.647000 	 44.546000 	 -2924651.874215 	 4.042830 	 297.647000 	 44.546000 	 -2924651.874215 	 107.757786 	 107.967473 	 294.554849
11:10:05.436 AM 12/14/2023 	 4.011138 	 297.647000 	 44.546000 	 -2924687.185057 	 4.030158 	 297.647000 	 44.546000 	 -2924687.185057 	 107.757846 	 107.967831 	 294.558143
11:10:15.936 AM 12/14/2023 	 4.014666 	 297.647000 	 44.546000 	 -2924724.705728 	 4.037221 	 297.647000 	 44.546000 	 -2924724.705728 	 107.758441 	 107.968188 	 294.561643
11:10:25.936 AM 12/14/2023 	 4.008937 	 297.647000 	 44.546000 	 -2924754.381057 	 4.030094 	 297.647000 	 44.546000 	 -2924754.381057 	 107.758441 	 107.968545 	 294.564411
11:10:36.436 AM 12/14/2023 	 4.008738 	 297.647000 	 44.546000 	 -2924782.831888 	 4.027402 	 297.647000 	 44.546000 	 -2924782.831888 	 107.759632 	 107.969915 	 294.567065
11:10:46.436 AM 12/14/2023 	 4.014176 	 297.647000 	 44.546000 	 -2924813.246748 	 4.036798 	 297.647000 	 44.546000 	 -2924813.246748 	 107.759930 	 107.970213 	 294.569902
11:10:56.436 AM 12/14/2023 	 4.006392 	 297.647000 	 44.546000 	 -2924837.530990 	 4.035058 	 297.647000 	 44.546000 	 -2924837.530990 	 107.760049 	 107.973192 	 294.572168
11:11:06.437 AM 12/14/2023 	 4.005251 	 297.647000 	 44.546000 	 -2924867.949384 	 4.027860 	 297.647000 	 44.546000 	 -2924867.949384 	 107.760943 	 107.974978 	 294.575005
11:11:16.937 AM 12/14/2023 	 4.012022 	 297.647000 	 44.546000 	 -2924894.199095 	 4.035157 	 297.647000 	 44.546000 	 -2924894.199095 	 107.760466 	 107.976527 	 294.577453
11:11:27.437 AM 12/14/2023 	 4.002939 	 297.647000 	 44.546000 	 -2924922.658380 	 4.038634 	 297.647000 	 44.546000 	 -2924922.658380 	 107.761419 	 107.977361 	 294.580108
11:11:37.437 AM 12/14/2023 	 4.012416 	 297.647000 	 44.546000 	 -2924946.948269 	 4.034719 	 297.647000 	 44.546000 	 -2924946.948269 	 107.762015 	 107.977838 	 294.582374
11:11:47.937 AM 12/14/2023 	 4.016301 	 297.647000 	 44.546000 	 -2924972.466271 	 4.028955 	 297.647000 	 44.546000 	 -2924972.466271 	 107.762253 	 107.977421 	 294.584754
11:11:58.437 AM 12/14/2023 	 4.011272 	 297.647000 	 44.546000 	 -2924999.457972 	 4.031723 	 297.647000 	 44.546000 	 -2924999.457972 	 107.762074 	 107.979148 	 294.587271
11:12:08.437 AM 12/14/2023 	 4.007346 	 297.647000 	 44.546000 	 -2925019.580065 	 4.026164 	 297.647000 	 44.546000 	 -2925019.580065 	 107.762730 	 107.980101 	 294.589148
11:12:18.937 AM 12/14/2023 	 4.013750 	 297.647000 	 44.546000 	 -2925045.592828 	 4.028585 	 297.647000 	 44.546000 	 -2925045.592828 	 107.763385 	 107.980518 	 294.591574
11:12:29.437 AM 12/14/2023 	 4.013750 	 297.647000 	 44.546000 	 -2925068.171108 	 4.022871 	 297.647000 	 44.546000 	 -2925068.171108 	 107.764278 	 107.980042 	 294.593680
11:12:39.937 AM 12/14/2023 	 4.008916 	 297.647000 	 44.546000 	 -2925090.505039 	 4.028698 	 297.647000 	 44.546000 	 -2925090.505039 	 107.765052 	 107.980756 	 294.595763
11:12:50.436 AM 12/14/2023 	 4.015122 	 297.647000 	 44.546000 	 -2925111.858250 	 4.023942 	 297.647000 	 44.546000 	 -2925111.858250 	 107.765410 	 107.981471 	 294.597755
11:13:00.437 AM 12/14/2023 	 4.006870 	 297.647000 	 44.546000 	 -2925129.285153 	 4.032266 	 297.647000 	 44.546000 	 -2925129.285153 	 107.765469 	 107.981650 	 294.599380
11:13:10.936 AM 12/14/2023 	 4.007483 	 297.647000 	 44.546000 	 -2925153.585715 	 4.031262 	 297.647000 	 44.546000 	 -2925153.585715 	 107.765350 	 107.982782 	 294.601646
11:13:20.937 AM 12/14/2023 	 4.008464 	 297.647000 	 44.546000 	 -2925168.804888 	 4.032938 	 297.647000 	 44.546000 	 -2925168.804888 	 107.765886 	 107.984390 	 294.603066
