Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:58:25.373 AM 12/14/2023 	 20156.541012 	 20158.864305 	 292.901671 	 293.378507 	 292.956312 	 293.620535 	 -65331.129374 	 293.798730
10:58:35.873 AM 12/14/2023 	 20158.586615 	 20160.234323 	 292.901212 	 293.380192 	 292.932673 	 293.543029 	 -65332.046275 	 293.773243
10:58:46.373 AM 12/14/2023 	 20158.567549 	 20159.349709 	 292.900293 	 293.378507 	 292.942351 	 293.659541 	 -65332.891870 	 293.838667
10:58:56.872 AM 12/14/2023 	 20158.656154 	 20159.195073 	 292.901671 	 293.379426 	 292.955519 	 293.560644 	 -65333.666144 	 293.789905
10:59:06.873 AM 12/14/2023 	 20159.087897 	 20159.970640 	 292.902896 	 293.380499 	 292.992938 	 293.594233 	 -65334.352603 	 293.746444
10:59:17.373 AM 12/14/2023 	 20158.810829 	 20160.511668 	 292.904580 	 293.381111 	 292.936483 	 293.567166 	 -65335.006154 	 293.761923
10:59:27.873 AM 12/14/2023 	 20158.804104 	 20160.497684 	 292.905346 	 293.378967 	 292.948332 	 293.604529 	 -65335.577357 	 293.729797
10:59:37.873 AM 12/14/2023 	 20159.175846 	 20160.770159 	 292.905958 	 293.380499 	 292.937838 	 293.644634 	 -65336.126621 	 293.821876
10:59:48.373 AM 12/14/2023 	 20159.293820 	 20161.093160 	 292.906724 	 293.381418 	 292.949970 	 293.556048 	 -65336.538587 	 293.792872
10:59:58.873 AM 12/14/2023 	 20159.675422 	 20160.695754 	 292.908561 	 293.385247 	 292.951633 	 293.872502 	 -65336.824226 	 294.032181
11:00:09.372 AM 12/14/2023 	 20160.626878 	 20161.318909 	 292.909327 	 293.390149 	 292.962528 	 293.683941 	 -65337.280166 	 293.863058
11:00:19.373 AM 12/14/2023 	 20160.502201 	 20160.512868 	 292.909786 	 293.390149 	 292.953554 	 293.796923 	 -65337.626254 	 293.939148
11:00:29.872 AM 12/14/2023 	 20159.553676 	 20161.806433 	 292.908408 	 293.394438 	 292.957233 	 293.761842 	 -65338.054759 	 293.935732
11:00:39.873 AM 12/14/2023 	 20159.715381 	 20161.021803 	 292.911930 	 293.399033 	 292.955101 	 293.811699 	 -65338.565692 	 293.945415
11:00:50.372 AM 12/14/2023 	 20160.118139 	 20161.543271 	 292.912389 	 293.403016 	 292.959995 	 293.791537 	 -65338.944788 	 293.989508
11:01:00.373 AM 12/14/2023 	 20160.406132 	 20162.052827 	 292.915145 	 293.404854 	 292.954006 	 293.684887 	 -65339.439280 	 293.849355
11:01:10.873 AM 12/14/2023 	 20160.950388 	 20161.528744 	 292.914992 	 293.405773 	 292.937877 	 293.808211 	 -65339.999733 	 293.965550
11:01:21.372 AM 12/14/2023 	 20160.395055 	 20162.542164 	 292.915451 	 293.408530 	 292.961235 	 293.680286 	 -65340.378880 	 293.835778
11:01:31.373 AM 12/14/2023 	 20160.915980 	 20161.691976 	 292.915910 	 293.407458 	 292.972786 	 293.679530 	 -65340.878934 	 293.819900
11:01:41.872 AM 12/14/2023 	 20160.675183 	 20161.923846 	 292.918360 	 293.407458 	 292.951795 	 293.821157 	 -65341.181177 	 294.025729
11:01:51.873 AM 12/14/2023 	 20160.590676 	 20162.221215 	 292.917135 	 293.408071 	 292.956352 	 293.716062 	 -65341.593339 	 293.888079
11:02:02.373 AM 12/14/2023 	 20161.645035 	 20163.159787 	 292.918666 	 293.407764 	 292.943836 	 293.883620 	 -65341.884610 	 293.805652
11:02:12.872 AM 12/14/2023 	 20160.372261 	 20161.530843 	 292.916982 	 293.408224 	 292.949960 	 293.746074 	 -65342.104443 	 293.845316
11:02:23.373 AM 12/14/2023 	 20160.561675 	 20162.264435 	 292.918054 	 293.413126 	 292.962673 	 293.771526 	 -65342.428704 	 293.930767
11:02:33.872 AM 12/14/2023 	 20161.958588 	 20162.889790 	 292.918054 	 293.414198 	 292.952883 	 293.739540 	 -65342.692517 	 293.923832
11:02:44.373 AM 12/14/2023 	 20161.112171 	 20163.121359 	 292.920198 	 293.416189 	 292.975454 	 293.760654 	 -65343.110235 	 293.975173
11:02:54.873 AM 12/14/2023 	 20161.911684 	 20163.640787 	 292.920657 	 293.418487 	 292.960014 	 293.800062 	 -65343.494990 	 293.948900
