Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:58:25.373 AM 12/14/2023 	 3.999165 	 297.647000 	 44.546000 	 -2923499.472364 	 4.027822 	 297.647000 	 44.546000 	 -2923499.472364 	 107.736404 	 107.913805 	 294.438813
10:58:35.873 AM 12/14/2023 	 4.019628 	 297.647000 	 44.546000 	 -2923540.316625 	 4.040439 	 297.647000 	 44.546000 	 -2923540.316625 	 107.736225 	 107.914460 	 294.442625
10:58:46.373 AM 12/14/2023 	 4.016394 	 297.647000 	 44.546000 	 -2923577.984521 	 4.027174 	 297.647000 	 44.546000 	 -2923577.984521 	 107.735868 	 107.913805 	 294.446141
10:58:56.872 AM 12/14/2023 	 4.014663 	 297.647000 	 44.546000 	 -2923612.475292 	 4.022625 	 297.647000 	 44.546000 	 -2923612.475292 	 107.736404 	 107.914162 	 294.449360
10:59:06.873 AM 12/14/2023 	 4.017226 	 297.647000 	 44.546000 	 -2923643.054322 	 4.029171 	 297.647000 	 44.546000 	 -2923643.054322 	 107.736881 	 107.914579 	 294.452214
10:59:17.373 AM 12/14/2023 	 4.011683 	 297.647000 	 44.546000 	 -2923672.167397 	 4.033116 	 297.647000 	 44.546000 	 -2923672.167397 	 107.737536 	 107.914817 	 294.454931
10:59:27.873 AM 12/14/2023 	 4.009570 	 297.647000 	 44.546000 	 -2923697.612226 	 4.030920 	 297.647000 	 44.546000 	 -2923697.612226 	 107.737834 	 107.913983 	 294.457306
10:59:37.873 AM 12/14/2023 	 4.011926 	 297.647000 	 44.546000 	 -2923722.079700 	 4.032123 	 297.647000 	 44.546000 	 -2923722.079700 	 107.738072 	 107.914579 	 294.459590
10:59:48.373 AM 12/14/2023 	 4.011826 	 297.647000 	 44.546000 	 -2923740.431137 	 4.034401 	 297.647000 	 44.546000 	 -2923740.431137 	 107.738370 	 107.914937 	 294.461302
10:59:58.873 AM 12/14/2023 	 4.015235 	 297.647000 	 44.546000 	 -2923753.155219 	 4.028777 	 297.647000 	 44.546000 	 -2923753.155219 	 107.739084 	 107.916426 	 294.462490
11:00:09.372 AM 12/14/2023 	 4.024648 	 297.647000 	 44.546000 	 -2923773.465521 	 4.034377 	 297.647000 	 44.546000 	 -2923773.465521 	 107.739382 	 107.918332 	 294.464385
11:00:19.373 AM 12/14/2023 	 4.021969 	 297.647000 	 44.546000 	 -2923788.882358 	 4.023802 	 297.647000 	 44.546000 	 -2923788.882358 	 107.739561 	 107.918332 	 294.465824
11:00:29.872 AM 12/14/2023 	 4.009439 	 297.647000 	 44.546000 	 -2923807.970567 	 4.037271 	 297.647000 	 44.546000 	 -2923807.970567 	 107.739025 	 107.920000 	 294.467606
11:00:39.873 AM 12/14/2023 	 4.009494 	 297.647000 	 44.546000 	 -2923830.730594 	 4.026357 	 297.647000 	 44.546000 	 -2923830.730594 	 107.740395 	 107.921787 	 294.469730
11:00:50.372 AM 12/14/2023 	 4.012816 	 297.647000 	 44.546000 	 -2923847.617774 	 4.031052 	 297.647000 	 44.546000 	 -2923847.617774 	 107.740573 	 107.923335 	 294.471306
11:01:00.373 AM 12/14/2023 	 4.014395 	 297.647000 	 44.546000 	 -2923869.645438 	 4.035198 	 297.647000 	 44.546000 	 -2923869.645438 	 107.741645 	 107.924050 	 294.473361
11:01:10.873 AM 12/14/2023 	 4.018712 	 297.647000 	 44.546000 	 -2923894.611367 	 4.027128 	 297.647000 	 44.546000 	 -2923894.611367 	 107.741586 	 107.924407 	 294.475691
11:01:21.372 AM 12/14/2023 	 4.010919 	 297.647000 	 44.546000 	 -2923911.500832 	 4.037525 	 297.647000 	 44.546000 	 -2923911.500832 	 107.741764 	 107.925480 	 294.477267
11:01:31.373 AM 12/14/2023 	 4.015180 	 297.647000 	 44.546000 	 -2923933.776268 	 4.025890 	 297.647000 	 44.546000 	 -2923933.776268 	 107.741943 	 107.925063 	 294.479346
11:01:41.872 AM 12/14/2023 	 4.011310 	 297.647000 	 44.546000 	 -2923947.239953 	 4.027501 	 297.647000 	 44.546000 	 -2923947.239953 	 107.742896 	 107.925063 	 294.480603
11:01:51.873 AM 12/14/2023 	 4.008861 	 297.647000 	 44.546000 	 -2923965.600143 	 4.029481 	 297.647000 	 44.546000 	 -2923965.600143 	 107.742420 	 107.925301 	 294.482316
11:02:02.373 AM 12/14/2023 	 4.020054 	 297.647000 	 44.546000 	 -2923978.575108 	 4.039323 	 297.647000 	 44.546000 	 -2923978.575108 	 107.743015 	 107.925182 	 294.483527
11:02:12.872 AM 12/14/2023 	 4.004506 	 297.647000 	 44.546000 	 -2923988.367770 	 4.019659 	 297.647000 	 44.546000 	 -2923988.367770 	 107.742360 	 107.925360 	 294.484441
11:02:23.373 AM 12/14/2023 	 4.005548 	 297.647000 	 44.546000 	 -2924002.812317 	 4.027008 	 297.647000 	 44.546000 	 -2924002.812317 	 107.742777 	 107.927267 	 294.485788
11:02:33.872 AM 12/14/2023 	 4.020813 	 297.647000 	 44.546000 	 -2924014.564140 	 4.033317 	 297.647000 	 44.546000 	 -2924014.564140 	 107.742777 	 107.927684 	 294.486885
11:02:44.373 AM 12/14/2023 	 4.009506 	 297.647000 	 44.546000 	 -2924033.171791 	 4.034515 	 297.647000 	 44.546000 	 -2924033.171791 	 107.743611 	 107.928458 	 294.488621
11:02:54.873 AM 12/14/2023 	 4.017410 	 297.647000 	 44.546000 	 -2924050.311065 	 4.039166 	 297.647000 	 44.546000 	 -2924050.311065 	 107.743790 	 107.929351 	 294.490221
11:03:05.373 AM 12/14/2023 	 4.022696 	 297.647000 	 44.546000 	 -2924067.940683 	 4.032710 	 297.647000 	 44.546000 	 -2924067.940683 	 107.743968 	 107.931674 	 294.491866
11:03:15.373 AM 12/14/2023 	 4.008555 	 297.647000 	 44.546000 	 -2924085.326090 	 4.036004 	 297.647000 	 44.546000 	 -2924085.326090 	 107.743909 	 107.932151 	 294.493488
11:03:25.873 AM 12/14/2023 	 4.012641 	 297.647000 	 44.546000 	 -2924102.957016 	 4.029977 	 297.647000 	 44.546000 	 -2924102.957016 	 107.743909 	 107.932568 	 294.495133
11:03:36.373 AM 12/14/2023 	 4.018490 	 297.647000 	 44.546000 	 -2924120.833488 	 4.034865 	 297.647000 	 44.546000 	 -2924120.833488 	 107.743670 	 107.931972 	 294.496801
11:03:46.373 AM 12/14/2023 	 4.014847 	 297.647000 	 44.546000 	 -2924132.588250 	 4.023498 	 297.647000 	 44.546000 	 -2924132.588250 	 107.744028 	 107.932389 	 294.497898
11:03:56.873 AM 12/14/2023 	 4.006249 	 297.647000 	 44.546000 	 -2924145.812708 	 4.032106 	 297.647000 	 44.546000 	 -2924145.812708 	 107.743968 	 107.932568 	 294.499132
11:04:07.373 AM 12/14/2023 	 4.015787 	 297.647000 	 44.546000 	 -2924155.853747 	 4.021656 	 297.647000 	 44.546000 	 -2924155.853747 	 107.744385 	 107.932747 	 294.500069
11:04:17.873 AM 12/14/2023 	 4.014465 	 297.647000 	 44.546000 	 -2924172.262734 	 4.025560 	 297.647000 	 44.546000 	 -2924172.262734 	 107.744981 	 107.933878 	 294.501600
11:04:28.372 AM 12/14/2023 	 4.015446 	 297.647000 	 44.546000 	 -2924186.467990 	 4.042290 	 297.647000 	 44.546000 	 -2924186.467990 	 107.744921 	 107.933759 	 294.502926
11:04:38.373 AM 12/14/2023 	 4.017696 	 297.647000 	 44.546000 	 -2924197.489604 	 4.034637 	 297.647000 	 44.546000 	 -2924197.489604 	 107.745517 	 107.934712 	 294.503954
11:04:48.872 AM 12/14/2023 	 4.008499 	 297.647000 	 44.546000 	 -2924212.430425 	 4.024214 	 297.647000 	 44.546000 	 -2924212.430425 	 107.745100 	 107.934831 	 294.505348
11:04:58.873 AM 12/14/2023 	 4.013773 	 297.647000 	 44.546000 	 -2924218.553850 	 4.031767 	 297.647000 	 44.546000 	 -2924218.553850 	 107.745100 	 107.935487 	 294.505920
11:05:08.873 AM 12/14/2023 	 4.009238 	 297.647000 	 44.546000 	 -2924229.086325 	 4.030030 	 297.647000 	 44.546000 	 -2924229.086325 	 107.745874 	 107.937095 	 294.506902
11:05:18.873 AM 12/14/2023 	 4.019030 	 297.647000 	 44.546000 	 -2924235.454913 	 4.026313 	 297.647000 	 44.546000 	 -2924235.454913 	 107.745755 	 107.937452 	 294.507497
11:05:29.373 AM 12/14/2023 	 4.023539 	 297.647000 	 44.546000 	 -2924241.333685 	 4.027729 	 297.647000 	 44.546000 	 -2924241.333685 	 107.746351 	 107.938286 	 294.508045
11:05:39.373 AM 12/14/2023 	 4.013569 	 297.647000 	 44.546000 	 -2924248.192346 	 4.033677 	 297.647000 	 44.546000 	 -2924248.192346 	 107.747363 	 107.938465 	 294.508685
