Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
11:33:53.255 AM 12/14/2023 	 20196.835512 	 20197.582542 	 293.111743 	 293.893685 	 293.008171 	 294.337416 	 -65458.554671 	 294.427566
11:34:03.255 AM 12/14/2023 	 20196.075954 	 20197.921442 	 293.113121 	 293.893379 	 293.002202 	 294.723567 	 -65459.054489 	 294.923031
11:34:13.755 AM 12/14/2023 	 20196.942074 	 20198.413793 	 293.116184 	 293.900732 	 293.025768 	 294.329474 	 -65459.598762 	 294.455964
11:34:23.755 AM 12/14/2023 	 20196.882477 	 20199.153907 	 293.117255 	 293.905482 	 293.024591 	 294.288647 	 -65460.226377 	 294.505756
11:34:34.255 AM 12/14/2023 	 20196.684093 	 20199.119385 	 293.117562 	 293.907780 	 293.014963 	 294.549005 	 -65460.642957 	 294.646662
11:34:44.755 AM 12/14/2023 	 20197.669219 	 20198.691266 	 293.119246 	 293.909771 	 293.017135 	 294.293486 	 -65461.392843 	 294.461044
11:34:54.755 AM 12/14/2023 	 20198.219660 	 20198.614708 	 293.120777 	 293.912835 	 292.997393 	 294.437587 	 -65461.881686 	 294.504597
11:35:04.755 AM 12/14/2023 	 20198.000581 	 20198.889888 	 293.120318 	 293.913755 	 293.015891 	 294.248811 	 -65462.459440 	 294.402699
11:35:15.255 AM 12/14/2023 	 20198.810295 	 20199.345145 	 293.122155 	 293.914367 	 293.023143 	 294.304198 	 -65463.065004 	 294.443437
11:35:25.255 AM 12/14/2023 	 20198.829636 	 20200.038372 	 293.122155 	 293.915287 	 293.009764 	 294.198318 	 -65463.603930 	 294.292743
11:35:35.755 AM 12/14/2023 	 20198.332521 	 20200.325105 	 293.122155 	 293.917738 	 293.002457 	 294.253354 	 -65464.237343 	 294.396384
11:35:46.255 AM 12/14/2023 	 20198.714889 	 20199.705204 	 293.123840 	 293.922640 	 293.012296 	 294.191872 	 -65464.781886 	 294.324064
11:35:56.255 AM 12/14/2023 	 20198.385061 	 20200.309356 	 293.123227 	 293.924326 	 292.998477 	 294.299427 	 -65465.215319 	 294.433004
11:36:06.754 AM 12/14/2023 	 20198.591024 	 20200.424204 	 293.123380 	 293.926470 	 293.034524 	 294.089378 	 -65465.687670 	 294.228681
11:36:16.755 AM 12/14/2023 	 20199.299128 	 20201.042460 	 293.124605 	 293.930913 	 292.990295 	 294.257276 	 -65466.321209 	 294.386618
11:36:26.755 AM 12/14/2023 	 20198.845584 	 20200.554000 	 293.125983 	 293.938420 	 293.030418 	 295.372862 	 -65466.749147 	 294.762055
11:36:37.255 AM 12/14/2023 	 20199.820083 	 20201.429872 	 293.126136 	 293.940872 	 293.006210 	 294.368503 	 -65467.416100 	 294.481298
11:36:47.255 AM 12/14/2023 	 20199.625576 	 20200.838233 	 293.127974 	 293.944702 	 293.025044 	 294.389641 	 -65467.960809 	 294.528384
11:36:57.755 AM 12/14/2023 	 20199.750217 	 20201.033053 	 293.127974 	 293.954354 	 293.021757 	 294.391084 	 -65468.650074 	 294.594463
11:37:07.755 AM 12/14/2023 	 20198.732610 	 20201.768743 	 293.129046 	 293.955886 	 293.017557 	 294.484115 	 -65469.233761 	 294.603016
11:37:18.255 AM 12/14/2023 	 20200.682695 	 20201.562134 	 293.130271 	 293.960482 	 293.037707 	 294.314945 	 -65469.867516 	 294.517414
11:37:28.255 AM 12/14/2023 	 20200.344355 	 20201.519885 	 293.129505 	 293.958950 	 293.021778 	 294.339184 	 -65470.590266 	 294.478413
11:37:38.255 AM 12/14/2023 	 20201.163711 	 20202.561326 	 293.134252 	 293.964006 	 293.020974 	 294.281263 	 -65471.307505 	 294.390775
11:37:48.754 AM 12/14/2023 	 20201.393150 	 20201.711737 	 293.136395 	 293.969981 	 293.033319 	 294.319067 	 -65471.885781 	 294.465380
