Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:33:53.255 AM 12/14/2023 	 4.012597 	 297.647000 	 44.546000 	 -2929175.759637 	 4.022973 	 297.647000 	 44.546000 	 -2929175.759637 	 107.818120 	 108.114123 	 294.934883
11:34:03.255 AM 12/14/2023 	 4.002005 	 297.647000 	 44.546000 	 -2929198.024519 	 4.025122 	 297.647000 	 44.546000 	 -2929198.024519 	 107.818656 	 108.114004 	 294.936955
11:34:13.755 AM 12/14/2023 	 4.010113 	 297.647000 	 44.546000 	 -2929222.269712 	 4.028891 	 297.647000 	 44.546000 	 -2929222.269712 	 107.819848 	 108.116863 	 294.939213
11:34:23.755 AM 12/14/2023 	 4.007186 	 297.647000 	 44.546000 	 -2929250.227474 	 4.035236 	 297.647000 	 44.546000 	 -2929250.227474 	 107.820265 	 108.118710 	 294.941815
11:34:34.255 AM 12/14/2023 	 4.003400 	 297.647000 	 44.546000 	 -2929268.784438 	 4.033353 	 297.647000 	 44.546000 	 -2929268.784438 	 107.820384 	 108.119603 	 294.943543
11:34:44.755 AM 12/14/2023 	 4.012156 	 297.647000 	 44.546000 	 -2929302.188839 	 4.025720 	 297.647000 	 44.546000 	 -2929302.188839 	 107.821039 	 108.120378 	 294.946652
11:34:54.755 AM 12/14/2023 	 4.016800 	 297.647000 	 44.546000 	 -2929323.964852 	 4.023092 	 297.647000 	 44.546000 	 -2929323.964852 	 107.821634 	 108.121569 	 294.948679
11:35:04.755 AM 12/14/2023 	 4.012200 	 297.647000 	 44.546000 	 -2929349.701454 	 4.024225 	 297.647000 	 44.546000 	 -2929349.701454 	 107.821456 	 108.121926 	 294.951075
11:35:15.255 AM 12/14/2023 	 4.019435 	 297.647000 	 44.546000 	 -2929376.676922 	 4.027347 	 297.647000 	 44.546000 	 -2929376.676922 	 107.822170 	 108.122165 	 294.953586
11:35:25.255 AM 12/14/2023 	 4.017740 	 297.647000 	 44.546000 	 -2929400.683930 	 4.033463 	 297.647000 	 44.546000 	 -2929400.683930 	 107.822170 	 108.122522 	 294.955821
11:35:35.755 AM 12/14/2023 	 4.009716 	 297.647000 	 44.546000 	 -2929428.899936 	 4.034532 	 297.647000 	 44.546000 	 -2929428.899936 	 107.822170 	 108.123475 	 294.958447
11:35:46.255 AM 12/14/2023 	 4.012212 	 297.647000 	 44.546000 	 -2929453.157170 	 4.025408 	 297.647000 	 44.546000 	 -2929453.157170 	 107.822826 	 108.125381 	 294.960705
11:35:56.255 AM 12/14/2023 	 4.006841 	 297.647000 	 44.546000 	 -2929472.464852 	 4.030868 	 297.647000 	 44.546000 	 -2929472.464852 	 107.822587 	 108.126036 	 294.962503
11:36:06.754 AM 12/14/2023 	 4.007548 	 297.647000 	 44.546000 	 -2929493.506188 	 4.030517 	 297.647000 	 44.546000 	 -2929493.506188 	 107.822647 	 108.126870 	 294.964461
11:36:16.755 AM 12/14/2023 	 4.013505 	 297.647000 	 44.546000 	 -2929521.727829 	 4.035428 	 297.647000 	 44.546000 	 -2929521.727829 	 107.823123 	 108.128598 	 294.967088
11:36:26.755 AM 12/14/2023 	 4.006719 	 297.647000 	 44.546000 	 -2929540.790784 	 4.028243 	 297.647000 	 44.546000 	 -2929540.790784 	 107.823659 	 108.131516 	 294.968862
11:36:37.255 AM 12/14/2023 	 4.015647 	 297.647000 	 44.546000 	 -2929570.500845 	 4.036021 	 297.647000 	 44.546000 	 -2929570.500845 	 107.823719 	 108.132469 	 294.971628
11:36:47.255 AM 12/14/2023 	 4.011450 	 297.647000 	 44.546000 	 -2929594.765470 	 4.027224 	 297.647000 	 44.546000 	 -2929594.765470 	 107.824434 	 108.133959 	 294.973886
11:36:57.755 AM 12/14/2023 	 4.010440 	 297.647000 	 44.546000 	 -2929625.469464 	 4.027028 	 297.647000 	 44.546000 	 -2929625.469464 	 107.824434 	 108.137711 	 294.976744
11:37:07.755 AM 12/14/2023 	 3.996556 	 297.647000 	 44.546000 	 -2929651.470401 	 4.033478 	 297.647000 	 44.546000 	 -2929651.470401 	 107.824851 	 108.138307 	 294.979164
11:37:18.255 AM 12/14/2023 	 4.016920 	 297.647000 	 44.546000 	 -2929679.701637 	 4.028827 	 297.647000 	 44.546000 	 -2929679.701637 	 107.825327 	 108.140094 	 294.981792
11:37:28.255 AM 12/14/2023 	 4.010420 	 297.647000 	 44.546000 	 -2929711.897245 	 4.025764 	 297.647000 	 44.546000 	 -2929711.897245 	 107.825029 	 108.139498 	 294.984788
11:37:38.255 AM 12/14/2023 	 4.017369 	 297.647000 	 44.546000 	 -2929743.847401 	 4.035282 	 297.647000 	 44.546000 	 -2929743.847401 	 107.826876 	 108.141464 	 294.987762
11:37:48.754 AM 12/14/2023 	 4.017970 	 297.647000 	 44.546000 	 -2929769.607267 	 4.023376 	 297.647000 	 44.546000 	 -2929769.607267 	 107.827710 	 108.143787 	 294.990159
