Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
3:25:03.937 PM 12/14/2023 	 20227.341194 	 20228.492575 	 293.696402 	 294.068647 	 293.341838 	 294.197729 	 -65559.123591 	 294.502655
3:25:13.937 PM 12/14/2023 	 20227.640330 	 20229.160416 	 293.696096 	 294.073396 	 293.318490 	 294.248081 	 -65559.538857 	 294.512396
3:25:24.437 PM 12/14/2023 	 20228.786143 	 20229.479664 	 293.697321 	 294.076460 	 293.331707 	 294.239082 	 -65559.987812 	 294.472258
3:25:34.937 PM 12/14/2023 	 20227.329663 	 20229.207655 	 293.697474 	 294.077686 	 293.345705 	 294.226141 	 -65560.055157 	 294.505097
3:25:45.437 PM 12/14/2023 	 20228.340793 	 20229.001557 	 293.698699 	 294.078299 	 293.340385 	 294.179752 	 -65560.027097 	 294.460151
3:25:55.936 PM 12/14/2023 	 20228.397247 	 20228.835476 	 293.698240 	 294.082282 	 293.348061 	 294.217633 	 -65559.825063 	 294.485269
3:26:05.937 PM 12/14/2023 	 20227.513637 	 20229.035058 	 293.701303 	 294.083661 	 293.353418 	 294.246115 	 -65559.634258 	 294.498163
3:26:16.437 PM 12/14/2023 	 20227.736200 	 20228.081430 	 293.700690 	 294.085347 	 293.335371 	 294.263984 	 -65559.275105 	 294.568396
3:26:26.937 PM 12/14/2023 	 20227.742929 	 20228.392613 	 293.702068 	 294.089637 	 293.360827 	 294.338956 	 -65558.798123 	 294.650394
3:26:37.437 PM 12/14/2023 	 20227.322205 	 20227.679403 	 293.704059 	 294.094539 	 293.354427 	 294.245233 	 -65558.281886 	 294.668069
3:26:47.937 PM 12/14/2023 	 20226.454626 	 20227.703447 	 293.705591 	 294.099595 	 293.364273 	 294.371187 	 -65557.804951 	 294.641094
3:26:58.437 PM 12/14/2023 	 20227.343688 	 20227.999989 	 293.708041 	 294.102659 	 293.351770 	 294.353047 	 -65557.299985 	 294.595602
3:27:08.936 PM 12/14/2023 	 20226.668997 	 20228.124666 	 293.710338 	 294.105571 	 293.377598 	 294.306599 	 -65556.912861 	 294.540214
3:27:18.937 PM 12/14/2023 	 20226.829117 	 20228.337040 	 293.709726 	 294.107562 	 293.337543 	 294.317137 	 -65556.379887 	 294.529514
3:27:29.437 PM 12/14/2023 	 20226.420041 	 20227.401238 	 293.711563 	 294.110167 	 293.372274 	 294.335273 	 -65555.858162 	 294.584443
3:27:39.937 PM 12/14/2023 	 20226.882529 	 20227.829164 	 293.712329 	 294.112618 	 293.354498 	 294.297708 	 -65555.336462 	 294.572847
3:27:50.437 PM 12/14/2023 	 20226.691162 	 20227.098739 	 293.714473 	 294.116142 	 293.380527 	 294.377023 	 -65554.769915 	 294.629944
3:28:00.936 PM 12/14/2023 	 20226.306558 	 20226.881364 	 293.715698 	 294.121658 	 293.356410 	 294.408652 	 -65554.315578 	 294.678065
3:28:10.937 PM 12/14/2023 	 20226.363603 	 20227.386213 	 293.717230 	 294.125641 	 293.363294 	 294.432039 	 -65553.922958 	 294.671723
3:28:21.437 PM 12/14/2023 	 20226.240233 	 20227.381239 	 293.717536 	 294.130697 	 293.359632 	 294.424610 	 -65553.496701 	 294.638353
3:28:31.438 PM 12/14/2023 	 20226.173615 	 20226.863053 	 293.717996 	 294.133149 	 293.365028 	 294.396012 	 -65553.087286 	 294.585236
3:28:41.445 PM 12/14/2023 	 20225.324998 	 20227.013348 	 293.720905 	 294.134834 	 293.372006 	 294.337366 	 -65552.717145 	 294.586063
3:28:51.452 PM 12/14/2023 	 20225.565054 	 20227.215502 	 293.719987 	 294.137132 	 293.365902 	 294.402076 	 -65552.386272 	 294.657342
3:29:01.459 PM 12/14/2023 	 20226.044094 	 20227.538245 	 293.721977 	 294.142342 	 293.383302 	 294.451057 	 -65552.133919 	 294.691675
3:29:11.467 PM 12/14/2023 	 20224.940030 	 20226.393739 	 293.721518 	 294.144333 	 293.355626 	 294.456007 	 -65551.847926 	 294.689076
3:29:21.473 PM 12/14/2023 	 20225.507079 	 20226.340623 	 293.721824 	 294.147704 	 293.379532 	 294.455318 	 -65551.567548 	 294.644518
3:29:31.480 PM 12/14/2023 	 20224.692671 	 20226.307244 	 293.723968 	 294.151075 	 293.342984 	 294.415551 	 -65551.309607 	 294.626468
3:29:41.488 PM 12/14/2023 	 20224.825166 	 20226.204470 	 293.724887 	 294.153373 	 293.355561 	 294.351638 	 -65551.034851 	 294.538049
3:29:51.494 PM 12/14/2023 	 20224.845522 	 20225.701500 	 293.725347 	 294.154905 	 293.371233 	 294.423913 	 -65550.821780 	 294.638129
3:30:01.502 PM 12/14/2023 	 20224.646128 	 20226.695128 	 293.727950 	 294.158276 	 293.379545 	 294.399642 	 -65550.659176 	 294.627549
3:30:11.508 PM 12/14/2023 	 20224.868367 	 20226.456982 	 293.727950 	 294.160268 	 293.369766 	 294.411123 	 -65550.468541 	 294.597039
3:30:21.516 PM 12/14/2023 	 20225.033738 	 20225.563646 	 293.729635 	 294.162719 	 293.365020 	 294.449806 	 -65550.350797 	 294.614950
3:30:31.523 PM 12/14/2023 	 20225.413891 	 20226.202234 	 293.729329 	 294.165017 	 293.366028 	 294.517348 	 -65550.137740 	 294.657468
3:30:41.530 PM 12/14/2023 	 20223.976605 	 20225.772670 	 293.728716 	 294.167775 	 293.389778 	 294.461766 	 -65550.048033 	 294.668889
3:30:51.537 PM 12/14/2023 	 20224.748335 	 20226.011285 	 293.730860 	 294.172218 	 293.383916 	 294.451198 	 -65550.003180 	 294.707381
