Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
3:25:03.937 PM 12/14/2023 	 4.008161 	 297.647000 	 44.546000 	 -2933655.702727 	 4.023227 	 297.647000 	 44.546000 	 -2933655.702727 	 108.045520 	 108.182147 	 295.387339
3:25:13.937 PM 12/14/2023 	 4.010151 	 297.647000 	 44.546000 	 -2933674.201175 	 4.029490 	 297.647000 	 44.546000 	 -2933674.201175 	 108.045401 	 108.183994 	 295.389057
3:25:24.437 PM 12/14/2023 	 4.021843 	 297.647000 	 44.546000 	 -2933694.200337 	 4.031592 	 297.647000 	 44.546000 	 -2933694.200337 	 108.045878 	 108.185185 	 295.390915
3:25:34.937 PM 12/14/2023 	 4.004708 	 297.647000 	 44.546000 	 -2933697.200286 	 4.028199 	 297.647000 	 44.546000 	 -2933697.200286 	 108.045937 	 108.185661 	 295.391193
3:25:45.437 PM 12/14/2023 	 4.016537 	 297.647000 	 44.546000 	 -2933695.950305 	 4.025910 	 297.647000 	 44.546000 	 -2933695.950305 	 108.046414 	 108.185900 	 295.391077
3:25:55.936 PM 12/14/2023 	 4.017912 	 297.647000 	 44.546000 	 -2933686.950540 	 4.024704 	 297.647000 	 44.546000 	 -2933686.950540 	 108.046235 	 108.187448 	 295.390241
3:26:05.937 PM 12/14/2023 	 4.008341 	 297.647000 	 44.546000 	 -2933678.450924 	 4.027697 	 297.647000 	 44.546000 	 -2933678.450924 	 108.047426 	 108.187984 	 295.389452
3:26:16.437 PM 12/14/2023 	 4.012203 	 297.647000 	 44.546000 	 -2933662.452074 	 4.017922 	 297.647000 	 44.546000 	 -2933662.452074 	 108.047188 	 108.188640 	 295.387966
3:26:26.937 PM 12/14/2023 	 4.013980 	 297.647000 	 44.546000 	 -2933641.204464 	 4.023227 	 297.647000 	 44.546000 	 -2933641.204464 	 108.047724 	 108.190308 	 295.385992
3:26:37.437 PM 12/14/2023 	 4.010939 	 297.647000 	 44.546000 	 -2933618.208161 	 4.016797 	 297.647000 	 44.546000 	 -2933618.208161 	 108.048498 	 108.192214 	 295.383856
3:26:47.937 PM 12/14/2023 	 4.002574 	 297.647000 	 44.546000 	 -2933596.962600 	 4.018774 	 297.647000 	 44.546000 	 -2933596.962600 	 108.049094 	 108.194179 	 295.381882
3:26:58.437 PM 12/14/2023 	 4.014687 	 297.647000 	 44.546000 	 -2933574.468373 	 4.024009 	 297.647000 	 44.546000 	 -2933574.468373 	 108.050047 	 108.195371 	 295.379793
3:27:08.936 PM 12/14/2023 	 4.008239 	 297.647000 	 44.546000 	 -2933557.223546 	 4.026833 	 297.647000 	 44.546000 	 -2933557.223546 	 108.050940 	 108.196502 	 295.378191
3:27:18.937 PM 12/14/2023 	 4.011996 	 297.647000 	 44.546000 	 -2933533.481728 	 4.031192 	 297.647000 	 44.546000 	 -2933533.481728 	 108.050702 	 108.197277 	 295.375985
3:27:29.437 PM 12/14/2023 	 4.009109 	 297.647000 	 44.546000 	 -2933510.240928 	 4.022202 	 297.647000 	 44.546000 	 -2933510.240928 	 108.051417 	 108.198289 	 295.373826
3:27:39.937 PM 12/14/2023 	 4.016333 	 297.647000 	 44.546000 	 -2933487.001305 	 4.029020 	 297.647000 	 44.546000 	 -2933487.001305 	 108.051715 	 108.199242 	 295.371667
3:27:50.437 PM 12/14/2023 	 4.016131 	 297.647000 	 44.546000 	 -2933461.763908 	 4.022570 	 297.647000 	 44.546000 	 -2933461.763908 	 108.052549 	 108.200612 	 295.369323
3:28:00.936 PM 12/14/2023 	 4.013289 	 297.647000 	 44.546000 	 -2933441.525018 	 4.021668 	 297.647000 	 44.546000 	 -2933441.525018 	 108.053025 	 108.202757 	 295.367442
3:28:10.937 PM 12/14/2023 	 4.015349 	 297.647000 	 44.546000 	 -2933424.035338 	 4.028917 	 297.647000 	 44.546000 	 -2933424.035338 	 108.053621 	 108.204305 	 295.365818
3:28:21.437 PM 12/14/2023 	 4.015437 	 297.647000 	 44.546000 	 -2933405.047297 	 4.030377 	 297.647000 	 44.546000 	 -2933405.047297 	 108.053740 	 108.206271 	 295.364054
3:28:31.438 PM 12/14/2023 	 4.016123 	 297.647000 	 44.546000 	 -2933386.809523 	 4.025828 	 297.647000 	 44.546000 	 -2933386.809523 	 108.053918 	 108.207224 	 295.362359
3:28:41.445 PM 12/14/2023 	 4.007597 	 297.647000 	 44.546000 	 -2933370.321201 	 4.028888 	 297.647000 	 44.546000 	 -2933370.321201 	 108.055050 	 108.207879 	 295.360827
3:28:51.452 PM 12/14/2023 	 4.011561 	 297.647000 	 44.546000 	 -2933355.582141 	 4.032409 	 297.647000 	 44.546000 	 -2933355.582141 	 108.054693 	 108.208773 	 295.359458
3:29:01.459 PM 12/14/2023 	 4.018017 	 297.647000 	 44.546000 	 -2933344.340804 	 4.037049 	 297.647000 	 44.546000 	 -2933344.340804 	 108.055467 	 108.210798 	 295.358414
3:29:11.467 PM 12/14/2023 	 4.006228 	 297.647000 	 44.546000 	 -2933331.600954 	 4.024801 	 297.647000 	 44.546000 	 -2933331.600954 	 108.055288 	 108.211572 	 295.357230
3:29:21.473 PM 12/14/2023 	 4.013805 	 297.647000 	 44.546000 	 -2933319.111248 	 4.025183 	 297.647000 	 44.546000 	 -2933319.111248 	 108.055407 	 108.212883 	 295.356070
3:29:31.480 PM 12/14/2023 	 4.005277 	 297.647000 	 44.546000 	 -2933307.621019 	 4.025714 	 297.647000 	 44.546000 	 -2933307.621019 	 108.056241 	 108.214193 	 295.355002
3:29:41.488 PM 12/14/2023 	 4.007793 	 297.647000 	 44.546000 	 -2933295.381743 	 4.025501 	 297.647000 	 44.546000 	 -2933295.381743 	 108.056599 	 108.215087 	 295.353865
3:29:51.494 PM 12/14/2023 	 4.008788 	 297.647000 	 44.546000 	 -2933285.890285 	 4.020430 	 297.647000 	 44.546000 	 -2933285.890285 	 108.056777 	 108.215682 	 295.352983
3:30:01.502 PM 12/14/2023 	 4.007054 	 297.647000 	 44.546000 	 -2933278.646935 	 4.032526 	 297.647000 	 44.546000 	 -2933278.646935 	 108.057790 	 108.216993 	 295.352310
3:30:11.508 PM 12/14/2023 	 4.010312 	 297.647000 	 44.546000 	 -2933270.154878 	 4.030444 	 297.647000 	 44.546000 	 -2933270.154878 	 108.057790 	 108.217767 	 295.351521
3:30:21.516 PM 12/14/2023 	 4.012649 	 297.647000 	 44.546000 	 -2933264.909862 	 4.020508 	 297.647000 	 44.546000 	 -2933264.909862 	 108.058445 	 108.218720 	 295.351034
3:30:31.523 PM 12/14/2023 	 4.017819 	 297.647000 	 44.546000 	 -2933255.419033 	 4.028669 	 297.647000 	 44.546000 	 -2933255.419033 	 108.058326 	 108.219614 	 295.350152
3:30:41.530 PM 12/14/2023 	 4.001465 	 297.647000 	 44.546000 	 -2933251.422954 	 4.024009 	 297.647000 	 44.546000 	 -2933251.422954 	 108.058088 	 108.220686 	 295.349781
3:30:51.537 PM 12/14/2023 	 4.010577 	 297.647000 	 44.546000 	 -2933249.424927 	 4.026935 	 297.647000 	 44.546000 	 -2933249.424927 	 108.058921 	 108.222413 	 295.349595
