IMPEDANCE MEASUREMENT 
1/16/2024-10:12 AM
Chamber temperature (K): 293.58
Chamber pressure (MPa): 20204.82
Description: 	NaCl_0.05mol_kg_0.01V
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	119.6757507324219	-0.1794853210449
1	857753.8749999999980	119.5741043090820	-0.2429799884558
2	735644.4999999999990	119.4726181030273	-0.2420878112316
3	630996.1249999999990	119.2849502563477	-0.3089112937450
4	541230.4999999999990	119.2043457031250	-0.3296345472336
5	464238.2812499999990	119.1866912841797	-0.3377946913242
6	398144.5312499999990	119.1505126953125	-0.3857202231884
7	341542.9687499999990	119.0814514160156	-0.4397473037243
8	292910.1562500000000	119.0156555175781	-0.4970880448818
9	251191.4062500000000	119.0066299438477	-0.5864661335945
10	215449.2187500000000	119.0557022094727	-0.6736862063408
11	184863.2812500000000	119.0931396484375	-0.7535886764526
12	158496.0937500000000	119.1415786743164	-0.8694995641708
13	135996.0937500000000	119.1901321411133	-1.0281310081482
14	116660.1562500000000	119.2658996582031	-1.1582565307617
15	100019.5312500000000	119.3224258422852	-1.2940512895584
16	85839.8437499999999	119.4440536499023	-1.4901299476624
17	73652.3437499999999	119.5776672363281	-1.7048405408859
18	63105.4687499999999	119.7157440185547	-1.9418773651123
19	54199.2187499999999	119.8870086669922	-2.2096865177155
20	46464.8437499999999	120.1015777587891	-2.5093302726746
21	39902.3437499999999	120.3199157714844	-2.8488471508026
22	34160.1562500000000	120.5984115600586	-3.2251434326172
23	29355.4687500000000	120.9162216186523	-3.6560409069061
24	25136.7187500000000	121.2780838012695	-4.1576910018921
25	21621.0937500000000	121.7261657714844	-4.6871004104614
26	18574.2187500000000	122.2390060424805	-5.2886414527893
27	15878.9062500000000	122.8730621337891	-5.9967832565308
28	13652.3437500000000	123.6056594848633	-6.7535657882690
29	11660.1562500000000	124.4941711425781	-7.6327362060547
30	10019.5312500000000	125.5163192749023	-8.5756082534790
31	8613.2812500000000	126.7494354248047	-9.6040220260620
32	7349.5371093750000	128.2581024169922	-10.7950792312622
33	6307.8706054687500	129.9686279296875	-12.0403528213501
34	5381.9443359375000	132.0828704833984	-13.4539642333984
35	4630.3354492187500	134.4273834228516	-14.8905458450317
36	3993.0556640625000	137.1180419921875	-16.4202365875244
37	3414.3518066406250	140.4142303466797	-18.1432361602783
38	2915.3962402343750	144.2990112304687	-19.9968585968018
39	2519.5312500000000	148.5085144042969	-21.8094463348389
40	2141.2036132812500	153.8499908447266	-23.9399547576904
41	1841.5178222656250	159.5785827636719	-26.0179138183594
42	1580.6685791015625	166.1464538574219	-28.2163982391357
43	1362.6453857421875	173.6162567138672	-30.4473743438721
44	1171.8750000000000	182.3491058349609	-32.7878456115723
45	1000.7022705078125	192.9468383789062	-35.3165435791016
46	857.4694824218750	204.9731903076172	-37.8531036376953
47	734.1867675781250	219.0144195556641	-40.4490623474121
48	628.8109741210937	235.3255157470703	-43.0477676391602
49	542.7631835937500	253.2706756591797	-45.5128974914551
50	463.5989074707031	275.5475158691406	-48.1321754455566
51	400.1524353027344	299.6814880371094	-50.5177497863770
52	341.7968750000000	329.6637573242187	-52.9928092956543
53	292.9687500000000	363.7394409179687	-55.3147506713867
54	252.0161285400391	402.2446594238281	-57.4598884582520
55	215.0229339599609	449.2455444335937	-59.5867424011230
56	184.5472412109375	501.6089782714844	-61.4968261718750
57	158.0056152343750	563.0057373046875	-63.2710342407227
58	136.5291290283203	629.2669067382812	-64.8128051757812
59	116.2190093994141	713.3855590820312	-66.3616333007812
60	99.7340393066406	805.3998413085937	-67.6869201660156
