IMPEDANCE MEASUREMENT 
1/16/2024-10:51 AM
Chamber temperature (K): 293.80
Chamber pressure (MPa): 20250.01
Description: 	NaCl_4mol_kg_0.001V
Driving voltage (V): 1.000E-3
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3.1095314025879	35.4877967834473
1	857753.8749999999980	2.9007561206818	31.2463302612305
2	735644.4999999999990	2.7407207489014	26.7121982574463
3	630996.1249999999990	2.6353700160980	22.0486259460449
4	541230.4999999999990	2.5280740261078	17.5996627807617
5	464238.2812499999990	2.4662673473358	13.0911731719971
6	398144.5312499999990	2.4308903217316	8.7447462081909
7	341542.9687499999990	2.4126682281494	4.4115643501282
8	292910.1562500000000	2.4142038822174	0.2929940223694
9	251191.4062500000000	2.4336204528809	-3.8507306575775
10	215449.2187500000000	2.4650390148163	-7.7832078933716
11	184863.2812500000000	2.5160293579102	-11.6812229156494
12	158496.0937500000000	2.5854253768921	-15.5036191940308
13	135996.0937500000000	2.6729109287262	-19.3458843231201
14	116660.1562500000000	2.7774288654327	-23.0936164855957
15	100019.5312500000000	2.9085738658905	-26.8618030548096
16	85839.8437499999999	3.0724914073944	-30.5055980682373
17	73652.3437499999999	3.2635166645050	-34.0934066772461
18	63105.4687499999999	3.4951272010803	-37.6802558898926
19	54199.2187499999999	3.7671139240265	-41.0481758117676
20	46464.8437499999999	4.0854554176331	-44.3148345947266
21	39902.3437499999999	4.4650683403015	-47.3097763061523
22	34160.1562500000000	4.9004483222961	-50.1366958618164
23	29355.4687500000000	5.4130878448486	-52.7598915100098
24	25136.7187500000000	6.0002498626709	-55.2574729919434
25	21621.0937500000000	6.6609168052673	-57.5324478149414
26	18574.2187500000000	7.4276070594788	-59.5158233642578
27	15878.9062500000000	8.3150033950806	-61.4690666198730
28	13652.3437500000000	9.3354530334473	-63.2057952880859
29	11660.1562500000000	10.5136356353760	-64.8330535888672
30	10019.5312500000000	11.8195600509644	-66.2219085693359
31	8613.2812500000000	13.3811407089233	-67.5612030029297
32	7349.5371093750000	15.1248226165771	-68.8253784179687
33	6307.8706054687500	17.1794319152832	-69.9533081054687
34	5381.9443359375000	19.5397052764893	-71.0318450927734
35	4630.3354492187500	22.1421833038330	-71.8559036254883
36	3993.0556640625000	25.0490932464600	-72.7051849365234
37	3414.3518066406250	28.6226444244385	-73.4496002197266
38	2915.3962402343750	32.7165069580078	-74.1173782348633
39	2519.5312500000000	37.0447616577148	-74.7201843261719
40	2141.2036132812500	42.6952781677246	-75.2067184448242
41	1841.5178222656250	48.5925254821777	-75.6431121826172
42	1580.6685791015625	55.3360710144043	-76.0215454101562
43	1362.6453857421875	63.0100364685059	-76.5513992309570
44	1171.8750000000000	71.8163070678711	-76.7582473754883
45	1000.7022705078125	81.9203872680664	-76.9171295166016
46	857.4694824218750	94.6763153076172	-77.3754501342773
47	734.1867675781250	108.1439208984375	-77.3625030517578
48	628.8109741210937	123.8945693969727	-77.3650054931641
49	542.7631835937500	140.6430816650391	-77.6969299316406
50	463.5989074707031	161.5953979492187	-77.7699279785156
51	400.1524353027344	183.8315277099609	-77.8151550292969
52	341.7968750000000	211.0530090332031	-77.8225326538086
53	292.9687500000000	241.1781463623047	-77.8319931030273
54	252.0161285400391	274.9723510742187	-77.8128204345703
55	215.0229339599609	316.1471557617187	-77.8422775268555
56	184.5472412109375	360.5780639648437	-77.7514801025391
57	158.0056152343750	412.6159973144531	-77.7497482299805
58	136.5291290283203	467.8747253417969	-77.7395477294922
59	116.2190093994141	537.9184570312500	-77.6364288330078
60	99.7340393066406	613.9457397460937	-77.6190643310547
