Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:06:48.241 AM 1/16/2024 	 20212.285304 	 20214.210916 	 293.559492 	 293.808659 	 293.987961 	 293.896309 	 -65511.032765 	 294.203320
10:06:58.741 AM 1/16/2024 	 20212.492644 	 20214.739050 	 293.559646 	 293.809425 	 293.998993 	 293.874742 	 -65511.300704 	 294.150129
10:07:08.741 AM 1/16/2024 	 20212.498427 	 20214.118343 	 293.561177 	 293.811263 	 294.001507 	 293.941040 	 -65511.451423 	 294.240467
10:07:19.241 AM 1/16/2024 	 20213.126598 	 20214.372181 	 293.560564 	 293.813255 	 294.014998 	 293.884608 	 -65511.401183 	 294.183600
10:07:29.241 AM 1/16/2024 	 20213.367153 	 20214.225647 	 293.559952 	 293.813102 	 293.994176 	 293.920952 	 -65511.278376 	 294.193951
10:07:39.241 AM 1/16/2024 	 20212.990543 	 20213.965099 	 293.561330 	 293.816472 	 294.016406 	 293.914838 	 -65510.943453 	 294.217115
10:07:49.742 AM 1/16/2024 	 20213.366131 	 20214.583067 	 293.562096 	 293.816013 	 294.006662 	 293.877688 	 -65510.530397 	 294.167712
10:08:00.241 AM 1/16/2024 	 20213.482265 	 20213.264563 	 293.561789 	 293.819076 	 294.025589 	 293.860238 	 -65509.855029 	 294.120994
10:08:10.242 AM 1/16/2024 	 20211.717346 	 20213.285045 	 293.561636 	 293.817391 	 294.003686 	 293.971091 	 -65509.129477 	 294.198734
10:08:20.742 AM 1/16/2024 	 20212.329436 	 20212.472932 	 293.561177 	 293.820455 	 294.030963 	 293.919476 	 -65508.303525 	 294.186810
10:08:31.242 AM 1/16/2024 	 20212.026103 	 20212.400026 	 293.563321 	 293.822753 	 294.027940 	 293.924012 	 -65507.460899 	 294.229589
10:08:41.242 AM 1/16/2024 	 20211.929310 	 20212.752026 	 293.563780 	 293.823519 	 294.008408 	 294.015966 	 -65506.623921 	 294.263417
10:08:51.242 AM 1/16/2024 	 20211.249138 	 20212.109939 	 293.563168 	 293.824285 	 294.009383 	 293.939940 	 -65505.720061 	 294.178931
10:09:01.742 AM 1/16/2024 	 20211.019924 	 20212.488828 	 293.563168 	 293.827196 	 294.016590 	 293.945259 	 -65504.838593 	 294.200302
10:09:11.742 AM 1/16/2024 	 20211.065954 	 20211.621185 	 293.565159 	 293.828881 	 294.025327 	 293.913840 	 -65503.756388 	 294.169372
10:09:22.242 AM 1/16/2024 	 20210.114630 	 20212.184960 	 293.564852 	 293.830260 	 294.024886 	 293.846776 	 -65502.852777 	 294.151458
10:09:32.742 AM 1/16/2024 	 20210.139222 	 20211.476424 	 293.566231 	 293.831792 	 294.027427 	 293.981134 	 -65501.871166 	 294.209717
10:09:42.743 AM 1/16/2024 	 20209.686366 	 20210.846051 	 293.565618 	 293.833324 	 294.029231 	 293.933808 	 -65500.939836 	 294.192634
10:09:53.242 AM 1/16/2024 	 20209.054111 	 20210.678368 	 293.566077 	 293.834396 	 294.019010 	 293.973662 	 -65500.069926 	 294.195165
10:10:03.243 AM 1/16/2024 	 20209.747115 	 20210.664159 	 293.567456 	 293.835928 	 294.038408 	 293.888653 	 -65499.166636 	 294.153171
10:10:13.743 AM 1/16/2024 	 20208.681183 	 20210.355014 	 293.567609 	 293.837001 	 294.014822 	 293.938294 	 -65498.263425 	 294.174453
10:10:23.743 AM 1/16/2024 	 20208.713046 	 20209.271830 	 293.567915 	 293.837767 	 294.031377 	 293.901465 	 -65497.471785 	 294.150392
10:10:34.243 AM 1/16/2024 	 20208.159577 	 20209.717031 	 293.567149 	 293.840524 	 294.015396 	 294.026260 	 -65496.579869 	 294.308639
10:10:44.243 AM 1/16/2024 	 20208.000478 	 20209.882176 	 293.568528 	 293.842210 	 294.031376 	 294.026653 	 -65495.877539 	 294.280707
10:10:54.244 AM 1/16/2024 	 20207.085766 	 20208.716074 	 293.567456 	 293.845733 	 294.035224 	 294.018220 	 -65495.097229 	 294.250562
10:11:04.744 AM 1/16/2024 	 20208.108762 	 20208.899970 	 293.569600 	 293.847725 	 294.026987 	 293.976443 	 -65494.250100 	 294.229108
10:11:15.244 AM 1/16/2024 	 20207.652932 	 20208.681112 	 293.568528 	 293.848491 	 294.014098 	 293.967332 	 -65493.648235 	 294.231333
10:11:25.743 AM 1/16/2024 	 20207.679720 	 20208.054056 	 293.567915 	 293.849104 	 294.032969 	 293.987623 	 -65492.845803 	 294.247363
10:11:35.744 AM 1/16/2024 	 20206.991229 	 20208.161477 	 293.570059 	 293.851555 	 294.023249 	 293.997741 	 -65492.210588 	 294.236231
10:11:45.744 AM 1/16/2024 	 20207.305792 	 20208.161761 	 293.570212 	 293.852321 	 294.021489 	 294.070611 	 -65491.558697 	 294.300095
10:11:55.744 AM 1/16/2024 	 20206.755608 	 20208.326524 	 293.570518 	 293.854312 	 294.039799 	 294.065777 	 -65490.962559 	 294.321698
