Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:06:48.241 AM 1/16/2024 	 4.004848 	 297.647000 	 44.546000 	 -2931513.448801 	 4.028891 	 297.647000 	 44.546000 	 -2931513.448801 	 107.992274 	 108.081065 	 295.157107
10:06:58.741 AM 1/16/2024 	 4.006298 	 297.647000 	 44.546000 	 -2931525.384433 	 4.034059 	 297.647000 	 44.546000 	 -2931525.384433 	 107.992333 	 108.081362 	 295.158217
10:07:08.741 AM 1/16/2024 	 4.005828 	 297.647000 	 44.546000 	 -2931532.098362 	 4.026328 	 297.647000 	 44.546000 	 -2931532.098362 	 107.992929 	 108.082077 	 295.158841
10:07:19.241 AM 1/16/2024 	 4.013295 	 297.647000 	 44.546000 	 -2931529.860375 	 4.029449 	 297.647000 	 44.546000 	 -2931529.860375 	 107.992691 	 108.082851 	 295.158633
10:07:29.241 AM 1/16/2024 	 4.016523 	 297.647000 	 44.546000 	 -2931524.389786 	 4.028187 	 297.647000 	 44.546000 	 -2931524.389786 	 107.992453 	 108.082792 	 295.158124
10:07:39.241 AM 1/16/2024 	 4.013347 	 297.647000 	 44.546000 	 -2931509.470325 	 4.026360 	 297.647000 	 44.546000 	 -2931509.470325 	 107.992989 	 108.084102 	 295.156737
10:07:49.742 AM 1/16/2024 	 4.019176 	 297.647000 	 44.546000 	 -2931491.070320 	 4.034993 	 297.647000 	 44.546000 	 -2931491.070320 	 107.993286 	 108.083924 	 295.155026
10:08:00.241 AM 1/16/2024 	 4.022929 	 297.647000 	 44.546000 	 -2931460.985405 	 4.022114 	 297.647000 	 44.546000 	 -2931460.985405 	 107.993167 	 108.085115 	 295.152228
10:08:10.242 AM 1/16/2024 	 4.005040 	 297.647000 	 44.546000 	 -2931428.664950 	 4.024935 	 297.647000 	 44.546000 	 -2931428.664950 	 107.993108 	 108.084460 	 295.149223
10:08:20.742 AM 1/16/2024 	 4.015084 	 297.647000 	 44.546000 	 -2931391.872108 	 4.018462 	 297.647000 	 44.546000 	 -2931391.872108 	 107.992929 	 108.085651 	 295.145801
10:08:31.242 AM 1/16/2024 	 4.014567 	 297.647000 	 44.546000 	 -2931354.336483 	 4.020617 	 297.647000 	 44.546000 	 -2931354.336483 	 107.993763 	 108.086545 	 295.142310
10:08:41.242 AM 1/16/2024 	 4.016426 	 297.647000 	 44.546000 	 -2931317.052456 	 4.027676 	 297.647000 	 44.546000 	 -2931317.052456 	 107.993942 	 108.086842 	 295.138843
10:08:51.242 AM 1/16/2024 	 4.011756 	 297.647000 	 44.546000 	 -2931276.789084 	 4.023452 	 297.647000 	 44.546000 	 -2931276.789084 	 107.993703 	 108.087140 	 295.135098
10:09:01.742 AM 1/16/2024 	 4.012238 	 297.647000 	 44.546000 	 -2931237.523247 	 4.030982 	 297.647000 	 44.546000 	 -2931237.523247 	 107.993703 	 108.088272 	 295.131447
10:09:11.742 AM 1/16/2024 	 4.016628 	 297.647000 	 44.546000 	 -2931189.315323 	 4.024777 	 297.647000 	 44.546000 	 -2931189.315323 	 107.994478 	 108.088927 	 295.126963
10:09:22.242 AM 1/16/2024 	 4.008811 	 297.647000 	 44.546000 	 -2931149.063072 	 4.034529 	 297.647000 	 44.546000 	 -2931149.063072 	 107.994358 	 108.089463 	 295.123219
10:09:32.742 AM 1/16/2024 	 4.012594 	 297.647000 	 44.546000 	 -2931105.336201 	 4.029811 	 297.647000 	 44.546000 	 -2931105.336201 	 107.994894 	 108.090059 	 295.119152
10:09:42.743 AM 1/16/2024 	 4.010659 	 297.647000 	 44.546000 	 -2931063.849185 	 4.025820 	 297.647000 	 44.546000 	 -2931063.849185 	 107.994656 	 108.090655 	 295.115294
10:09:53.242 AM 1/16/2024 	 4.006424 	 297.647000 	 44.546000 	 -2931025.098208 	 4.026973 	 297.647000 	 44.546000 	 -2931025.098208 	 107.994835 	 108.091072 	 295.111689
10:10:03.243 AM 1/16/2024 	 4.017681 	 297.647000 	 44.546000 	 -2930984.860243 	 4.030024 	 297.647000 	 44.546000 	 -2930984.860243 	 107.995371 	 108.091667 	 295.107947
10:10:13.743 AM 1/16/2024 	 4.008534 	 297.647000 	 44.546000 	 -2930944.625777 	 4.029656 	 297.647000 	 44.546000 	 -2930944.625777 	 107.995431 	 108.092084 	 295.104204
10:10:23.743 AM 1/16/2024 	 4.011724 	 297.647000 	 44.546000 	 -2930909.361406 	 4.019919 	 297.647000 	 44.546000 	 -2930909.361406 	 107.995550 	 108.092382 	 295.100924
10:10:34.243 AM 1/16/2024 	 4.008482 	 297.647000 	 44.546000 	 -2930869.630122 	 4.028255 	 297.647000 	 44.546000 	 -2930869.630122 	 107.995252 	 108.093454 	 295.097228
10:10:44.243 AM 1/16/2024 	 4.009138 	 297.647000 	 44.546000 	 -2930838.344136 	 4.032669 	 297.647000 	 44.546000 	 -2930838.344136 	 107.995788 	 108.094109 	 295.094318
10:10:54.244 AM 1/16/2024 	 4.001307 	 297.647000 	 44.546000 	 -2930803.584409 	 4.021930 	 297.647000 	 44.546000 	 -2930803.584409 	 107.995371 	 108.095479 	 295.091085
10:11:04.744 AM 1/16/2024 	 4.016193 	 297.647000 	 44.546000 	 -2930765.848232 	 4.027078 	 297.647000 	 44.546000 	 -2930765.848232 	 107.996205 	 108.096254 	 295.087574
10:11:15.244 AM 1/16/2024 	 4.013049 	 297.647000 	 44.546000 	 -2930739.037554 	 4.026684 	 297.647000 	 44.546000 	 -2930739.037554 	 107.995788 	 108.096552 	 295.085080
10:11:25.743 AM 1/16/2024 	 4.016219 	 297.647000 	 44.546000 	 -2930703.292397 	 4.022272 	 297.647000 	 44.546000 	 -2930703.292397 	 107.995550 	 108.096790 	 295.081755
10:11:35.744 AM 1/16/2024 	 4.010495 	 297.647000 	 44.546000 	 -2930674.996105 	 4.025779 	 297.647000 	 44.546000 	 -2930674.996105 	 107.996383 	 108.097743 	 295.079123
10:11:45.744 AM 1/16/2024 	 4.016467 	 297.647000 	 44.546000 	 -2930645.956971 	 4.028103 	 297.647000 	 44.546000 	 -2930645.956971 	 107.996443 	 108.098041 	 295.076421
10:11:55.744 AM 1/16/2024 	 4.012209 	 297.647000 	 44.546000 	 -2930619.401408 	 4.032135 	 297.647000 	 44.546000 	 -2930619.401408 	 107.996562 	 108.098815 	 295.073951
