Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:40:01.163 AM 1/16/2024 	 20231.817057 	 20233.113292 	 293.734842 	 294.311035 	 294.013845 	 294.649212 	 -65572.187631 	 294.859081
10:40:11.663 AM 1/16/2024 	 20231.242447 	 20232.928127 	 293.735608 	 294.312720 	 294.013383 	 294.710542 	 -65572.417996 	 294.923683
10:40:22.163 AM 1/16/2024 	 20231.151391 	 20232.919479 	 293.734536 	 294.315938 	 294.023661 	 294.921213 	 -65572.732651 	 295.077708
10:40:32.163 AM 1/16/2024 	 20231.458337 	 20233.430451 	 293.736833 	 294.318083 	 294.007349 	 294.729986 	 -65573.013600 	 294.907289
10:40:42.663 AM 1/16/2024 	 20232.043385 	 20232.871714 	 293.736527 	 294.318083 	 294.006903 	 294.523389 	 -65573.361988 	 294.705015
10:40:53.163 AM 1/16/2024 	 20231.872735 	 20233.619866 	 293.737599 	 294.319002 	 293.994432 	 294.686431 	 -65573.772202 	 294.946728
10:41:03.163 AM 1/16/2024 	 20232.113377 	 20233.835989 	 293.737292 	 294.321300 	 294.021670 	 294.740512 	 -65574.075658 	 294.934783
10:41:13.163 AM 1/16/2024 	 20232.773882 	 20233.265136 	 293.738211 	 294.323905 	 294.003770 	 294.759427 	 -65574.429702 	 294.909847
10:41:23.663 AM 1/16/2024 	 20231.949351 	 20233.636027 	 293.738824 	 294.325744 	 294.013624 	 294.816422 	 -65574.755658 	 294.909309
10:41:34.163 AM 1/16/2024 	 20232.510322 	 20232.664050 	 293.738824 	 294.328502 	 294.016585 	 294.709966 	 -65575.014182 	 294.903307
10:41:44.164 AM 1/16/2024 	 20232.231904 	 20232.631082 	 293.740662 	 294.330494 	 293.996732 	 294.694388 	 -65575.238991 	 294.889150
10:41:54.164 AM 1/16/2024 	 20232.850782 	 20233.634951 	 293.738977 	 294.330034 	 294.017148 	 294.795419 	 -65575.491906 	 294.989196
10:42:04.164 AM 1/16/2024 	 20233.032383 	 20234.126799 	 293.740202 	 294.332486 	 294.000988 	 294.689675 	 -65575.581833 	 294.908955
10:42:14.164 AM 1/16/2024 	 20232.445775 	 20233.245710 	 293.743265 	 294.336163 	 294.018941 	 294.793437 	 -65575.924688 	 295.008898
10:42:24.663 AM 1/16/2024 	 20232.757030 	 20234.043922 	 293.745715 	 294.338461 	 294.023682 	 295.022584 	 -65576.042722 	 295.046622
10:42:35.164 AM 1/16/2024 	 20232.372106 	 20233.434581 	 293.747247 	 294.340453 	 294.029530 	 294.756849 	 -65576.200104 	 294.893125
10:42:45.164 AM 1/16/2024 	 20233.237401 	 20234.190219 	 293.749391 	 294.342292 	 293.998534 	 295.017287 	 -65576.357487 	 295.098353
10:42:55.664 AM 1/16/2024 	 20233.001652 	 20233.530459 	 293.751994 	 294.345510 	 293.989925 	 294.918658 	 -65576.559842 	 295.105787
10:43:06.164 AM 1/16/2024 	 20233.601054 	 20233.931215 	 293.754445 	 294.346123 	 294.014499 	 294.830027 	 -65576.790305 	 294.933755
10:43:16.664 AM 1/16/2024 	 20233.433744 	 20233.810245 	 293.756283 	 294.348727 	 294.019588 	 294.820962 	 -65576.992668 	 295.003416
10:43:27.164 AM 1/16/2024 	 20234.180728 	 20233.689939 	 293.756742 	 294.349953 	 294.010262 	 294.784772 	 -65577.363677 	 294.946498
10:43:37.165 AM 1/16/2024 	 20234.073157 	 20233.908573 	 293.757661 	 294.350566 	 293.999425 	 294.923425 	 -65577.712212 	 295.050227
10:43:47.664 AM 1/16/2024 	 20233.668540 	 20234.465104 	 293.758886 	 294.352711 	 294.011501 	 295.133438 	 -65578.004541 	 295.370410
10:43:57.665 AM 1/16/2024 	 20233.414262 	 20233.994087 	 293.759805 	 294.355316 	 294.037490 	 294.984043 	 -65578.235037 	 295.136747
10:44:08.164 AM 1/16/2024 	 20233.302647 	 20234.583674 	 293.761183 	 294.359147 	 294.018851 	 295.404113 	 -65578.752267 	 295.319332
10:44:18.165 AM 1/16/2024 	 20234.072338 	 20235.281759 	 293.763634 	 294.362977 	 294.030488 	 295.256978 	 -65579.280768 	 295.204682
10:44:28.165 AM 1/16/2024 	 20234.228674 	 20235.037828 	 293.763634 	 294.368340 	 294.002587 	 295.764532 	 -65579.843033 	 295.820530
10:44:38.664 AM 1/16/2024 	 20234.470714 	 20235.655504 	 293.764400 	 294.373856 	 294.010656 	 295.429380 	 -65580.422197 	 295.829038
10:44:49.165 AM 1/16/2024 	 20233.501789 	 20235.689279 	 293.765472 	 294.380138 	 294.012933 	 295.429296 	 -65581.085747 	 295.900000
10:44:59.165 AM 1/16/2024 	 20234.711531 	 20235.620332 	 293.766850 	 294.385501 	 294.008411 	 295.413014 	 -65581.704348 	 295.893144
10:45:09.665 AM 1/16/2024 	 20234.611133 	 20235.965681 	 293.767156 	 294.389025 	 294.016853 	 295.515140 	 -65582.373605 	 295.920841
10:45:20.165 AM 1/16/2024 	 20234.926179 	 20234.903027 	 293.768688 	 294.390864 	 294.007795 	 295.545661 	 -65583.037280 	 295.894882
10:45:30.165 AM 1/16/2024 	 20235.330003 	 20236.228716 	 293.768994 	 294.393162 	 294.010755 	 295.537783 	 -65583.751623 	 295.863956
10:45:40.665 AM 1/16/2024 	 20235.303398 	 20236.366615 	 293.769147 	 294.394082 	 294.014101 	 295.534526 	 -65584.331008 	 295.832470
10:45:50.666 AM 1/16/2024 	 20235.392407 	 20236.674658 	 293.768688 	 294.396074 	 294.024625 	 295.542662 	 -65584.932929 	 295.789310
