Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:49:14.010 AM 1/16/2024 	 4.013245 	 297.647000 	 44.546000 	 -2936302.253173 	 4.024602 	 297.647000 	 44.546000 	 -2936302.253173 	 108.083758 	 108.331835 	 295.613233
10:49:24.510 AM 1/16/2024 	 4.005694 	 297.647000 	 44.546000 	 -2936388.213782 	 4.024047 	 297.647000 	 44.546000 	 -2936388.213782 	 108.083103 	 108.332669 	 295.621208
10:49:34.510 AM 1/16/2024 	 4.010767 	 297.647000 	 44.546000 	 -2936459.105786 	 4.013819 	 297.647000 	 44.546000 	 -2936459.105786 	 108.083341 	 108.333265 	 295.627785
10:49:45.010 AM 1/16/2024 	 4.006144 	 297.647000 	 44.546000 	 -2936525.231326 	 4.023773 	 297.647000 	 44.546000 	 -2936525.231326 	 108.083639 	 108.334396 	 295.633920
10:49:55.011 AM 1/16/2024 	 4.007895 	 297.647000 	 44.546000 	 -2936582.061706 	 4.034798 	 297.647000 	 44.546000 	 -2936582.061706 	 108.084830 	 108.336302 	 295.639192
10:50:05.511 AM 1/16/2024 	 4.013008 	 297.647000 	 44.546000 	 -2936633.366018 	 4.026088 	 297.647000 	 44.546000 	 -2936633.366018 	 108.085902 	 108.337315 	 295.643951
10:50:16.011 AM 1/16/2024 	 4.013633 	 297.647000 	 44.546000 	 -2936675.872499 	 4.021571 	 297.647000 	 44.546000 	 -2936675.872499 	 108.086021 	 108.337494 	 295.647894
10:50:26.511 AM 1/16/2024 	 4.014115 	 297.647000 	 44.546000 	 -2936713.603471 	 4.037843 	 297.647000 	 44.546000 	 -2936713.603471 	 108.086021 	 108.338685 	 295.651394
10:50:37.011 AM 1/16/2024 	 4.008412 	 297.647000 	 44.546000 	 -2936741.526404 	 4.020354 	 297.647000 	 44.546000 	 -2936741.526404 	 108.085009 	 108.339281 	 295.653984
10:50:47.011 AM 1/16/2024 	 4.020693 	 297.647000 	 44.546000 	 -2936765.677350 	 4.014903 	 297.647000 	 44.546000 	 -2936765.677350 	 108.085366 	 108.340651 	 295.656225
10:50:57.511 AM 1/16/2024 	 4.001570 	 297.647000 	 44.546000 	 -2936784.546169 	 4.018833 	 297.647000 	 44.546000 	 -2936784.546169 	 108.085783 	 108.341187 	 295.657975
10:51:07.511 AM 1/16/2024 	 4.018793 	 297.647000 	 44.546000 	 -2936802.912570 	 4.024576 	 297.647000 	 44.546000 	 -2936802.912570 	 108.086081 	 108.342438 	 295.659678
10:51:17.511 AM 1/16/2024 	 4.013026 	 297.647000 	 44.546000 	 -2936811.970246 	 4.022730 	 297.647000 	 44.546000 	 -2936811.970246 	 108.086438 	 108.342616 	 295.660519
10:51:28.011 AM 1/16/2024 	 4.014751 	 297.647000 	 44.546000 	 -2936820.524884 	 4.015834 	 297.647000 	 44.546000 	 -2936820.524884 	 108.086974 	 108.343272 	 295.661312
10:51:38.012 AM 1/16/2024 	 4.015127 	 297.647000 	 44.546000 	 -2936828.828069 	 4.028719 	 297.647000 	 44.546000 	 -2936828.828069 	 108.087510 	 108.343927 	 295.662082
10:51:48.511 AM 1/16/2024 	 4.015498 	 297.647000 	 44.546000 	 -2936832.602294 	 4.023770 	 297.647000 	 44.546000 	 -2936832.602294 	 108.087927 	 108.343927 	 295.662432
10:51:58.512 AM 1/16/2024 	 4.010516 	 297.647000 	 44.546000 	 -2936831.847446 	 4.033475 	 297.647000 	 44.546000 	 -2936831.847446 	 108.088582 	 108.344403 	 295.662362
10:52:08.512 AM 1/16/2024 	 4.002443 	 297.647000 	 44.546000 	 -2936831.092600 	 4.034950 	 297.647000 	 44.546000 	 -2936831.092600 	 108.089357 	 108.345178 	 295.662292
10:52:19.011 AM 1/16/2024 	 4.003642 	 297.647000 	 44.546000 	 -2936830.337755 	 4.022830 	 297.647000 	 44.546000 	 -2936830.337755 	 108.089714 	 108.345595 	 295.662222
10:52:29.512 AM 1/16/2024 	 4.012039 	 297.647000 	 44.546000 	 -2936830.589370 	 4.015414 	 297.647000 	 44.546000 	 -2936830.589370 	 108.090846 	 108.345773 	 295.662246
10:52:39.512 AM 1/16/2024 	 4.021344 	 297.647000 	 44.546000 	 -2936828.828069 	 4.031501 	 297.647000 	 44.546000 	 -2936828.828069 	 108.091501 	 108.346667 	 295.662082
10:52:50.012 AM 1/16/2024 	 4.017868 	 297.647000 	 44.546000 	 -2936823.544206 	 4.030623 	 297.647000 	 44.546000 	 -2936823.544206 	 108.092394 	 108.348573 	 295.661592
10:53:00.512 AM 1/16/2024 	 4.012906 	 297.647000 	 44.546000 	 -2936825.808711 	 4.024190 	 297.647000 	 44.546000 	 -2936825.808711 	 108.092752 	 108.348990 	 295.661802
