IMPEDANCE MEASUREMENT 
1/18/2024-12:19 PM
Chamber temperature (K): 293.97
Chamber pressure (MPa): 20245.73
Description: 	MgSO4_NaCl_50-50sat
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	7.1785717010498	24.9588966369629
1	857753.8749999999980	6.9565253257751	21.0687103271484
2	735644.4999999999990	6.7946615219116	17.3934059143066
3	630996.1249999999990	6.6813645362854	13.9516277313232
4	541230.4999999999990	6.6052727699280	10.7226791381836
5	464238.2812499999990	6.5639457702637	7.7239160537720
6	398144.5312499999990	6.5450973510742	4.8842501640320
7	341542.9687499999990	6.5491604804993	2.1837220191956
8	292910.1562500000000	6.5734992027283	-0.4063683152199
9	251191.4062500000000	6.6163911819458	-2.9149892330170
10	215449.2187500000000	6.6806893348694	-5.3824033737183
11	184863.2812500000000	6.7644529342651	-7.8161163330078
12	158496.0937500000000	6.8713140487671	-10.2747058868408
13	135996.0937500000000	7.0013685226440	-12.7383718490601
14	116660.1562500000000	7.1622171401978	-15.2692708969116
15	100019.5312500000000	7.3506965637207	-17.8309803009033
16	85839.8437499999999	7.5801749229431	-20.4582290649414
17	73652.3437499999999	7.8522639274597	-23.1424922943115
18	63105.4687499999999	8.1781635284424	-25.9039382934570
19	54199.2187499999999	8.5554857254028	-28.6619949340820
20	46464.8437499999999	9.0154027938843	-31.4747219085693
21	39902.3437499999999	9.5221252441406	-34.2789421081543
22	34160.1562500000000	10.1385288238525	-37.1284713745117
23	29355.4687500000000	10.8411645889282	-39.8950996398926
24	25136.7187500000000	11.6768407821655	-42.6701583862305
25	21621.0937500000000	12.6189479827881	-45.3209342956543
26	18574.2187500000000	13.7163057327271	-47.9078254699707
27	15878.9062500000000	15.0328807830811	-50.4833717346191
28	13652.3437500000000	16.5047092437744	-52.8348693847656
29	11660.1562500000000	18.2780666351318	-55.1188583374023
30	10019.5312500000000	20.2386493682861	-57.2274093627930
31	8613.2812500000000	22.4918308258057	-59.1953887939453
32	7349.5371093750000	25.2152576446533	-61.0911369323730
33	6307.8706054687500	28.2224597930908	-62.7801818847656
34	5381.9443359375000	31.8126869201660	-64.3849792480469
35	4630.3354492187500	35.7252006530762	-65.7687835693359
36	3993.0556640625000	40.1106262207031	-67.0196838378906
37	3414.3518066406250	45.4189262390137	-68.2317199707031
38	2915.3962402343750	51.5628738403320	-69.3451919555664
39	2519.5312500000000	58.0348548889160	-70.2779846191406
40	2141.2036132812500	66.3376846313477	-71.2168502807617
41	1841.5178222656250	75.1527404785156	-72.0110397338867
42	1580.6685791015625	85.3369903564453	-72.7573776245117
43	1362.6453857421875	96.6638641357422	-73.4019470214844
44	1171.8750000000000	109.7977600097656	-73.9918518066406
45	1000.7022705078125	125.5502090454102	-74.5511627197266
46	857.4694824218750	143.2405090332031	-75.0086441040039
47	734.1867675781250	163.6944732666016	-75.4389419555664
48	628.8109741210937	186.8739929199219	-75.8349227905273
49	542.7631835937500	212.3608093261719	-76.1526489257812
50	463.5989074707031	243.2180480957031	-76.4367294311523
51	400.1524353027344	276.2618103027344	-76.6729278564453
52	341.7968750000000	316.6689147949219	-76.8831024169922
53	292.9687500000000	361.9529113769531	-77.0651550292969
54	252.0161285400391	412.4178161621094	-77.2061614990234
55	215.0229339599609	473.2513427734375	-77.3395233154297
56	184.5472412109375	540.2973632812500	-77.4519805908203
57	158.0056152343750	618.1724853515625	-77.5460510253906
58	136.5291290283203	701.5923461914062	-77.6303253173828
59	116.2190093994141	806.8103637695312	-77.7148208618164
60	99.7340393066406	921.3265380859375	-77.7914733886719
