IMPEDANCE MEASUREMENT 
1/18/2024-12:05 PM
Chamber temperature (K): 293.90
Chamber pressure (MPa): 20244.96
Description: 	MgSO4_3mol_kg
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	12.4608259201050	12.4832859039307
1	857753.8749999999980	12.3517789840698	10.2562360763550
2	735644.4999999999990	12.2786483764648	8.2092332839966
3	630996.1249999999990	12.2362403869629	6.3415827751160
4	541230.4999999999990	12.2189493179321	4.6354370117187
5	464238.2812499999990	12.2136373519897	3.0254492759705
6	398144.5312499999990	12.2271661758423	1.5181919336319
7	341542.9687499999990	12.2556467056274	0.0812182649970
8	292910.1562500000000	12.2974672317505	-1.3163744211197
9	251191.4062500000000	12.3493614196777	-2.6858882904053
10	215449.2187500000000	12.4207601547241	-4.0798544883728
11	184863.2812500000000	12.5059127807617	-5.4744086265564
12	158496.0937500000000	12.6083364486694	-6.9377317428589
13	135996.0937500000000	12.7336626052856	-8.4449129104614
14	116660.1562500000000	12.8862657546997	-10.0388450622559
15	100019.5312500000000	13.0577297210693	-11.7222023010254
16	85839.8437499999999	13.2711772918701	-13.5254430770874
17	73652.3437499999999	13.5249071121216	-15.4322099685669
18	63105.4687499999999	13.8278732299805	-17.4889144897461
19	54199.2187499999999	14.1821813583374	-19.6328754425049
20	46464.8437499999999	14.6099290847778	-21.9312305450439
21	39902.3437499999999	15.1161193847656	-24.3217430114746
22	34160.1562500000000	15.7175998687744	-26.9103450775146
23	29355.4687500000000	16.4130916595459	-29.5167140960693
24	25136.7187500000000	17.2642478942871	-32.2407455444336
25	21621.0937500000000	18.2251338958740	-34.9769859313965
26	18574.2187500000000	19.3702182769775	-37.7753067016602
27	15878.9062500000000	20.7588176727295	-40.6894264221191
28	13652.3437500000000	22.3281517028809	-43.4498634338379
29	11660.1562500000000	24.2568569183350	-46.2840805053711
30	10019.5312500000000	26.4257259368896	-48.9076042175293
31	8613.2812500000000	28.9343814849854	-51.4222602844238
32	7349.5371093750000	32.0009613037109	-53.9075889587402
33	6307.8706054687500	35.4234199523926	-56.1181411743164
34	5381.9443359375000	39.5312347412109	-58.2687110900879
35	4630.3354492187500	44.0185050964355	-60.1262474060059
36	3993.0556640625000	49.0714302062988	-61.7971229553223
37	3414.3518066406250	55.1833992004395	-63.4095878601074
38	2915.3962402343750	62.2587966918945	-64.8755493164062
39	2519.5312500000000	69.7162780761719	-66.1096725463867
40	2141.2036132812500	79.2198028564453	-67.3467407226562
41	1841.5178222656250	89.2927398681641	-68.3992156982422
42	1580.6685791015625	100.9020996093750	-69.3631439208984
43	1362.6453857421875	113.7613296508789	-70.2251129150391
44	1171.8750000000000	128.6298522949219	-71.0254364013672
45	1000.7022705078125	146.4122924804687	-71.8049240112305
46	857.4694824218750	166.4731445312500	-72.4876937866211
47	734.1867675781250	189.2993774414062	-73.1360931396484
48	628.8109741210937	215.4960327148437	-73.7363967895508
49	542.7631835937500	244.0131988525391	-74.2670593261719
50	463.5989074707031	278.8675231933594	-74.7632522583008
51	400.1524353027344	316.1507568359375	-75.1852264404297
52	341.7968750000000	361.8976440429687	-75.5923156738281
53	292.9687500000000	413.2877197265625	-75.9415512084961
54	252.0161285400391	470.6544799804687	-76.2369995117187
55	215.0229339599609	540.0220947265625	-76.5006713867187
56	184.5472412109375	616.6418457031250	-76.7097473144531
57	158.0056152343750	705.7959594726562	-76.8901596069336
58	136.5291290283203	801.5936279296875	-77.0160369873047
59	116.2190093994141	922.4148559570312	-77.1101074218750
60	99.7340393066406	1053.8526611328125	-77.1504516601562
