Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:04:41.840 PM 1/18/2024 	 20245.659860 	 20246.567185 	 293.892741 	 294.248061 	 294.077084 	 294.389640 	 -65616.521268 	 294.676990
12:04:52.340 PM 1/18/2024 	 20245.567518 	 20245.485673 	 293.893354 	 294.247601 	 294.056259 	 294.427354 	 -65616.966898 	 294.692512
12:05:02.839 PM 1/18/2024 	 20244.825558 	 20247.000443 	 293.894579 	 294.250053 	 294.069754 	 294.415825 	 -65617.260235 	 294.682877
12:05:12.839 PM 1/18/2024 	 20244.916741 	 20246.685910 	 293.895345 	 294.250206 	 294.073387 	 294.340161 	 -65617.339212 	 294.572344
12:05:23.340 PM 1/18/2024 	 20246.246570 	 20246.198167 	 293.894273 	 294.252198 	 294.073159 	 294.431498 	 -65617.169977 	 294.705144
12:05:33.839 PM 1/18/2024 	 20245.099220 	 20246.952833 	 293.897336 	 294.254036 	 294.082493 	 294.446488 	 -65617.028950 	 294.708805
12:05:43.840 PM 1/18/2024 	 20244.640688 	 20246.938695 	 293.899020 	 294.256028 	 294.085809 	 294.339359 	 -65616.803310 	 294.613058
12:05:54.340 PM 1/18/2024 	 20246.063325 	 20246.796122 	 293.898867 	 294.255875 	 294.087012 	 294.405698 	 -65616.295640 	 294.646810
12:06:04.340 PM 1/18/2024 	 20245.023915 	 20245.930516 	 293.899327 	 294.257407 	 294.075557 	 294.456547 	 -65615.810556 	 294.727820
12:06:14.340 PM 1/18/2024 	 20244.744701 	 20245.674857 	 293.901318 	 294.258480 	 294.084603 	 294.443406 	 -65615.257814 	 294.727892
12:06:24.340 PM 1/18/2024 	 20244.361373 	 20245.932108 	 293.901471 	 294.261697 	 294.080191 	 294.405489 	 -65614.648705 	 294.683866
12:06:34.340 PM 1/18/2024 	 20244.382327 	 20246.487094 	 293.901318 	 294.263689 	 294.088443 	 294.451962 	 -65613.904287 	 294.731727
12:06:44.840 PM 1/18/2024 	 20244.106675 	 20245.608607 	 293.904534 	 294.264302 	 294.085547 	 294.452843 	 -65613.205034 	 294.744398
12:06:54.840 PM 1/18/2024 	 20243.551993 	 20244.590084 	 293.903615 	 294.264915 	 294.078685 	 294.473358 	 -65612.460721 	 294.735189
12:07:05.340 PM 1/18/2024 	 20243.848221 	 20244.469558 	 293.903462 	 294.266141 	 294.098843 	 294.448669 	 -65611.626253 	 294.709569
12:07:15.340 PM 1/18/2024 	 20243.427295 	 20244.840860 	 293.906372 	 294.267673 	 294.087166 	 294.440304 	 -65610.859504 	 294.679984
12:07:25.840 PM 1/18/2024 	 20243.129079 	 20245.029214 	 293.906219 	 294.268899 	 294.105313 	 294.462684 	 -65610.109725 	 294.733954
12:07:35.840 PM 1/18/2024 	 20242.770286 	 20243.541302 	 293.909129 	 294.271810 	 294.119845 	 294.527223 	 -65609.399458 	 294.787609
12:07:45.840 PM 1/18/2024 	 20243.637211 	 20244.104645 	 293.908516 	 294.274108 	 294.090737 	 294.549100 	 -65608.756878 	 294.787309
12:07:56.340 PM 1/18/2024 	 20242.916358 	 20244.306643 	 293.910507 	 294.276407 	 294.107182 	 294.571190 	 -65608.052341 	 294.807974
12:08:06.340 PM 1/18/2024 	 20242.513918 	 20242.995393 	 293.913417 	 294.278858 	 294.106171 	 294.539984 	 -65607.466203 	 294.800363
12:08:16.840 PM 1/18/2024 	 20242.398850 	 20243.936564 	 293.913417 	 294.280390 	 294.086246 	 294.548387 	 -65606.874463 	 294.807347
12:08:26.840 PM 1/18/2024 	 20242.033332 	 20243.856204 	 293.914336 	 294.283148 	 294.101549 	 294.590096 	 -65606.350379 	 294.851862
12:08:36.840 PM 1/18/2024 	 20242.239313 	 20243.388791 	 293.912498 	 294.285293 	 294.108940 	 294.601726 	 -65605.854497 	 294.829535
12:08:47.340 PM 1/18/2024 	 20240.880499 	 20242.829408 	 293.913417 	 294.289584 	 294.100706 	 294.638317 	 -65605.234677 	 295.913566
12:08:57.340 PM 1/18/2024 	 20241.993232 	 20242.442268 	 293.912958 	 294.290963 	 294.096425 	 294.676495 	 -65604.885341 	 294.943870
12:09:07.840 PM 1/18/2024 	 20241.186228 	 20242.616096 	 293.913570 	 294.294180 	 294.098570 	 295.142082 	 -65604.490943 	 294.989851
12:09:17.840 PM 1/18/2024 	 20241.278602 	 20241.582719 	 293.913723 	 294.299390 	 294.115536 	 298.495610 	 -65604.254312 	 298.639232
