Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:04:41.840 PM 1/18/2024 	 4.016164 	 297.647000 	 44.546000 	 -2936212.539661 	 4.028395 	 297.647000 	 44.546000 	 -2936212.539661 	 108.121876 	 108.251898 	 295.604909
12:04:52.340 PM 1/18/2024 	 4.013505 	 297.647000 	 44.546000 	 -2936232.390709 	 4.014272 	 297.647000 	 44.546000 	 -2936232.390709 	 108.122115 	 108.251720 	 295.606751
12:05:02.839 PM 1/18/2024 	 4.003852 	 297.647000 	 44.546000 	 -2936245.457694 	 4.030786 	 297.647000 	 44.546000 	 -2936245.457694 	 108.122591 	 108.252673 	 295.607964
12:05:12.839 PM 1/18/2024 	 4.004629 	 297.647000 	 44.546000 	 -2936248.975792 	 4.026859 	 297.647000 	 44.546000 	 -2936248.975792 	 108.122889 	 108.252732 	 295.608290
12:05:23.340 PM 1/18/2024 	 4.020658 	 297.647000 	 44.546000 	 -2936241.437043 	 4.021808 	 297.647000 	 44.546000 	 -2936241.437043 	 108.122472 	 108.253506 	 295.607590
12:05:33.839 PM 1/18/2024 	 4.007851 	 297.647000 	 44.546000 	 -2936235.154848 	 4.031058 	 297.647000 	 44.546000 	 -2936235.154848 	 108.123663 	 108.254221 	 295.607008
12:05:43.840 PM 1/18/2024 	 4.003336 	 297.647000 	 44.546000 	 -2936225.103515 	 4.031697 	 297.647000 	 44.546000 	 -2936225.103515 	 108.124318 	 108.254996 	 295.606075
12:05:54.340 PM 1/18/2024 	 4.021648 	 297.647000 	 44.546000 	 -2936202.488827 	 4.031852 	 297.647000 	 44.546000 	 -2936202.488827 	 108.124259 	 108.254936 	 295.603977
12:06:04.340 PM 1/18/2024 	 4.011319 	 297.647000 	 44.546000 	 -2936180.880285 	 4.023545 	 297.647000 	 44.546000 	 -2936180.880285 	 108.124438 	 108.255532 	 295.601972
12:06:14.340 PM 1/18/2024 	 4.010049 	 297.647000 	 44.546000 	 -2936156.257846 	 4.022549 	 297.647000 	 44.546000 	 -2936156.257846 	 108.125212 	 108.255949 	 295.599687
12:06:24.340 PM 1/18/2024 	 4.007772 	 297.647000 	 44.546000 	 -2936129.124453 	 4.027700 	 297.647000 	 44.546000 	 -2936129.124453 	 108.125271 	 108.257200 	 295.597170
12:06:34.340 PM 1/18/2024 	 4.010668 	 297.647000 	 44.546000 	 -2936095.963612 	 4.036783 	 297.647000 	 44.546000 	 -2936095.963612 	 108.125212 	 108.257974 	 295.594093
12:06:44.840 PM 1/18/2024 	 4.009961 	 297.647000 	 44.546000 	 -2936064.814715 	 4.029090 	 297.647000 	 44.546000 	 -2936064.814715 	 108.126463 	 108.258212 	 295.591202
12:06:54.840 PM 1/18/2024 	 4.006179 	 297.647000 	 44.546000 	 -2936031.658551 	 4.019933 	 297.647000 	 44.546000 	 -2936031.658551 	 108.126105 	 108.258450 	 295.588126
12:07:05.340 PM 1/18/2024 	 4.012588 	 297.647000 	 44.546000 	 -2935994.486325 	 4.021507 	 297.647000 	 44.546000 	 -2935994.486325 	 108.126046 	 108.258927 	 295.584677
12:07:15.340 PM 1/18/2024 	 4.010437 	 297.647000 	 44.546000 	 -2935960.330734 	 4.028541 	 297.647000 	 44.546000 	 -2935960.330734 	 108.127177 	 108.259523 	 295.581507
12:07:25.840 PM 1/18/2024 	 4.009649 	 297.647000 	 44.546000 	 -2935926.931050 	 4.033393 	 297.647000 	 44.546000 	 -2935926.931050 	 108.127118 	 108.259999 	 295.578408
12:07:35.840 PM 1/18/2024 	 4.008017 	 297.647000 	 44.546000 	 -2935895.291500 	 4.018675 	 297.647000 	 44.546000 	 -2935895.291500 	 108.128249 	 108.261131 	 295.575472
12:07:45.840 PM 1/18/2024 	 4.020364 	 297.647000 	 44.546000 	 -2935866.667131 	 4.027493 	 297.647000 	 44.546000 	 -2935866.667131 	 108.128011 	 108.262024 	 295.572815
12:07:56.340 PM 1/18/2024 	 4.014512 	 297.647000 	 44.546000 	 -2935835.282826 	 4.032342 	 297.647000 	 44.546000 	 -2935835.282826 	 108.128785 	 108.262918 	 295.569903
12:08:06.340 PM 1/18/2024 	 4.011931 	 297.647000 	 44.546000 	 -2935809.172730 	 4.019230 	 297.647000 	 44.546000 	 -2935809.172730 	 108.129917 	 108.263871 	 295.567480
12:08:16.840 PM 1/18/2024 	 4.012705 	 297.647000 	 44.546000 	 -2935782.813091 	 4.032246 	 297.647000 	 44.546000 	 -2935782.813091 	 108.129917 	 108.264467 	 295.565034
12:08:26.840 PM 1/18/2024 	 4.010332 	 297.647000 	 44.546000 	 -2935759.467254 	 4.033180 	 297.647000 	 44.546000 	 -2935759.467254 	 108.130274 	 108.265539 	 295.562867
12:08:36.840 PM 1/18/2024 	 4.014488 	 297.647000 	 44.546000 	 -2935737.377669 	 4.029528 	 297.647000 	 44.546000 	 -2935737.377669 	 108.129560 	 108.266373 	 295.560817
12:08:47.340 PM 1/18/2024 	 4.000934 	 297.647000 	 44.546000 	 -2935709.767191 	 4.025250 	 297.647000 	 44.546000 	 -2935709.767191 	 108.129917 	 108.268040 	 295.558255
12:08:57.340 PM 1/18/2024 	 4.015087 	 297.647000 	 44.546000 	 -2935694.205658 	 4.022006 	 297.647000 	 44.546000 	 -2935694.205658 	 108.129738 	 108.268577 	 295.556811
