Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:16:40.042 PM 1/18/2024 	 20242.859532 	 20243.186344 	 293.955688 	 294.401130 	 294.099306 	 294.246632 	 -65605.694804 	 294.473670
12:16:50.042 PM 1/18/2024 	 20242.637387 	 20243.242983 	 293.956301 	 294.402816 	 294.100161 	 294.486794 	 -65606.585341 	 294.593428
12:17:00.043 PM 1/18/2024 	 20242.424855 	 20243.269028 	 293.957526 	 294.405574 	 294.081593 	 294.652719 	 -65607.233565 	 294.764503
12:17:10.542 PM 1/18/2024 	 20242.793162 	 20243.725612 	 293.958139 	 294.409098 	 294.099334 	 294.804382 	 -65608.096048 	 294.882184
12:17:20.542 PM 1/18/2024 	 20243.125558 	 20243.052099 	 293.961662 	 294.412622 	 294.078662 	 294.809678 	 -65608.806384 	 294.930853
12:17:31.043 PM 1/18/2024 	 20242.993081 	 20243.993229 	 293.962887 	 294.413542 	 294.088754 	 294.757034 	 -65609.646447 	 294.893310
12:17:41.543 PM 1/18/2024 	 20243.706140 	 20243.929536 	 293.963346 	 294.416759 	 294.081615 	 294.830074 	 -65610.317419 	 295.036091
12:17:52.042 PM 1/18/2024 	 20243.797365 	 20244.660601 	 293.964265 	 294.420743 	 294.096640 	 294.687559 	 -65611.208358 	 294.922398
12:18:02.043 PM 1/18/2024 	 20243.266634 	 20245.082423 	 293.965950 	 294.421816 	 294.092452 	 294.795153 	 -65611.907631 	 294.980917
12:18:12.543 PM 1/18/2024 	 20244.123144 	 20244.479457 	 293.966256 	 294.424727 	 294.112916 	 294.810399 	 -65612.629510 	 295.006056
12:18:22.543 PM 1/18/2024 	 20244.028966 	 20246.045104 	 293.965184 	 294.427945 	 294.092882 	 294.850753 	 -65613.379642 	 294.991244
12:18:32.543 PM 1/18/2024 	 20244.743654 	 20246.137737 	 293.966410 	 294.430856 	 294.090023 	 294.759244 	 -65613.943687 	 295.009131
12:18:43.043 PM 1/18/2024 	 20244.876163 	 20245.475731 	 293.966869 	 294.432389 	 294.110492 	 294.771195 	 -65614.552891 	 294.957912
12:18:53.043 PM 1/18/2024 	 20243.874667 	 20246.038675 	 293.966410 	 294.434380 	 294.099208 	 294.825476 	 -65615.021100 	 294.990959
12:19:03.543 PM 1/18/2024 	 20245.162346 	 20246.298673 	 293.966869 	 294.436832 	 294.088064 	 294.836040 	 -65615.523179 	 294.992563
12:19:13.543 PM 1/18/2024 	 20244.872825 	 20246.183251 	 293.967635 	 294.440050 	 294.104293 	 294.838098 	 -65615.906807 	 295.106794
12:19:24.043 PM 1/18/2024 	 20245.148435 	 20246.396554 	 293.968247 	 294.441276 	 294.095207 	 294.800732 	 -65616.335585 	 295.040700
12:19:34.043 PM 1/18/2024 	 20244.965968 	 20245.767915 	 293.970851 	 294.442961 	 294.083006 	 294.781476 	 -65616.696674 	 295.032294
