Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:16:40.042 PM 1/18/2024 	 4.022252 	 297.647000 	 44.546000 	 -2935730.263990 	 4.027749 	 297.647000 	 44.546000 	 -2935730.263990 	 108.146356 	 108.311404 	 295.570998
12:16:50.042 PM 1/18/2024 	 4.016502 	 297.647000 	 44.546000 	 -2935769.933841 	 4.025236 	 297.647000 	 44.546000 	 -2935769.933841 	 108.146594 	 108.312059 	 295.574680
12:17:00.043 PM 1/18/2024 	 4.011727 	 297.647000 	 44.546000 	 -2935798.809636 	 4.023230 	 297.647000 	 44.546000 	 -2935798.809636 	 108.147070 	 108.313131 	 295.577359
12:17:10.542 PM 1/18/2024 	 4.012927 	 297.647000 	 44.546000 	 -2935837.229833 	 4.025452 	 297.647000 	 44.546000 	 -2935837.229833 	 108.147309 	 108.314501 	 295.580925
12:17:20.542 PM 1/18/2024 	 4.014252 	 297.647000 	 44.546000 	 -2935868.872426 	 4.015116 	 297.647000 	 44.546000 	 -2935868.872426 	 108.148678 	 108.315871 	 295.583861
12:17:31.043 PM 1/18/2024 	 4.009722 	 297.647000 	 44.546000 	 -2935906.293881 	 4.023034 	 297.647000 	 44.546000 	 -2935906.293881 	 108.149155 	 108.316229 	 295.587333
12:17:41.543 PM 1/18/2024 	 4.015603 	 297.647000 	 44.546000 	 -2935936.183021 	 4.019907 	 297.647000 	 44.546000 	 -2935936.183021 	 108.149334 	 108.317480 	 295.590107
12:17:52.042 PM 1/18/2024 	 4.013487 	 297.647000 	 44.546000 	 -2935975.870791 	 4.025209 	 297.647000 	 44.546000 	 -2935975.870791 	 108.149691 	 108.319028 	 295.593790
12:18:02.043 PM 1/18/2024 	 4.004839 	 297.647000 	 44.546000 	 -2936007.020574 	 4.027609 	 297.647000 	 44.546000 	 -2936007.020574 	 108.150346 	 108.319445 	 295.596680
12:18:12.543 PM 1/18/2024 	 4.012203 	 297.647000 	 44.546000 	 -2936039.177422 	 4.018050 	 297.647000 	 44.546000 	 -2936039.177422 	 108.150465 	 108.320577 	 295.599664
12:18:22.543 PM 1/18/2024 	 4.008438 	 297.647000 	 44.546000 	 -2936072.592801 	 4.033528 	 297.647000 	 44.546000 	 -2936072.592801 	 108.150048 	 108.321828 	 295.602764
12:18:32.543 PM 1/18/2024 	 4.014719 	 297.647000 	 44.546000 	 -2936097.718759 	 4.032593 	 297.647000 	 44.546000 	 -2936097.718759 	 108.150525 	 108.322960 	 295.605096
12:18:43.043 PM 1/18/2024 	 4.014085 	 297.647000 	 44.546000 	 -2936124.856351 	 4.022751 	 297.647000 	 44.546000 	 -2936124.856351 	 108.150703 	 108.323555 	 295.607614
12:18:53.043 PM 1/18/2024 	 4.000800 	 297.647000 	 44.546000 	 -2936145.713191 	 4.027609 	 297.647000 	 44.546000 	 -2936145.713191 	 108.150525 	 108.324330 	 295.609549
12:19:03.543 PM 1/18/2024 	 4.013948 	 297.647000 	 44.546000 	 -2936168.078815 	 4.028836 	 297.647000 	 44.546000 	 -2936168.078815 	 108.150703 	 108.325283 	 295.611624
12:19:13.543 PM 1/18/2024 	 4.009223 	 297.647000 	 44.546000 	 -2936185.167896 	 4.026132 	 297.647000 	 44.546000 	 -2936185.167896 	 108.151001 	 108.326534 	 295.613210
12:19:24.043 PM 1/18/2024 	 4.010892 	 297.647000 	 44.546000 	 -2936204.268217 	 4.027078 	 297.647000 	 44.546000 	 -2936204.268217 	 108.151240 	 108.327010 	 295.614982
12:19:34.043 PM 1/18/2024 	 4.007489 	 297.647000 	 44.546000 	 -2936220.353319 	 4.018506 	 297.647000 	 44.546000 	 -2936220.353319 	 108.152252 	 108.327665 	 295.616474
12:19:44.543 PM 1/18/2024 	 4.006789 	 297.647000 	 44.546000 	 -2936242.471261 	 4.027411 	 297.647000 	 44.546000 	 -2936242.471261 	 108.152550 	 108.328976 	 295.618526
12:19:55.043 PM 1/18/2024 	 4.017214 	 297.647000 	 44.546000 	 -2936264.590278 	 4.024421 	 297.647000 	 44.546000 	 -2936264.590278 	 108.153026 	 108.329691 	 295.620579
12:20:05.543 PM 1/18/2024 	 4.006663 	 297.647000 	 44.546000 	 -2936276.907014 	 4.021171 	 297.647000 	 44.546000 	 -2936276.907014 	 108.153384 	 108.330703 	 295.621721
12:20:15.543 PM 1/18/2024 	 4.016543 	 297.647000 	 44.546000 	 -2936291.737811 	 4.027253 	 297.647000 	 44.546000 	 -2936291.737811 	 108.154098 	 108.332133 	 295.623097
12:20:25.544 PM 1/18/2024 	 4.014447 	 297.647000 	 44.546000 	 -2936309.082916 	 4.028112 	 297.647000 	 44.546000 	 -2936309.082916 	 108.154932 	 108.333384 	 295.624707
12:20:36.043 PM 1/18/2024 	 4.017521 	 297.647000 	 44.546000 	 -2936326.680074 	 4.026097 	 297.647000 	 44.546000 	 -2936326.680074 	 108.155707 	 108.333979 	 295.626339
12:20:46.043 PM 1/18/2024 	 4.012290 	 297.647000 	 44.546000 	 -2936336.735898 	 4.023656 	 297.647000 	 44.546000 	 -2936336.735898 	 108.155528 	 108.334635 	 295.627272
12:20:56.043 PM 1/18/2024 	 4.011999 	 297.647000 	 44.546000 	 -2936348.048966 	 4.031858 	 297.647000 	 44.546000 	 -2936348.048966 	 108.156183 	 108.334099 	 295.628322
