IMPEDANCE MEASUREMENT 
2/15/2024-1:09 PM
Chamber temperature (K): 295.52
Chamber pressure (MPa): 20375.90
Description: 	R0_R1_C1_1kohm_100kohm_10nF
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	978.3038330078125	-1.6017432212830
1	857753.8749999999980	977.0179443359375	-1.7526921033859
2	735644.4999999999990	978.0532836914062	-1.9569033384323
3	630996.1249999999990	979.2388916015625	-2.1311233043671
4	541230.4999999999990	978.1975097656250	-2.3444020748138
5	464238.2812499999990	979.7868041992187	-2.5190622806549
6	398144.5312499999990	979.5700073242187	-2.7917294502258
7	341542.9687499999990	978.9180908203125	-3.1012046337128
8	292910.1562500000000	981.9005737304687	-3.6967506408691
9	251191.4062500000000	980.6709594726562	-4.2080554962158
10	215449.2187500000000	982.5853271484375	-4.7577733993530
11	184863.2812500000000	982.9906005859375	-5.5084362030029
12	158496.0937500000000	985.1956787109375	-6.3018150329590
13	135996.0937500000000	986.7320556640625	-7.3438935279846
14	116660.1562500000000	989.9262084960937	-8.5529413223267
15	100019.5312500000000	993.0258178710937	-9.8971242904663
16	85839.8437499999999	1000.2164306640625	-11.2082166671753
17	73652.3437499999999	1007.3558959960937	-13.0482921600342
18	63105.4687499999999	1017.1976928710937	-15.1676101684570
19	54199.2187499999999	1029.8654785156250	-17.5462608337402
20	46464.8437499999999	1047.2979736328125	-20.2486572265625
21	39902.3437499999999	1070.2547607421875	-23.2295246124268
22	34160.1562500000000	1101.3643798828125	-26.6249504089355
23	29355.4687500000000	1140.6998291015625	-30.2236042022705
24	25136.7187500000000	1193.9925537109375	-34.1843376159668
25	21621.0937500000000	1259.9434814453125	-38.2290725708008
26	18574.2187500000000	1344.8287353515625	-42.4219512939453
27	15878.9062500000000	1455.5885009765625	-46.7895545959473
28	13652.3437500000000	1589.5493164062500	-50.9024581909180
29	11660.1562500000000	1760.9571533203125	-55.0422935485840
30	10019.5312500000000	1964.1114501953125	-58.4880065917969
31	8613.2812500000000	2207.2385253906250	-61.9492835998535
32	7349.5371093750000	2513.3742675781250	-65.1324234008789
33	6307.8706054687500	2867.0627441406250	-67.9620895385742
34	5381.9443359375000	3300.8532714843750	-70.4575271606445
35	4630.3354492187500	3788.6484375000000	-72.4555282592773
36	3993.0556640625000	4352.6533203125000	-74.1207046508789
37	3414.3518066406250	5049.6635742187500	-75.5376815795898
38	2915.3962402343750	5876.6362304687500	-76.6541519165039
39	2519.5312500000000	6768.0185546875000	-77.4317245483398
40	2141.2036132812500	7926.9931640625000	-77.9734954833984
41	1841.5178222656250	9182.3916015625000	-78.2266235351562
42	1580.6685791015625	10661.7500000000000	-78.2261428833008
43	1362.6453857421875	12322.6621093750000	-77.9741363525391
44	1171.8750000000000	14269.6621093750000	-77.4668426513672
45	1000.7022705078125	16637.6074218750000	-76.6604080200195
46	857.4694824218750	19298.8789062500000	-75.2805709838867
47	734.1867675781250	22358.1796875000000	-73.9112930297852
48	628.8109741210937	25826.2167968750000	-72.2125701904297
49	542.7631835937500	29533.6015625000000	-70.3106307983398
50	463.5989074707031	33990.3203125000000	-67.8599548339844
51	400.1524353027344	38574.0898437499999	-65.1886215209961
52	341.7968750000000	43891.3710937499999	-62.0047225952148
53	292.9687500000000	49552.8085937499999	-58.6641998291016
54	252.0161285400391	55039.1445312499999	-54.8458518981934
55	215.0229339599609	60992.6914062499999	-50.6731262207031
56	184.5472412109375	66729.2656249999999	-46.4566001892090
57	158.0056152343750	72268.2812499999999	-42.2643775939941
58	136.5291290283203	76685.2656249999999	-38.0919532775879
59	116.2190093994141	81262.1171874999999	-33.9864730834961
60	99.7340393066406	84673.1484374999999	-30.0920639038086
