IMPEDANCE MEASUREMENT 
2/15/2024-1:28 PM
Chamber temperature (K): 295.66
Chamber pressure (MPa): 20391.08
Description: 	R0_R1_C1_R2_C2_1kohm_10kohm_10nF_100kohm_47pF
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 200
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	3278.0520019531250	-71.6146545410156
1	955019.4999999999980	3422.7722167968750	-72.5806350708008
2	912011.6874999999980	3549.8137207031250	-72.6601638793945
3	870996.1249999999980	2160.2822265625000	-2.1344203948975
4	831855.4999999999990	2567.3762207031250	3.3412659168243
5	794355.4999999999990	2810.4565429687500	0.8238225579262
6	758613.2499999999990	2992.7751464843750	-4.5154175758362
7	724511.7499999999990	3214.7416992187500	-7.1905450820923
8	691933.5624999999990	3247.0815429687500	-6.8567509651184
9	660761.6874999999990	3310.6215820312500	-5.5325345993042
10	630996.1249999999990	3413.1577148437500	-7.1084904670715
11	602636.6874999999990	3028.2456054687500	-19.7632656097412
12	575449.2499999999990	3647.2966308593750	-15.3420324325562
13	549550.7499999999990	3753.4719238281250	-18.2791728973389
14	524824.2499999999990	3955.0502929687500	-22.3104743957520
15	501269.5312499999990	4039.9489746093750	-29.0587787628174
16	478652.3437499999990	3964.0795898437500	-33.3146629333496
17	457089.8437499999990	4056.6809082031250	-37.7908248901367
18	436582.0312499999990	4161.7944335937500	-42.4261207580566
19	416894.5312499999990	4194.3793945312500	-46.2543830871582
20	398144.5312499999990	4197.1933593750000	-50.1528968811035
21	380214.8437499999990	4332.2670898437500	-51.8498764038086
22	363105.4687499999990	4337.4536132812500	-55.2042922973633
23	346816.4062499999990	4586.7304687500000	-56.8914299011230
24	331230.4687499999990	4590.9414062500000	-58.7447013854980
25	316230.4687499999990	4764.2495117187500	-60.7092247009277
26	302050.7812499999990	10365.2314453125000	-77.5691833496094
27	288457.0312500000000	84279.7343749999999	-47.6699981689453
28	275449.2187500000000	100905.7968750000000	-49.9869575500488
29	263027.3437500000000	112276.3828125000000	-51.2437515258789
30	251191.4062500000000	119982.2421875000000	-54.0754928588867
31	239941.4062500000000	129330.8281250000000	-55.2650718688965
32	229160.1562500000000	137311.6093750000000	-55.8681716918945
33	218847.6562500000000	145450.6093750000000	-57.0543212890625
34	209003.9062500000000	156828.7656250000000	-58.0665359497070
35	199628.9062500000000	164456.7187500000000	-59.2076835632324
36	190605.4687500000000	176028.1250000000000	-59.4437828063965
37	182050.7812500000000	183845.6718750000000	-60.9708557128906
38	173847.6562500000000	194989.5937500000000	-60.9074592590332
39	165996.0937500000000	206532.7968750000000	-62.1855697631836
40	158496.0937500000000	212561.2500000000000	-62.2154235839844
41	151464.8437500000000	224598.5781250000000	-62.3369140625000
42	144550.7812500000000	240015.5937500000000	-62.3567924499512
43	138105.4687500000000	245785.2968750000000	-63.0910682678223
44	131894.5312500000000	264468.2812500000000	-64.1819152832031
45	125917.9687500000000	281079.6250000000000	-63.1082649230957
46	120292.9687500000000	289066.0937500000000	-63.9050865173340
47	114902.3437500000000	304337.7187499999990	-63.0457153320312
48	109746.0937500000000	316988.2499999999990	-62.6246452331543
49	104824.2187500000000	334539.5312499999990	-63.2115440368652
50	100019.5312500000000	29772.3789062500000	-70.6058807373047
51	95566.4062499999999	30985.2207031250000	-70.2478713989258
52	91230.4687499999999	32259.2890625000000	-69.3365020751953
53	87128.9062499999999	33716.1054687500000	-68.5259399414062
54	83261.7187499999999	34982.1054687500000	-67.7767028808594
55	79511.7187499999999	36482.1601562499999	-66.8649826049805
56	75878.9062499999999	37897.5273437499999	-66.1536712646484
57	72480.4687499999999	39415.5429687499999	-65.2095031738281
58	69199.2187499999999	40885.1796874999999	-64.2290802001953
59	66152.3437499999999	42543.5937499999999	-63.4101028442383
60	63105.4687499999999	44164.3593749999999	-62.4404602050781
61	60292.9687499999999	45926.7617187499999	-61.3613967895508
62	57597.6562499999999	47420.8164062499999	-60.2753448486328
63	55019.5312499999999	49283.3710937499999	-59.5946350097656
64	52558.5937499999999	52411.4882812499999	-58.6840782165527
65	50214.8437499999999	52703.9179687499999	-57.1361846923828
66	47871.0937499999999	54381.8867187499999	-55.9632530212402
67	45761.7187499999999	55987.4414062499999	-54.7086639404297
68	43652.3437499999999	57954.9804687499999	-53.5921363830566
69	41777.3437499999999	59736.0703124999999	-52.3688163757324
70	39902.3437499999999	61729.0117187499999	-51.3356399536133
71	38027.3437499999999	63154.6601562499999	-49.8034019470215
72	36386.7187499999999	64914.8359374999999	-48.8009681701660
73	34746.0937500000000	66677.3281249999999	-47.5232353210449
74	33222.6562500000000	68353.2812499999999	-46.2023811340332
75	31699.2187500000000	69894.3749999999999	-45.1641006469727
76	30292.9687500000000	71779.3437499999999	-42.7408485412598
77	28886.7187500000000	73338.3906249999999	-41.4731216430664
78	27597.6562500000000	74856.0781249999999	-40.2244338989258
79	26308.5937500000000	76655.7968749999999	-39.0521202087402
80	25136.7187500000000	77832.0234374999999	-37.6803779602051
81	24082.0312500000000	78932.3437499999999	-36.5865364074707
82	22910.1562500000000	80378.8359374999999	-35.4004020690918
83	21972.6562500000000	81611.5234374999999	-34.3864326477051
84	20917.9687500000000	82849.8437499999999	-33.1440162658691
85	19980.4687500000000	84215.1562499999999	-31.9811973571777
86	19160.1562500000000	84719.5390624999999	-30.7863121032715
87	18222.6562500000000	86125.0703124999999	-29.6942081451416
88	17402.3437500000000	87194.5937499999999	-28.5069561004639
89	16699.2187500000000	88072.8124999999999	-27.8790931701660
90	15878.9062500000000	89212.4140624999999	-26.7563686370850
91	15175.7812500000000	89920.4296874999999	-25.6986751556396
92	14472.6562500000000	90141.2187499999999	-24.5500698089600
93	13886.7187500000000	90932.4921874999999	-24.0015201568604
94	13183.5937500000000	91223.0078124999999	-22.9585399627686
95	12597.6562500000000	92316.1953124999999	-22.1415462493896
96	11979.1669921875000	92992.3593749999999	-21.0800170898437
97	11542.9687500000000	93487.4609374999999	-20.3979339599609
98	10937.5000000000000	94067.4765624999999	-19.7244052886963
99	10488.2812500000000	94752.5624999999999	-18.7572746276855
100	10019.5312500000000	94589.1874999999999	-17.9857597351074
101	9550.7812500000000	95539.7187499999999	-17.1368465423584
102	9085.6484375000000	95584.4140624999999	-16.6798992156982
103	8730.4687500000000	96234.6093749999999	-16.1433563232422
104	8275.4628906250000	96256.7734374999999	-15.4821262359619
105	7928.2407226562500	96682.4140624999999	-14.8715324401855
106	7581.0185546875000	96828.0781249999999	-14.4386062622070
107	7233.7963867187500	97230.2656249999999	-13.7514152526855
108	6886.5742187500000	97548.2421874999999	-13.3426618576050
109	6621.0937500000000	97895.0312499999999	-12.7962532043457
110	6307.8706054687500	96220.7656249999999	-12.0610475540161
111	6035.1562500000000	98305.2812499999999	-11.9623956680298
112	5729.1665039062500	98368.1406249999999	-11.3947629928589
113	5497.6850585937500	99261.0156249999999	-10.7595033645630
114	5266.2036132812500	98355.5624999999999	-10.7042980194092
115	5034.7221679687500	99048.0078124999999	-10.4943990707397
116	4803.2407226562500	99243.3515624999999	-10.1567001342773
117	4571.7592773437500	99441.8749999999999	-9.8195314407349
118	4340.2778320312500	99706.1328124999999	-9.4732961654663
119	4173.0180664062500	99820.7421874999999	-9.2419652938843
120	3993.0556640625000	100007.9609375000000	-8.9667844772339
121	3808.5937500000000	100199.1093750000000	-8.7140951156616
122	3645.8332519531250	100336.7500000000000	-8.5031137466431
123	3487.0427246093750	100581.5156250000000	-8.2643318176270
124	3298.6110839843750	100771.2265625000000	-7.9850816726685
125	3144.0549316406250	101040.5156250000000	-7.7821846008301
126	3029.7255859375000	101180.3437500000000	-7.6215610504150
127	2880.2709960937500	101966.9296875000000	-6.4834322929382
128	2767.3193359375000	102139.4062500000000	-6.3575630187988
129	2636.7187500000000	102334.9062500000000	-6.1831617355347
130	2519.5312500000000	102496.2343750000000	-6.0278367996216
131	2402.3437500000000	102695.6875000000000	-5.9199199676514
132	2287.9465332031250	102883.7421875000000	-5.7861008644104
133	2176.3393554687500	103100.3125000000000	-5.6296672821045
134	2089.6083984375000	103271.6953125000000	-5.5548129081726
135	2000.7622070312500	103461.3906250000000	-5.4125022888184
136	1909.7221679687500	103657.0390625000000	-5.2964787483215
137	1819.8529052734375	103863.0468750000000	-5.1673355102539
138	1729.9107666015625	104107.8515625000000	-5.0463228225708
139	1657.7744140625000	104310.0546875000000	-4.9302525520325
140	1580.6685791015625	104540.0312500000000	-4.8247871398926
141	1506.6964111328125	104742.9843750000000	-4.6861658096313
142	1446.7592773437500	104913.2500000000000	-4.5816483497620
143	1378.6765136718750	105171.1171875000000	-4.4983367919922
144	1314.7866210937500	105348.9843750000000	-4.3446693420410
145	1253.6336669921875	105548.7812500000000	-4.2162680625916
146	1200.4572753906250	105704.6015625000000	-4.1042976379395
147	1144.6220703125000	105876.4921875000000	-3.9661195278168
148	1099.5369873046875	106050.5078125000000	-3.8765389919281
149	1047.7940673828125	106256.9296875000000	-3.7583501338959
150	1000.7022705078125	106412.0312500000000	-3.6362252235413
151	960.0903320312500	106542.3281250000000	-3.5247740745544
152	915.9483032226562	106684.9140625000000	-3.4252738952637
153	868.0555419921875	106842.1953125000000	-3.2940540313721
