IMPEDANCE MEASUREMENT 
2/15/2024-12:31 PM
Chamber temperature (K): 295.28
Chamber pressure (MPa): 20392.33
Description: 	RC_1kohm_10nF
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	975.1498413085937	-1.5183539390564
1	857753.8749999999980	977.5148315429687	-1.6822972297668
2	735644.4999999999990	978.0825805664062	-1.8876935243607
3	630996.1249999999990	979.3047485351562	-2.1247394084930
4	541230.4999999999990	978.5127563476562	-2.2796485424042
5	464238.2812499999990	979.9141235351562	-2.4528434276581
6	398144.5312499999990	979.1052246093750	-2.7696487903595
7	341542.9687499999990	980.0573730468750	-3.1433722972870
8	292910.1562500000000	980.4990234375000	-3.5623440742493
9	251191.4062500000000	979.9133911132812	-4.1684060096741
10	215449.2187500000000	981.2859497070312	-4.6766071319580
11	184863.2812500000000	981.7485351562500	-5.4496054649353
12	158496.0937500000000	985.1930541992187	-6.2778439521790
13	135996.0937500000000	986.5187988281250	-7.2863984107971
14	116660.1562500000000	988.8817749023437	-8.3857088088989
15	100019.5312500000000	992.9809570312500	-9.8066205978394
16	85839.8437499999999	1000.0683593750000	-11.1112833023071
17	73652.3437499999999	1006.5444335937500	-12.9304647445679
18	63105.4687499999999	1015.9354858398437	-15.0417108535767
19	54199.2187499999999	1028.2322998046875	-17.3897800445557
20	46464.8437499999999	1045.2243652343750	-20.0925827026367
21	39902.3437499999999	1067.2580566406250	-23.0896892547607
22	34160.1562500000000	1097.5240478515625	-26.4567108154297
23	29355.4687500000000	1135.7597656250000	-30.0653381347656
24	25136.7187500000000	1187.1534423828125	-34.0304794311523
25	21621.0937500000000	1251.3200683593750	-38.1240959167480
26	18574.2187500000000	1333.4475097656250	-42.3858985900879
27	15878.9062500000000	1441.0931396484375	-46.8296852111816
28	13652.3437500000000	1571.5856933593750	-51.0801887512207
29	11660.1562500000000	1738.7246093750000	-55.3610725402832
30	10019.5312500000000	1937.2218017578125	-58.9640083312988
31	8613.2812500000000	2174.5666503906250	-62.6121711730957
32	7349.5371093750000	2475.1081542968750	-66.1858825683594
33	6307.8706054687500	2821.3088378906250	-69.1407699584961
34	5381.9443359375000	3248.9201660156250	-71.9451065063477
35	4630.3354492187500	3728.6582031250000	-74.2821884155273
36	3993.0556640625000	4281.3193359375000	-76.3016815185547
37	3414.3518066406250	4968.4736328125000	-78.1752166748047
38	2915.3962402343750	5784.5126953125000	-79.8139572143555
39	2519.5312500000000	6663.4047851562500	-81.1226654052734
40	2141.2036132812500	7812.2114257812500	-82.3731307983398
41	1841.5178222656250	9058.1142578125000	-83.3851013183594
42	1580.6685791015625	10526.1044921875000	-84.2659835815430
43	1362.6453857421875	12191.5791015625000	-84.9903411865234
44	1171.8750000000000	14159.6191406250000	-85.6446914672852
45	1000.7022705078125	16565.8476562500000	-86.2315979003906
46	857.4694824218750	19326.0898437500000	-86.4319610595703
47	734.1867675781250	22546.1445312500000	-86.8570022583008
48	628.8109741210937	26294.9472656250000	-87.2947311401367
49	542.7631835937500	30460.0878906250000	-87.6278228759766
50	463.5989074707031	35616.6953125000000	-87.9132843017578
51	400.1524353027344	41251.6171874999999	-88.1284332275391
52	341.7968750000000	48259.2539062499999	-88.3751907348633
53	292.9687500000000	56252.6406249999999	-88.5477600097656
54	252.0161285400391	65350.1953124999999	-88.6576995849609
55	215.0229339599609	76552.4296874999999	-88.8715591430664
56	184.5472412109375	89305.3046874999999	-88.9670486450195
57	158.0056152343750	103935.0312500000000	-88.9515457153320
58	136.5291290283203	120538.7187500000000	-89.1623458862305
59	116.2190093994141	141547.6093750000000	-89.0030670166016
60	99.7340393066406	164626.1406250000000	-89.2253570556641
